#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,-1.716915
2,7587.905000,-1.725858
3,7587.906000,-1.706577
4,7587.907000,-1.720558
5,7587.908000,-1.71546
6,7587.909000,-1.711488
7,7587.910000,-1.718212
8,7587.911000,-1.714936
9,7587.912000,-1.713973
10,7587.913000,-1.708402
11,7587.914000,-1.721634
12,7587.915000,-1.713524
13,7587.916000,-1.715237
14,7587.917000,-1.71334
15,7587.918000,-1.719083
16,7587.919000,-1.71867
17,7587.920000,-1.71432
18,7587.921000,-1.718666
19,7587.922000,-1.716458
20,7587.923000,-1.713319
21,7587.924000,-1.718332
22,7587.925000,-1.731939
23,7587.926000,-1.703738
24,7587.927000,-1.721581
25,7587.928000,-1.724949
26,7587.929000,-1.708202
27,7587.930000,-1.7301
28,7587.931000,-1.714495
29,7587.932000,-1.714208
30,7587.933000,-1.709699
31,7587.934000,-1.713544
32,7587.935000,-1.727217
33,7587.936000,-1.715553
34,7587.937000,-1.717281
35,7587.938000,-1.708884
36,7587.939000,-1.717591
37,7587.940000,-1.715099
38,7587.941000,-1.709205
39,7587.942000,-1.71846
40,7587.943000,-1.712288
41,7587.944000,-1.708548
42,7587.945000,-1.709092
43,7587.946000,-1.706004
44,7587.947000,-1.703134
45,7587.948000,-1.701269
46,7587.949000,-1.697342
47,7587.950000,-1.694569
48,7587.951000,-1.69193
49,7587.952000,-1.686561
50,7587.953000,-1.678348
51,7587.954000,-1.680403
52,7587.955000,-1.693158
53,7587.956000,-1.649051
54,7587.957000,-1.678666
55,7587.958000,-1.654735
56,7587.959000,-1.658644
57,7587.960000,-1.651945
58,7587.961000,-1.647374
59,7587.962000,-1.64267
60,7587.963000,-1.637813
61,7587.964000,-1.633008
62,7587.965000,-1.628216
63,7587.966000,-1.623654
64,7587.967000,-1.619378
65,7587.968000,-1.609962
66,7587.969000,-1.59494
67,7587.970000,-1.601714
68,7587.971000,-1.631319
69,7587.972000,-1.54721
70,7587.973000,-1.585201
71,7587.974000,-1.584785
72,7587.975000,-1.566855
73,7587.976000,-1.565328
74,7587.977000,-1.561397
75,7587.978000,-1.556604
76,7587.979000,-1.550865
77,7587.980000,-1.549481
78,7587.981000,-1.552517
79,7587.982000,-1.53607
80,7587.983000,-1.5468
81,7587.984000,-1.536468
82,7587.985000,-1.520011
83,7587.986000,-1.54784
84,7587.987000,-1.522577
85,7587.988000,-1.53044
86,7587.989000,-1.527372
87,7587.990000,-1.526848
88,7587.991000,-1.507883
89,7587.992000,-1.53594
90,7587.993000,-1.513012
91,7587.994000,-1.515797
92,7587.995000,-1.513705
93,7587.996000,-1.511275
94,7587.997000,-1.50855
95,7587.998000,-1.507677
96,7587.999000,-1.508768
97,7588.000000,-1.50426
98,7588.001000,-1.494042
99,7588.002000,-1.513998
100,7588.003000,-1.495818
101,7588.004000,-1.501507
102,7588.005000,-1.509944
103,7588.006000,-1.489558
104,7588.007000,-1.504771
105,7588.008000,-1.495605
106,7588.009000,-1.497278
107,7588.010000,-1.495109
108,7588.011000,-1.493799
109,7588.012000,-1.492511
110,7588.013000,-1.491339
111,7588.014000,-1.488062
112,7588.015000,-1.482485
113,7588.016000,-1.487798
114,7588.017000,-1.50463
115,7588.018000,-1.466611
116,7588.019000,-1.464371
