#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,-0.3944741
2,7587.905000,-0.4023005
3,7587.906000,-0.3848667
4,7587.907000,-0.3991987
5,7587.908000,-0.3922131
6,7587.909000,-0.3947109
7,7587.910000,-0.394022
8,7587.911000,-0.3941317
9,7587.912000,-0.3941023
10,7587.913000,-0.3939711
11,7587.914000,-0.3946952
12,7587.915000,-0.3944257
13,7587.916000,-0.3949032
14,7587.917000,-0.395521
15,7587.918000,-0.3947167
16,7587.919000,-0.3923882
17,7587.920000,-0.3959801
18,7587.921000,-0.405735
19,7587.922000,-0.3846228
20,7587.923000,-0.397571
21,7587.924000,-0.3980653
22,7587.925000,-0.3955493
23,7587.926000,-0.3962896
24,7587.927000,-0.3962459
25,7587.928000,-0.3966211
26,7587.929000,-0.3974285
27,7587.930000,-0.3963525
28,7587.931000,-0.3933163
29,7587.932000,-0.400091
30,7587.933000,-0.3949712
31,7587.934000,-0.3964221
32,7587.935000,-0.3955288
33,7587.936000,-0.3965626
34,7587.937000,-0.3990642
35,7587.938000,-0.3945124
36,7587.939000,-0.3923824
37,7587.940000,-0.4013846
38,7587.941000,-0.3947731
39,7587.942000,-0.3959025
40,7587.943000,-0.3948035
41,7587.944000,-0.3961501
42,7587.945000,-0.4000624
43,7587.946000,-0.3921655
44,7587.947000,-0.3820656
45,7587.948000,-0.4070559
46,7587.949000,-0.3881463
47,7587.950000,-0.3909774
48,7587.951000,-0.3881677
49,7587.952000,-0.3899373
50,7587.953000,-0.396516
51,7587.954000,-0.378682
52,7587.955000,-0.3893033
53,7587.956000,-0.3852032
54,7587.957000,-0.3838975
55,7587.958000,-0.3826288
56,7587.959000,-0.3814138
57,7587.960000,-0.3802427
58,7587.961000,-0.3791569
59,7587.962000,-0.3775425
60,7587.963000,-0.3753565
61,7587.964000,-0.3753061
62,7587.965000,-0.3774744
63,7587.966000,-0.3683406
64,7587.967000,-0.3721101
65,7587.968000,-0.369678
66,7587.969000,-0.3690898
67,7587.970000,-0.3660274
68,7587.971000,-0.3603845
69,7587.972000,-0.3675039
70,7587.973000,-0.3592166
71,7587.974000,-0.3600423
72,7587.975000,-0.3607426
73,7587.976000,-0.3563126
74,7587.977000,-0.3465564
75,7587.978000,-0.3635468
76,7587.979000,-0.3581429
77,7587.980000,-0.3455005
78,7587.981000,-0.3534549
79,7587.982000,-0.3529195
80,7587.983000,-0.349958
81,7587.984000,-0.3501156
82,7587.985000,-0.350536
83,7587.986000,-0.3474994
84,7587.987000,-0.3488463
85,7587.988000,-0.3480863
86,7587.989000,-0.3478488
87,7587.990000,-0.347383
88,7587.991000,-0.3466495
89,7587.992000,-0.3470605
90,7587.993000,-0.3486484
91,7587.994000,-0.3453288
92,7587.995000,-0.336888
93,7587.996000,-0.3543438
94,7587.997000,-0.3412702
95,7587.998000,-0.3439867
96,7587.999000,-0.3437779
97,7588.000000,-0.3438722
98,7588.001000,-0.3443351
99,7588.002000,-0.3427184
100,7588.003000,-0.3388523
101,7588.004000,-0.3448024
102,7588.005000,-0.3610302
103,7588.006000,-0.3276548
104,7588.007000,-0.336458
105,7588.008000,-0.3571888
106,7588.009000,-0.3380473
107,7588.010000,-0.3435101
108,7588.011000,-0.3464005
109,7588.012000,-0.3408409
