#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,-12.22638
2,7587.905000,-12.32811
3,7587.906000,-12.30363
4,7587.907000,-12.3039
5,7587.908000,-12.30438
6,7587.909000,-12.3051
7,7587.910000,-12.3041
8,7587.911000,-12.30126
9,7587.912000,-12.30581
10,7587.913000,-12.3181
11,7587.914000,-12.29141
12,7587.915000,-12.31024
13,7587.916000,-12.30702
14,7587.917000,-12.30989
15,7587.918000,-12.30572
16,7587.919000,-12.29411
17,7587.920000,-12.31672
18,7587.921000,-12.31913
19,7587.922000,-12.29151
20,7587.923000,-12.3274
21,7587.924000,-12.30604
22,7587.925000,-12.26306
23,7587.926000,-12.35813
24,7587.927000,-12.30788
25,7587.928000,-12.29799
26,7587.929000,-12.30054
27,7587.930000,-12.32541
28,7587.931000,-12.30657
29,7587.932000,-12.31102
30,7587.933000,-12.30947
31,7587.934000,-12.31401
32,7587.935000,-12.31138
33,7587.936000,-12.31277
34,7587.937000,-12.31378
35,7587.938000,-12.31113
36,7587.939000,-12.30449
37,7587.940000,-12.31769
38,7587.941000,-12.35187
39,7587.942000,-12.28982
40,7587.943000,-12.26003
41,7587.944000,-12.38541
42,7587.945000,-12.29302
43,7587.946000,-12.31602
44,7587.947000,-12.31641
45,7587.948000,-12.31681
46,7587.949000,-12.31721
47,7587.950000,-12.31767
48,7587.951000,-12.31818
49,7587.952000,-12.31832
50,7587.953000,-12.31805
51,7587.954000,-12.31943
52,7587.955000,-12.32252
53,7587.956000,-12.31703
54,7587.957000,-12.32165
55,7587.958000,-12.32108
56,7587.959000,-12.32153
57,7587.960000,-12.32198
58,7587.961000,-12.32244
59,7587.962000,-12.32267
60,7587.963000,-12.32265
61,7587.964000,-12.32537
62,7587.965000,-12.33105
63,7587.966000,-12.32163
64,7587.967000,-12.29622
65,7587.968000,-12.34354
66,7587.969000,-12.37299
67,7587.970000,-12.26809
68,7587.971000,-12.34612
69,7587.972000,-12.32773
70,7587.973000,-12.32824
71,7587.974000,-12.32876
72,7587.975000,-12.32927
73,7587.976000,-12.3298
74,7587.977000,-12.33033
75,7587.978000,-12.33086
76,7587.979000,-12.33141
77,7587.980000,-12.33195
78,7587.981000,-12.3325
79,7587.982000,-12.33334
80,7587.983000,-12.33449
81,7587.984000,-12.33337
82,7587.985000,-12.32981
83,7587.986000,-12.33607
84,7587.987000,-12.35256
85,7587.988000,-12.31762
86,7587.989000,-12.34316
87,7587.990000,-12.33767
88,7587.991000,-12.33826
89,7587.992000,-12.33913
90,7587.993000,-12.34029
91,7587.994000,-12.33929
92,7587.995000,-12.33597
93,7587.996000,-12.34199
94,7587.997000,-12.35777
95,7587.998000,-12.32454
96,7587.999000,-12.34895
97,7588.000000,-12.34562
98,7588.001000,-12.35012
99,7588.002000,-12.33875
100,7588.003000,-12.31028
101,7588.004000,-12.35396
102,7588.005000,-12.47325
103,7588.006000,-12.22106
104,7588.007000,-12.33181
105,7588.008000,-12.41289
106,7588.009000,-12.32855
107,7588.010000,-12.35097
108,7588.011000,-12.35432
109,7588.012000,-12.3509
110,7588.013000,-12.34036
111,7588.014000,-12.3679
112,7588.015000,-12.36275
113,7588.016000,-12.35098
114,7588.017000,-12.30758
115,7588.018000,-12.39622
116,7588.019000,-12.39729
