#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7587.904000,16.68747
2,7587.905000,16.68818
3,7587.906000,16.68882
4,7587.907000,16.68941
5,7587.908000,16.68997
6,7587.909000,16.69049
7,7587.910000,16.69085
8,7587.911000,16.69103
9,7587.912000,16.69348
10,7587.913000,16.6988
11,7587.914000,16.69126
12,7587.915000,16.6703
13,7587.916000,16.71429
14,7587.917000,16.7267
15,7587.918000,16.66456
16,7587.919000,16.67677
17,7587.920000,16.73238
18,7587.921000,16.68767
19,7587.922000,16.70061
20,7587.923000,16.70365
21,7587.924000,16.69809
22,7587.925000,16.67638
23,7587.926000,16.70855
24,7587.927000,16.77544
25,7587.928000,16.61925
26,7587.929000,16.72823
27,7587.930000,16.70627
28,7587.931000,16.71781
29,7587.932000,16.70075
30,7587.933000,16.67567
31,7587.934000,16.74302
32,7587.935000,16.69592
33,7587.936000,16.70914
34,7587.937000,16.71183
35,7587.938000,16.70657
36,7587.939000,16.69277
37,7587.940000,16.71323
38,7587.941000,16.76947
39,7587.942000,16.6459
40,7587.943000,16.73362
41,7587.944000,16.71181
42,7587.945000,16.71005
43,7587.946000,16.71542
44,7587.947000,16.7284
45,7587.948000,16.71012
46,7587.949000,16.67284
47,7587.950000,16.7652
48,7587.951000,16.68752
49,7587.952000,16.72626
50,7587.953000,16.70493
51,7587.954000,16.71551
52,7587.955000,16.73345
53,7587.956000,16.69323
54,7587.957000,16.71981
55,7587.958000,16.71501
56,7587.959000,16.72046
57,7587.960000,16.70765
58,7587.961000,16.70916
59,7587.962000,16.71435
60,7587.963000,16.7346
61,7587.964000,16.69035
62,7587.965000,16.7386
63,7587.966000,16.71076
64,7587.967000,16.6572
65,7587.968000,16.77781
66,7587.969000,16.70795
67,7587.970000,16.70889
68,7587.971000,16.65798
69,7587.972000,16.76105
70,7587.973000,16.74254
71,7587.974000,16.66025
72,7587.975000,16.72848
73,7587.976000,16.7112
74,7587.977000,16.7099
75,7587.978000,16.71335
76,7587.979000,16.72187
77,7587.980000,16.71085
78,7587.981000,16.68825
79,7587.982000,16.74916
80,7587.983000,16.68109
81,7587.984000,16.7383
82,7587.985000,16.69604
83,7587.986000,16.71722
84,7587.987000,16.752
85,7587.988000,16.67573
86,7587.989000,16.71992
87,7587.990000,16.71938
88,7587.991000,16.75184
89,7587.992000,16.68144
90,7587.993000,16.73195
91,7587.994000,16.72022
92,7587.995000,16.72046
93,7587.996000,16.72327
94,7587.997000,16.72888
95,7587.998000,16.71991
96,7587.999000,16.69547
97,7588.000000,16.74196
98,7588.001000,16.77815
99,7588.002000,16.66284
100,7588.003000,16.73456
101,7588.004000,16.73147
102,7588.005000,16.77633
103,7588.006000,16.67865
104,7588.007000,16.735
105,7588.008000,16.7343
106,7588.009000,16.77615
107,7588.010000,16.68613
108,7588.011000,16.75836
109,7588.012000,16.73479
110,7588.013000,16.71223
111,7588.014000,16.76613
112,7588.015000,16.73994
113,7588.016000,16.73817
114,7588.017000,16.70794
115,7588.018000,16.78045
116,7588.019000,16.74273
117,7588.020000,16.73825
118,7588.021000,16.6947
119,7588.022000,16.77588
120,7588.023000,16.82588
121,7588.024000,16.64734
122,7588.025000,16.78285
123,7588.026000,16.75125
124,7588.027000,16.7499
125,7588.028000,16.76208
