#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7587.9000,2498.141
2,7587.9200,2498.673
3,7587.9400,2498.454
4,7587.9600,2498.173
5,7587.9800,2498.126
6,7588.0000,2498.423
7,7588.0200,2498.032
8,7588.0400,2498.548
9,7588.0600,2498.282
10,7588.0800,2498.97
11,7588.1000,2499.001
12,7588.1200,2498.141
13,7588.1400,2498.392
14,7588.1600,2498.282
15,7588.1800,2498.532
16,7588.2000,2498.501
17,7588.2200,2498.157
18,7588.2400,2498.157
19,7588.2600,2499.001
20,7588.2800,2498.704
21,7588.3000,2497.938
22,7588.3200,2497.875
23,7588.3400,2498.642
24,7588.3600,2498.767
25,7588.3800,2498.141
26,7588.4000,2498.689
27,7588.4200,2498.47
28,7588.4400,2498.438
29,7588.4600,2497.86
30,7588.4800,2498.767
31,7588.5000,2498.454
32,7588.5200,2498.392
33,7588.5400,2498.141
34,7588.5600,2498.47
35,7588.5800,2498.173
36,7588.6000,2498.344
37,7588.6200,2498.36
38,7588.6400,2498.517
39,7588.6600,2498.219
40,7588.6800,2497.891
41,7588.7000,2498.235
42,7588.7200,2498.188
43,7588.7400,2498.579
44,7588.7600,2498.344
45,7588.7800,2498.329
46,7588.8000,2498.72
47,7588.8200,2498.032
48,7588.8400,2498.173
49,7588.8600,2498.626
50,7588.8800,2498.219
51,7588.9000,2498.047
52,7588.9200,2498.126
53,7588.9400,2498.157
54,7588.9600,2497.938
55,7588.9800,2498.11
56,7589.0000,2498.532
57,7589.0200,2498.657
58,7589.0400,2497.766
59,7589.0600,2498.517
60,7589.0800,2498.126
61,7589.1000,2498.36
62,7589.1200,2498.376
63,7589.1400,2498.11
64,7589.1600,2498.188
65,7589.1800,2498.063
66,7589.2000,2497.922
67,7589.2200,2498.344
68,7589.2400,2497.625
69,7589.2600,2497.563
70,7589.2800,2498.407
71,7589.3000,2498.563
72,7589.3200,2498.063
73,7589.3400,2497.641
74,7589.3600,2498.626
75,7589.3800,2497.829
76,7589.4000,2497.86
77,7589.4200,2498.438
78,7589.4400,2498.376
79,7589.4600,2498.36
80,7589.4800,2497.735
81,7589.5000,2497.719
82,7589.5200,2497.954
83,7589.5400,2497.969
84,7589.5600,2498.204
85,7589.5800,2498.485
86,7589.6000,2498.282
87,7589.6200,2498.251
88,7589.6400,2497.86
89,7589.6600,2498.595
90,7589.6800,2498.047
91,7589.7000,2498.094
92,7589.7200,2497.578
93,7589.7400,2497.985
94,7589.7600,2498.219
95,7589.7800,2498.219
96,7589.8000,2498.736
97,7589.8200,2498.782
98,7589.8400,2498.657
99,7589.8600,2498.313
100,7589.8800,2498
101,7589.9000,2498.313
102,7589.9200,2499.064
103,7589.9400,2498.141
104,7589.9600,2498.032
105,7589.9800,2498.704
106,7590.0000,2497.922
107,7590.0200,2498.548
108,7590.0400,2498.579
109,7590.0600,2498.235
110,7590.0800,2497.672
111,7590.1000,2498.094
112,7590.1200,2498.173
113,7590.1400,2498.329
114,7590.1600,2498.032
115,7590.1800,2497.954
116,7590.2000,2498.016
117,7590.2200,2498.344
118,7590.2400,2498.141
119,7590.2600,2497.782
120,7590.2800,2497.86
121,7590.3000,2497.907
122,7590.3200,2498.016
123,7590.3400,2497.578
124,7590.3600,2498.204
125,7590.3800,2497.875
126,7590.4000,2498.188
127,7590.4200,2497.86
128,7590.4400,2498.204
129,7590.4600,2497.844
130,7590.4800,2497.594
131,7590.5000,2498.126
132,7590.5200,2498.485
133,7590.5400,2497.954
134,7590.5600,2497.86
135,7590.5800,2497.922
136,7590.6000,2497.406
137,7590.6200,2498.173
138,7590.6400,2497.719
139,7590.6600,2497.641
140,7590.6800,2497.703
141,7590.7000,2498.188
142,7590.7200,2497.61
143,7590.7400,2497.61
144,7590.7600,2498.407
145,7590.7800,2497.985
146,7590.8000,2497.719
147,7590.8200,2498.016
148,7590.8400,2497.829
149,7590.8600,2498.094
150,7590.8800,2498.079
151,7590.9000,2497.938
152,7590.9200,2498.079
153,7590.9400,2497.719
154,7590.9600,2497.86
155,7590.9800,2497.813
156,7591.0000,2497.985
157,7591.0200,2498.11
158,7591.0400,2498.141
159,7591.0600,2498.36
160,7591.0800,2498.344
161,7591.1000,2497.829
162,7591.1200,2498.61
163,7591.1400,2497.782
164,7591.1600,2497.969
165,7591.1800,2498.047
166,7591.2000,2497.844
167,7591.2200,2498.251
168,7591.2400,2497.656
169,7591.2600,2498.11
170,7591.2800,2497.735
171,7591.3000,2497.594
172,7591.3200,2498.126
173,7591.3400,2498.016
174,7591.3600,2497.766
175,7591.3800,2498.438
176,7591.4000,2497.813
177,7591.4200,2497.735
178,7591.4400,2498.438
179,7591.4600,2497.844
180,7591.4800,2498.298
181,7591.5000,2498.642
182,7591.5200,2498.392
183,7591.5400,2498.204
184,7591.5600,2498.266
185,7591.5800,2498.157
186,7591.6000,2498.36
187,7591.6200,2498.204
188,7591.6400,2498.298
189,7591.6600,2497.891
190,7591.6800,2498.11
191,7591.7000,2497.985
192,7591.7200,2497.969
193,7591.7400,2497.969
194,7591.7600,2498.392
195,7591.7800,2498.97
196,7591.8000,2498.126
197,7591.8200,2497.922
198,7591.8400,2498.298
199,7591.8600,2498.595
200,7591.8800,2497.75
201,7591.9000,2498.36
202,7591.9200,2498.219
203,7591.9400,2498.626
204,7591.9600,2497.797
205,7591.9800,2498.423
206,7592.0000,2498.313
207,7592.0200,2497.766
208,7592.0400,2498.626
209,7592.0600,2498.36
210,7592.0800,2498.454
211,7592.1000,2498.376
212,7592.1200,2498.736
213,7592.1400,2498.47
214,7592.1600,2498.829
215,7592.1800,2498.063
216,7592.2000,2498.736
217,7592.2200,2498.548
218,7592.2400,2498.438
219,7592.2600,2498.36
220,7592.2800,2498.501
221,7592.3000,2498.986
222,7592.3200,2498.986
223,7592.3400,2498.485
224,7592.3600,2499.017
225,7592.3800,2498.454
226,7592.4000,2498.829
227,7592.4200,2498.673
228,7592.4400,2498.986
229,7592.4600,2498.329
230,7592.4800,2498.767
231,7592.5000,2498.61
232,7592.5200,2498.829
233,7592.5400,2499.392
234,7592.5600,2498.36
235,7592.5800,2499.048
236,7592.6000,2498.829
237,7592.6200,2499.314
238,7592.6400,2499.189
239,7592.6600,2499.064
240,7592.6800,2499.439
241,7592.7000,2498.939
242,7592.7200,2499.345
243,7592.7400,2499.251
244,7592.7600,2499.001
245,7592.7800,2499.502
246,7592.8000,2499.08
247,7592.8200,2499.095
248,7592.8400,2499.377
249,7592.8600,2499.533
250,7592.8800,2499.611
251,7592.9000,2499.627
252,7592.9200,2499.564
253,7592.9400,2499.361
254,7592.9600,2499.173
255,7592.9800,2499.33
256,7593.0000,2499.611
257,7593.0200,2499.971
258,7593.0400,2499.236
259,7593.0600,2499.799
260,7593.0800,2499.001
261,7593.1000,2500.049
262,7593.1200,2498.907
263,7593.1400,2499.486
264,7593.1600,2499.095
265,7593.1800,2499.299
266,7593.2000,2498.892
267,7593.2200,2499.126
268,7593.2400,2498.892
269,7593.2600,2498.798
270,7593.2800,2499.424
271,7593.3000,2499.455
272,7593.3200,2499.439
273,7593.3400,2498.845
274,7593.3600,2499.502
275,7593.3800,2499.611
276,7593.4000,2499.236
277,7593.4200,2499.345
278,7593.4400,2499.596
279,7593.4600,2499.893
280,7593.4800,2499.283
281,7593.5000,2499.517
