#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7587.9000,0.2063754
2,7587.9200,0.281421
3,7587.9400,0.361157
4,7587.9600,0.4268219
5,7587.9800,0.361157
6,7588.0000,0.3564667
7,7588.0200,0.3517763
8,7588.0400,0.4268219
9,7588.0600,0.5112482
10,7588.0800,0.6050552
11,7588.1000,0.708243
12,7588.1200,0.7926692
13,7588.1400,0.8817859
14,7588.1600,0.9849736
15,7588.1800,1.07409
16,7588.2000,1.158517
17,7588.2200,1.233562
18,7588.2400,1.317989
19,7588.2600,1.393034
20,7588.2800,1.463389
21,7588.3000,1.505602
22,7588.3200,1.529054
23,7588.3400,1.529054
24,7588.3600,1.60879
25,7588.3800,1.6041
26,7588.4000,1.6041
27,7588.4200,1.651003
28,7588.4400,1.669765
29,7588.4600,1.749501
30,7588.4800,1.824546
31,7588.5000,1.904282
32,7588.5200,1.904282
33,7588.5400,1.979328
34,7588.5600,2.054374
35,7588.5800,2.134109
36,7588.6000,2.209155
37,7588.6200,2.27951
38,7588.6400,2.335794
39,7588.6600,2.40615
40,7588.6800,2.401459
41,7588.7000,2.481195
42,7588.7200,2.551551
43,7588.7400,2.654738
44,7588.7600,2.767307
45,7588.7800,2.856423
46,7588.8000,2.875185
47,7588.8200,2.917398
48,7588.8400,3.006515
49,7588.8600,3.039347
50,7588.8800,3.062799
51,7588.9000,3.147225
52,7588.9200,3.151916
53,7588.9400,3.21289
54,7588.9600,3.297316
55,7588.9800,3.287936
56,7589.0000,3.287936
57,7589.0200,3.372362
58,7589.0400,3.419266
59,7589.0600,3.438027
60,7589.0800,3.47555
61,7589.1000,3.508382
62,7589.1200,3.508382
63,7589.1400,3.47555
64,7589.1600,3.433336
65,7589.1800,3.503692
66,7589.2000,3.583428
67,7589.2200,3.583428
68,7589.2400,3.583428
69,7589.2600,3.559976
70,7589.2800,3.550595
71,7589.3000,3.588118
72,7589.3200,3.719448
73,7589.3400,3.87892
74,7589.3600,4.024321
75,7589.3800,4.14627
76,7589.4000,4.268219
77,7589.4200,4.390168
78,7589.4400,4.465214
79,7589.4600,4.460523
80,7589.4800,4.460523
81,7589.5000,4.455833
82,7589.5200,4.390168
83,7589.5400,4.310432
84,7589.5600,4.310432
85,7589.5800,4.390168
86,7589.6000,4.469904
87,7589.6200,4.465214
88,7589.6400,4.512117
89,7589.6600,4.535569
90,7589.6800,4.535569
91,7589.7000,4.535569
92,7589.7200,4.535569
93,7589.7400,4.610615
94,7589.7600,4.624686
95,7589.7800,4.662209
96,7589.8000,4.67628
97,7589.8200,4.765396
98,7589.8400,4.863894
99,7589.8600,4.990533
100,7589.8800,5.112482
101,7589.9000,5.239121
102,7589.9200,5.379832
103,7589.9400,5.48302
104,7589.9600,5.562756
105,7589.9800,5.642492
106,7590.0000,5.712847
107,7590.0200,5.708157
108,7590.0400,5.745679
109,7590.0600,5.773821
110,7590.0800,5.853558
111,7590.1000,5.928603
112,7590.1200,6.008339
113,7590.1400,6.120907
114,7590.1600,6.219405
115,7590.1800,6.214715
116,7590.2000,6.275689
117,7590.2200,6.214715
118,7590.2400,6.224095
119,7590.2600,6.163121
120,7590.2800,6.214715
121,7590.3000,6.280379
122,7590.3200,6.355425
123,7590.3400,6.435161
124,7590.3600,6.496135
125,7590.3800,6.575871
126,7590.4000,6.669678
127,7590.4200,6.763485
128,7590.4400,6.843221
129,7590.4600,6.871364
130,7590.4800,6.941719
131,7590.5000,6.998003
132,7590.5200,7.058978
133,7590.5400,7.157475
134,7590.5600,7.265353
135,7590.5800,7.387302
136,7590.6000,7.387302
137,7590.6200,7.387302
138,7590.6400,7.448277
139,7590.6600,7.462348
140,7590.6800,7.546774
141,7590.7000,7.471728
142,7590.7200,7.537393
143,7590.7400,7.532703
144,7590.7600,7.509251
145,7590.7800,7.462348
146,7590.8000,7.452967
147,7590.8200,7.377921
148,7590.8400,7.307566
149,7590.8600,7.316947
150,7590.8800,7.232521
151,7590.9000,7.241901
152,7590.9200,7.237211
153,7590.9400,7.316947
154,7590.9600,7.410754
155,7590.9800,7.570226
156,7591.0000,7.739079
157,7591.0200,7.903241
158,7591.0400,8.058022
159,7591.0600,8.137758
160,7591.0800,8.203423
161,7591.1000,8.269088
162,7591.1200,8.344133
163,7591.1400,8.419179
164,7591.1600,8.42856
165,7591.1800,8.489534
166,7591.2000,8.57396
167,7591.2200,8.480154
168,7591.2400,8.409799
169,7591.2600,8.419179
170,7591.2800,8.55989
171,7591.3000,8.700601
172,7591.3200,8.813169
173,7591.3400,8.897594
174,7591.3600,9.000783
175,7591.3800,9.075829
176,7591.4000,9.066447
177,7591.4200,9.174326
178,7591.4400,9.272823
179,7591.4600,9.361939
180,7591.4800,9.526102
181,7591.5000,9.62929
182,7591.5200,9.779381
183,7591.5400,9.859117
184,7591.5600,9.816904
185,7591.5800,9.774691
186,7591.6000,9.723097
187,7591.6200,9.727787
188,7591.6400,9.802833
189,7591.6600,9.89664
190,7591.6800,9.999827
191,7591.7000,10.10771
192,7591.7200,10.23434
193,7591.7400,10.30939
194,7591.7600,10.42196
195,7591.7800,10.55798
196,7591.8000,10.67524
197,7591.8200,10.75966
198,7591.8400,10.8394
199,7591.8600,10.90506
200,7591.8800,11.02232
201,7591.9000,10.97073
202,7591.9200,10.97073
203,7591.9400,11.0364
