#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,0.8464497
2,7620.644000,0.917371
3,7620.645000,1.21592
4,7620.646000,1.278562
5,7620.647000,1.267584
6,7620.648000,1.261548
7,7620.649000,1.168201
8,7620.650000,1.192699
9,7620.651000,1.257164
10,7620.652000,1.267281
11,7620.653000,1.222275
12,7620.654000,1.190996
13,7620.655000,1.163944
14,7620.656000,1.152863
15,7620.657000,1.172838
16,7620.658000,1.210009
17,7620.659000,1.247048
18,7620.660000,1.263071
19,7620.661000,1.242851
20,7620.662000,1.2072
21,7620.663000,1.181737
22,7620.664000,1.132529
23,7620.665000,1.092705
24,7620.666000,1.132153
25,7620.667000,1.218418
26,7620.668000,1.267215
27,7620.669000,1.231502
28,7620.670000,1.19506
29,7620.671000,1.179542
30,7620.672000,1.06808
31,7620.673000,0.9734549
32,7620.674000,0.9477183
33,7620.675000,1.01856
34,7620.676000,1.060329
35,7620.677000,1.095687
36,7620.678000,1.081429
37,7620.679000,0.992031
38,7620.680000,0.9448133
39,7620.681000,0.9262077
40,7620.682000,0.9122391
41,7620.683000,0.8896383
42,7620.684000,0.890327
43,7620.685000,0.902668
44,7620.686000,0.9228402
45,7620.687000,0.9521639
46,7620.688000,1.018181
47,7620.689000,1.122872
48,7620.690000,1.199238
49,7620.691000,1.237233
50,7620.692000,1.23093
51,7620.693000,1.16055
52,7620.694000,1.095801
53,7620.695000,1.03045
54,7620.696000,1.032422
55,7620.697000,1.123815
56,7620.698000,1.221175
57,7620.699000,1.347298
58,7620.700000,1.39093
59,7620.701000,1.33121
60,7620.702000,1.300591
61,7620.703000,1.27208
62,7620.704000,1.248312
63,7620.705000,1.25039
64,7620.706000,1.231981
65,7620.707000,1.130398
66,7620.708000,1.070394
67,7620.709000,1.017018
68,7620.710000,0.9599988
69,7620.711000,1.018005
70,7620.712000,1.09079
71,7620.713000,1.231224
72,7620.714000,1.304334
73,7620.715000,1.236814
74,7620.716000,1.151754
75,7620.717000,0.9845553
76,7620.718000,0.8840698
77,7620.719000,0.9523885
78,7620.720000,0.9821014
79,7620.721000,1.048903
80,7620.722000,1.097044
81,7620.723000,1.110427
82,7620.724000,1.117824
83,7620.725000,1.100848
84,7620.726000,1.106257
85,7620.727000,1.135713
86,7620.728000,1.137762
87,7620.729000,1.107527
88,7620.730000,1.041172
89,7620.731000,1.051069
90,7620.732000,0.9884229
91,7620.733000,0.9007069
92,7620.734000,0.9370725
93,7620.735000,0.918395
94,7620.736000,0.9243659
95,7620.737000,0.9410731
96,7620.738000,0.8526422
97,7620.739000,0.8599021
98,7620.740000,0.8517955
99,7620.741000,0.8598702
100,7620.742000,0.8925043
101,7620.743000,0.878857
102,7620.744000,0.8011128
103,7620.745000,0.8400939
104,7620.746000,0.8030148
105,7620.747000,0.8001541
106,7620.748000,0.7866317
107,7620.749000,0.7749201
108,7620.750000,0.7686291
109,7620.751000,0.767718
110,7620.752000,0.7710143
111,7620.753000,0.7799615
112,7620.754000,0.7902992
113,7620.755000,0.8020808
114,7620.756000,0.8188211
115,7620.757000,0.8396784
116,7620.758000,0.8464293
117,7620.759000,0.837707
118,7620.760000,0.8217265
119,7620.761000,0.7933984
120,7620.762000,0.780517
121,7620.763000,0.7852841
122,7620.764000,0.7894042
