#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,0.07198691
2,7620.644000,0.07215858
3,7620.645000,0.07230639
4,7620.646000,0.07247591
5,7620.647000,0.07266712
6,7620.648000,0.07308984
7,7620.649000,0.07378936
8,7620.650000,0.07261515
9,7620.651000,0.0694325
10,7620.652000,0.07427049
11,7620.653000,0.08748198
12,7620.654000,0.05863476
13,7620.655000,0.07919574
14,7620.656000,0.07438946
15,7620.657000,0.07453299
16,7620.658000,0.07466722
17,7620.659000,0.07484412
18,7620.660000,0.07499313
19,7620.661000,0.07514143
20,7620.662000,0.07525277
21,7620.663000,0.07531857
22,7620.664000,0.07536125
23,7620.665000,0.07537031
24,7620.666000,0.07536483
25,7620.667000,0.07534361
26,7620.668000,0.07511306
27,7620.669000,0.07465649
28,7620.670000,0.07611012
29,7620.671000,0.07965732
30,7620.672000,0.0728426
31,7620.673000,0.05508757
32,7620.674000,0.0876348
33,7620.675000,0.1035378
34,7620.676000,0.03750086
35,7620.677000,0.08601546
36,7620.678000,0.07400036
37,7620.679000,0.07392216
38,7620.680000,0.0737915
39,7620.681000,0.07367563
40,7620.682000,0.07357645
41,7620.683000,0.07346916
42,7620.684000,0.07336426
43,7620.685000,0.07330656
44,7620.686000,0.07322145
45,7620.687000,0.07309508
46,7620.688000,0.07298255
47,7620.689000,0.07285237
48,7620.690000,0.0727365
49,7620.691000,0.07263732
50,7620.692000,0.07253408
51,7620.693000,0.07243538
52,7620.694000,0.07232189
53,7620.695000,0.07218218
54,7620.696000,0.07202148
55,7620.697000,0.0718751
56,7620.698000,0.07170653
57,7620.699000,0.07152724
58,7620.700000,0.07137895
59,7620.701000,0.07115197
60,7620.702000,0.07095551
61,7620.703000,0.07080364
62,7620.704000,0.07062507
63,7620.705000,0.0704577
64,7620.706000,0.07027459
65,7620.707000,0.07009745
66,7620.708000,0.06991172
67,7620.709000,0.06972861
68,7620.710000,0.06950474
69,7620.711000,0.06923819
70,7620.712000,0.06894517
71,7620.713000,0.0686152
72,7620.714000,0.06827211
73,7620.715000,0.06791997
74,7620.716000,0.0675385
75,7620.717000,0.06712484
76,7620.718000,0.06680655
77,7620.719000,0.06663394
78,7620.720000,0.06552482
79,7620.721000,0.06344151
80,7620.722000,0.06462502
81,7620.723000,0.06918669
82,7620.724000,0.05954051
83,7620.725000,0.08075404
84,7620.726000,0.0573113
85,7620.727000,0.002211332
86,7620.728000,0.1064165
87,7620.729000,0.129118
88,7620.730000,-0.03088355
89,7620.731000,0.08989978
90,7620.732000,0.05981398
91,7620.733000,0.05928373
92,7620.734000,0.05882287
93,7620.735000,0.05843925
94,7620.736000,0.05763531
95,7620.737000,0.05638742
96,7620.738000,0.05727625
97,7620.739000,0.05565667
98,7620.740000,0.0553143
99,7620.741000,0.05471349
100,7620.742000,0.05414629
101,7620.743000,0.05361223
102,7620.744000,0.05309105
103,7620.745000,0.05259204
104,7620.746000,0.0520854
105,7620.747000,0.05158663
106,7620.748000,0.05113697
107,7620.749000,0.05073881
108,7620.750000,0.05038142
109,7620.751000,0.04997325
110,7620.752000,0.04941916
111,7620.753000,0.04886079
112,7620.754000,0.04788899
113,7620.755000,0.04628897
114,7620.756000,0.04294276
115,7620.757000,0.03778362
116,7620.758000,0.0490787
