#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,0.3030167
2,7620.644000,0.3846436
3,7620.645000,0.4605484
4,7620.646000,0.5221558
5,7620.647000,0.5516129
6,7620.648000,0.5829163
7,7620.649000,0.6088867
8,7620.650000,0.601059
9,7620.651000,0.5611343
10,7620.652000,0.4956741
11,7620.653000,0.3980179
12,7620.654000,0.3206635
13,7620.655000,0.2671356
14,7620.656000,0.2065048
15,7620.657000,0.1520615
16,7620.658000,0.07444
17,7620.659000,-0.03031921
18,7620.660000,-0.1370697
19,7620.661000,-0.2531281
20,7620.662000,-0.3305969
21,7620.663000,-0.3618317
22,7620.664000,-0.3747635
23,7620.665000,-0.3547821
24,7620.666000,-0.3244247
25,7620.667000,-0.2851639
26,7620.668000,-0.2123489
27,7620.669000,-0.1099014
28,7620.670000,-0.02510071
29,7620.671000,0.04178619
30,7620.672000,0.1115417
31,7620.673000,0.1726913
32,7620.674000,0.2601929
33,7620.675000,0.3769073
34,7620.676000,0.4962997
35,7620.677000,0.6265564
36,7620.678000,0.6558228
37,7620.679000,0.5699539
38,7620.680000,0.4273605
39,7620.681000,0.1949768
40,7620.682000,-0.0689621
41,7620.683000,-0.3615875
42,7620.684000,-0.742218
43,7620.685000,-1.200493
44,7620.686000,-1.418793
45,7620.687000,-1.375092
46,7620.688000,-1.213882
47,7620.689000,-0.8478165
48,7620.690000,-0.4776917
49,7620.691000,-0.1138687
50,7620.692000,0.4209137
51,7620.693000,1.086655
52,7620.694000,1.47068
53,7620.695000,1.557007
54,7620.696000,1.515823
55,7620.697000,1.237846
56,7620.698000,1.010529
57,7620.699000,0.8481903
58,7620.700000,0.5128326
59,7620.701000,0.06378174
60,7620.702000,-0.2593613
61,7620.703000,-0.4643631
62,7620.704000,-0.6264191
63,7620.705000,-0.6876831
64,7620.706000,-0.851326
65,7620.707000,-1.126595
66,7620.708000,-1.364441
67,7620.709000,-1.609215
68,7620.710000,-1.680199
69,7620.711000,-1.542732
70,7620.712000,-1.312737
71,7620.713000,-0.9336548
72,7620.714000,-0.4771423
73,7620.715000,0.05075073
74,7620.716000,0.7382126
75,7620.717000,1.573349
76,7620.718000,2.036339
77,7620.719000,2.091377
78,7620.720000,1.979095
79,7620.721000,1.557373
80,7620.722000,1.152519
81,7620.723000,0.782959
82,7620.724000,0.1612167
83,7620.725000,-0.6466827
84,7620.726000,-1.109924
85,7620.727000,-1.216049
86,7620.728000,-1.17485
87,7620.729000,-0.8488007
88,7620.730000,-0.6233292
89,7620.731000,-0.5179977
90,7620.732000,-0.2229462
91,7620.733000,0.1807022
92,7620.734000,0.4085693
93,7620.735000,0.471199
94,7620.736000,0.4488297
95,7620.737000,0.2721939
96,7620.738000,0.1873856
97,7620.739000,0.2032623
98,7620.740000,0.1389923
99,7620.741000,0.04692841
100,7620.742000,6.561279E-4
101,7620.743000,-0.01274109
102,7620.744000,0.008247375
103,7620.745000,0.07950592
104,7620.746000,0.1110153
105,7620.747000,0.102417
106,7620.748000,0.1116257
107,7620.749000,0.1198578
108,7620.750000,0.1252289
109,7620.751000,0.1330643
110,7620.752000,0.1308746
111,7620.753000,0.1190338
112,7620.754000,0.1145554
113,7620.755000,0.1161423
114,7620.756000,0.1155014
115,7620.757000,0.1158142
