#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,0.07384491
2,7620.644000,0.09667587
3,7620.645000,0.1118927
4,7620.646000,0.1314449
5,7620.647000,0.1571159
6,7620.648000,0.1759853
7,7620.649000,0.1906452
8,7620.650000,0.2019596
9,7620.651000,0.207943
10,7620.652000,0.2096539
11,7620.653000,0.2064342
12,7620.654000,0.1864986
13,7620.655000,0.148468
14,7620.656000,0.09687424
15,7620.657000,0.02806282
16,7620.658000,-0.008235931
17,7620.659000,-0.007770538
18,7620.660000,0.002428055
19,7620.661000,0.0357933
20,7620.662000,0.04020309
21,7620.663000,0.01054192
22,7620.664000,-0.01651764
23,7620.665000,-0.05412865
24,7620.666000,-0.07500076
25,7620.667000,-0.07376099
26,7620.668000,-0.07395744
27,7620.669000,-0.06789589
28,7620.670000,-0.07039452
29,7620.671000,-0.08495712
30,7620.672000,-0.09819221
31,7620.673000,-0.114521
32,7620.674000,-0.1285572
33,7620.675000,-0.1386719
34,7620.676000,-0.1511955
35,7620.677000,-0.1645374
36,7620.678000,-0.167593
37,7620.679000,-0.1600151
38,7620.680000,-0.1473751
39,7620.681000,-0.1268578
40,7620.682000,-0.09764671
41,7620.683000,-0.05959511
42,7620.684000,-0.04689217
43,7620.685000,0.01243973
44,7620.686000,0.03703499
45,7620.687000,0.04997635
46,7620.688000,0.05662537
47,7620.689000,0.05117226
48,7620.690000,0.04784775
49,7620.691000,0.047369
50,7620.692000,0.03753853
51,7620.693000,0.02123642
52,7620.694000,0.06546021
53,7620.695000,0.1753597
54,7620.696000,0.3213253
55,7620.697000,0.5221844
56,7620.698000,0.6028624
57,7620.699000,0.5480051
58,7620.700000,0.4577112
59,7620.701000,0.2852507
60,7620.702000,0.145813
61,7620.703000,0.05199623
62,7620.704000,-0.09214592
63,7620.705000,-0.2591171
64,7620.706000,-0.3564987
65,7620.707000,-0.3854485
66,7620.708000,-0.3689289
67,7620.709000,-0.2827492
68,7620.710000,-0.2477226
69,7620.711000,-0.2690029
70,7620.712000,-0.2659931
71,7620.713000,-0.2661419
72,7620.714000,-0.1994781
73,7620.715000,-0.05205727
74,7620.716000,0.1224976
75,7620.717000,0.3450012
76,7620.718000,0.4424601
77,7620.719000,0.394515
78,7620.720000,0.3008299
79,7620.721000,0.1124439
80,7620.722000,0.003671646
81,7620.723000,-0.008424759
82,7620.724000,-0.05094719
83,7620.725000,-0.08056641
84,7620.726000,-0.08247757
85,7620.727000,-0.06534195
86,7620.728000,-0.08184624
87,7620.729000,-0.1362038
88,7620.730000,-0.1283379
89,7620.731000,-0.06554985
90,7620.732000,-0.008434296
91,7620.733000,0.06050682
92,7620.734000,0.1026268
93,7620.735000,0.1065807
94,7620.736000,0.1005192
95,7620.737000,0.07081795
96,7620.738000,0.05431557
97,7620.739000,0.05446434
98,7620.740000,0.04040146
99,7620.741000,0.02063179
100,7620.742000,0.009977341
101,7620.743000,0.006202698
102,7620.744000,0.00828743
103,7620.745000,0.01943016
104,7620.746000,0.02393341
105,7620.747000,0.02171516
106,7620.748000,0.02327156
107,7620.749000,0.02535248
108,7620.750000,0.02557564
109,7620.751000,0.0247345
110,7620.752000,0.02164841
111,7620.753000,0.01584816
112,7620.754000,0.01158142
113,7620.755000,0.008733749
