#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,4.859157
2,7620.644000,4.751144
3,7620.645000,4.796089
4,7620.646000,4.910206
5,7620.647000,5.016824
6,7620.648000,5.016274
7,7620.649000,4.898157
8,7620.650000,4.794513
9,7620.651000,4.757397
10,7620.652000,4.759897
11,7620.653000,4.865522
12,7620.654000,4.917169
13,7620.655000,4.915814
14,7620.656000,4.932363
15,7620.657000,4.933487
16,7620.658000,4.932637
17,7620.659000,4.904777
18,7620.660000,4.926138
19,7620.661000,4.992532
20,7620.662000,5.021406
21,7620.663000,5.060942
22,7620.664000,5.096113
23,7620.665000,5.112615
24,7620.666000,5.085557
25,7620.667000,5.052414
26,7620.668000,5.116953
27,7620.669000,5.262581
28,7620.670000,5.297932
29,7620.671000,5.289712
30,7620.672000,5.22919
31,7620.673000,5.190129
32,7620.674000,5.170393
33,7620.675000,5.222627
34,7620.676000,5.286369
35,7620.677000,5.388214
36,7620.678000,5.452257
37,7620.679000,5.4713
38,7620.680000,5.460845
39,7620.681000,5.398296
40,7620.682000,5.408364
41,7620.683000,5.460196
42,7620.684000,5.495052
43,7620.685000,5.523261
44,7620.686000,5.511166
45,7620.687000,5.443285
46,7620.688000,5.347533
47,7620.689000,5.20898
48,7620.690000,5.144255
49,7620.691000,5.1519
50,7620.692000,5.15969
51,7620.693000,5.186136
52,7620.694000,5.230491
53,7620.695000,5.282893
54,7620.696000,5.269051
55,7620.697000,5.176335
56,7620.698000,5.153794
57,7620.699000,5.188254
58,7620.700000,5.230814
59,7620.701000,5.310189
60,7620.702000,5.316995
61,7620.703000,5.243472
62,7620.704000,5.26385
63,7620.705000,5.362251
64,7620.706000,5.424445
65,7620.707000,5.408722
66,7620.708000,5.457095
67,7620.709000,5.52759
68,7620.710000,5.476234
69,7620.711000,5.409739
70,7620.712000,5.288688
71,7620.713000,5.127535
72,7620.714000,5.095776
73,7620.715000,5.146061
74,7620.716000,5.221677
75,7620.717000,5.338033
76,7620.718000,5.355146
77,7620.719000,5.341726
78,7620.720000,5.296184
79,7620.721000,5.218955
80,7620.722000,5.20229
81,7620.723000,5.258646
82,7620.724000,5.283296
83,7620.725000,5.298481
84,7620.726000,5.309135
85,7620.727000,5.299624
86,7620.728000,5.290291
87,7620.729000,5.289533
88,7620.730000,5.333414
89,7620.731000,5.305512
90,7620.732000,5.33684
91,7620.733000,5.384994
92,7620.734000,5.318688
93,7620.735000,5.316597
94,7620.736000,5.303098
95,7620.737000,5.297513
96,7620.738000,5.343784
97,7620.739000,5.34128
98,7620.740000,5.330778
99,7620.741000,5.310695
100,7620.742000,5.268247
101,7620.743000,5.275792
102,7620.744000,5.348201
103,7620.745000,5.305354
104,7620.746000,5.342569
105,7620.747000,5.349472
106,7620.748000,5.370431
107,7620.749000,5.393611
108,7620.750000,5.410761
109,7620.751000,5.42166
110,7620.752000,5.430284
111,7620.753000,5.434054
112,7620.754000,5.439913
113,7620.755000,5.448211
114,7620.756000,5.453231
115,7620.757000,5.456519
116,7620.758000,5.460048
117,7620.759000,5.463313
118,7620.760000,5.466266
119,7620.761000,5.469238
120,7620.762000,5.453374
121,7620.763000,5.416884
122,7620.764000,5.369262
123,7620.765000,5.305185
124,7620.766000,5.330488
125,7620.767000,5.455612
