#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,0.1713475
2,7620.644000,0.1764322
3,7620.645000,0.1824504
4,7620.646000,0.1907741
5,7620.647000,0.2018463
6,7620.648000,0.2146649
7,7620.649000,0.2297406
8,7620.650000,0.237132
9,7620.651000,0.2358419
10,7620.652000,0.2456384
11,7620.653000,0.2652209
12,7620.654000,0.2736768
13,7620.655000,0.2736161
14,7620.656000,0.2759202
15,7620.657000,0.2772669
16,7620.658000,0.2756167
17,7620.659000,0.2720393
18,7620.660000,0.265715
19,7620.661000,0.2564443
20,7620.662000,0.2528073
21,7620.663000,0.2553927
22,7620.664000,0.2600477
23,7620.665000,0.2690799
24,7620.666000,0.2770378
25,7620.667000,0.2835376
26,7620.668000,0.2932849
27,7620.669000,0.3051214
28,7620.670000,0.3151466
29,7620.671000,0.3235989
30,7620.672000,0.3315724
31,7620.673000,0.3381668
32,7620.674000,0.34497
33,7620.675000,0.3519499
34,7620.676000,0.3568206
35,7620.677000,0.359733
36,7620.678000,0.3646183
37,7620.679000,0.371324
38,7620.680000,0.3616361
39,7620.681000,0.3682508
40,7620.682000,0.3653076
41,7620.683000,0.363673
42,7620.684000,0.3609779
43,7620.685000,0.3574208
44,7620.686000,0.356093
45,7620.687000,0.3572561
46,7620.688000,0.359611
47,7620.689000,0.36405
48,7620.690000,0.3686436
49,7620.691000,0.3733495
50,7620.692000,0.3799556
51,7620.693000,0.3881209
52,7620.694000,0.3958799
53,7620.695000,0.4033378
54,7620.696000,0.4112701
55,7620.697000,0.419248
56,7620.698000,0.4289816
57,7620.699000,0.4406239
58,7620.700000,0.4530134
59,7620.701000,0.4665785
60,7620.702000,0.4757322
61,7620.703000,0.4798266
62,7620.704000,0.4818273
63,7620.705000,0.4801205
64,7620.706000,0.4776973
65,7620.707000,0.4747482
66,7620.708000,0.4683315
67,7620.709000,0.4590187
68,7620.710000,0.4556704
69,7620.711000,0.4587072
70,7620.712000,0.4642616
71,7620.713000,0.4746891
72,7620.714000,0.4838251
73,7620.715000,0.4913113
74,7620.716000,0.5022498
75,7620.717000,0.5153397
76,7620.718000,0.5261878
77,7620.719000,0.5350137
78,7620.720000,0.5408481
79,7620.721000,0.5424227
80,7620.722000,0.5472294
81,7620.723000,0.5550555
82,7620.724000,0.5607042
83,7620.725000,0.5655618
84,7620.726000,0.5716687
85,7620.727000,0.5785595
86,7620.728000,0.5825462
87,7620.729000,0.5909535
88,7620.730000,0.5966146
89,7620.731000,0.6019241
90,7620.732000,0.6072192
91,7620.733000,0.6122274
92,7620.734000,0.6111224
93,7620.735000,0.6033531
94,7620.736000,0.5914301
95,7620.737000,0.5736495
96,7620.738000,0.5661703
97,7620.739000,0.5703621
98,7620.740000,0.5743994
99,7620.741000,0.5823034
100,7620.742000,0.5904521
101,7620.743000,0.5975098
102,7620.744000,0.6081129
103,7620.745000,0.6211444
104,7620.746000,0.6361781
105,7620.747000,0.6537746
106,7620.748000,0.6678653
107,7620.749000,0.6891273
108,7620.750000,0.7015774
109,7620.751000,0.7079822
110,7620.752000,0.7109015
111,7620.753000,0.7081805
112,7620.754000,0.7041788
113,7620.755000,0.6989607
114,7620.756000,0.688616
115,7620.757000,0.6739042
116,7620.758000,0.6638271
117,7620.759000,0.6586504
