#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,2.661414
2,7620.644000,2.725802
3,7620.645000,2.834596
4,7620.646000,2.883566
5,7620.647000,2.860304
6,7620.648000,2.839165
7,7620.649000,2.792805
8,7620.650000,2.771949
9,7620.651000,2.786526
10,7620.652000,2.791954
11,7620.653000,2.802289
12,7620.654000,2.791883
13,7620.655000,2.754056
14,7620.656000,2.797843
15,7620.657000,2.924105
16,7620.658000,2.648064
17,7620.659000,2.843531
18,7620.660000,2.797329
19,7620.661000,2.798358
20,7620.662000,2.798872
21,7620.663000,2.798705
22,7620.664000,2.797966
23,7620.665000,2.796455
24,7620.666000,2.795278
25,7620.667000,2.794456
26,7620.668000,2.793234
27,7620.669000,2.791848
28,7620.670000,2.790251
29,7620.671000,2.788359
30,7620.672000,2.786365
31,7620.673000,2.784236
32,7620.674000,2.781801
33,7620.675000,2.779074
34,7620.676000,2.776113
35,7620.677000,2.772883
36,7620.678000,2.770107
37,7620.679000,2.767854
38,7620.680000,2.765758
39,7620.681000,2.764022
40,7620.682000,2.762253
41,7620.683000,2.760426
42,7620.684000,2.758919
43,7620.685000,2.757656
44,7620.686000,2.756145
45,7620.687000,2.754396
46,7620.688000,2.752602
47,7620.689000,2.750646
48,7620.690000,2.748925
49,7620.691000,2.747466
50,7620.692000,2.745982
51,7620.693000,2.744565
52,7620.694000,2.743063
53,7620.695000,2.741434
54,7620.696000,2.73982
55,7620.697000,2.738171
56,7620.698000,2.736514
57,7620.699000,2.734861
58,7620.700000,2.733158
59,7620.701000,2.731411
60,7620.702000,2.729841
61,7620.703000,2.72846
62,7620.704000,2.727167
63,7620.705000,2.72602
64,7620.706000,2.724881
65,7620.707000,2.723741
66,7620.708000,2.72272
67,7620.709000,2.721789
68,7620.710000,2.720364
69,7620.711000,2.7184
70,7620.712000,2.716154
71,7620.713000,2.71346
72,7620.714000,2.710688
73,7620.715000,2.70785
74,7620.716000,2.704617
75,7620.717000,2.701057
76,7620.718000,2.697549
77,7620.719000,2.69408
78,7620.720000,2.690507
79,7620.721000,2.686919
80,7620.722000,2.682996
81,7620.723000,2.678716
82,7620.724000,2.674304
83,7620.725000,2.669684
84,7620.726000,2.667801
85,7620.727000,2.668977
86,7620.728000,2.671777
87,7620.729000,2.67706
88,7620.730000,2.68319
89,7620.731000,2.690099
90,7620.732000,2.69939
91,7620.733000,2.710772
92,7620.734000,2.718533
93,7620.735000,2.722364
94,7620.736000,2.724816
95,7620.737000,2.724356
96,7620.738000,2.724769
97,7620.739000,2.726272
98,7620.740000,2.725653
99,7620.741000,2.723698
100,7620.742000,2.718872
101,7620.743000,2.710573
102,7620.744000,2.700005
103,7620.745000,2.686552
104,7620.746000,2.67021
105,7620.747000,2.650938
106,7620.748000,2.628095
107,7620.749000,2.601561
108,7620.750000,2.585841
109,7620.751000,2.582175
110,7620.752000,2.583555
111,7620.753000,2.59403
112,7620.754000,2.579414
113,7620.755000,2.536585
114,7620.756000,2.485394
115,7620.757000,2.416694
116,7620.758000,2.38319
117,7620.759000,2.390518
118,7620.760000,2.405819
119,7620.761000,2.443301
120,7620.762000,2.475016
121,7620.763000,2.497225
122,7620.764000,2.535631
123,7620.765000,2.583554
124,7620.766000,2.602287
125,7620.767000,2.591082
