#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,2.082997
2,7620.644000,2.113504
3,7620.645000,2.1256
4,7620.646000,2.198012
5,7620.647000,2.320385
6,7620.648000,2.391048
7,7620.649000,2.422696
8,7620.650000,2.430411
9,7620.651000,2.415831
10,7620.652000,2.415438
11,7620.653000,2.32921
12,7620.654000,2.320576
13,7620.655000,2.35963
14,7620.656000,2.368184
15,7620.657000,2.375484
16,7620.658000,2.519522
17,7620.659000,2.512903
18,7620.660000,2.409833
19,7620.661000,2.486053
20,7620.662000,2.498858
21,7620.663000,2.490268
22,7620.664000,2.481854
23,7620.665000,2.481644
24,7620.666000,2.468954
25,7620.667000,2.45422
26,7620.668000,2.44302
27,7620.669000,2.436444
28,7620.670000,2.402487
29,7620.671000,2.394561
30,7620.672000,2.448701
31,7620.673000,2.430985
32,7620.674000,2.45727
33,7620.675000,2.475675
34,7620.676000,2.496547
35,7620.677000,2.517727
36,7620.678000,2.558996
37,7620.679000,2.582553
38,7620.680000,2.571326
39,7620.681000,2.608197
40,7620.682000,2.618449
41,7620.683000,2.621459
42,7620.684000,2.681616
43,7620.685000,2.67693
44,7620.686000,2.707117
45,7620.687000,2.731832
46,7620.688000,2.758528
47,7620.689000,2.787343
48,7620.690000,2.819337
49,7620.691000,2.854936
50,7620.692000,2.893812
51,7620.693000,2.936479
52,7620.694000,2.97159
53,7620.695000,2.998197
54,7620.696000,3.023379
55,7620.697000,3.044161
56,7620.698000,3.050478
57,7620.699000,3.041542
58,7620.700000,3.047359
59,7620.701000,3.020204
60,7620.702000,3.007304
61,7620.703000,3.053534
62,7620.704000,3.059128
63,7620.705000,3.079535
64,7620.706000,3.085999
65,7620.707000,3.059437
66,7620.708000,3.06405
67,7620.709000,3.09004
68,7620.710000,3.093722
69,7620.711000,3.055606
70,7620.712000,3.0144
71,7620.713000,2.950256
72,7620.714000,2.929607
73,7620.715000,2.986054
74,7620.716000,3.04844
75,7620.717000,3.146341
76,7620.718000,3.205209
77,7620.719000,3.182099
78,7620.720000,3.199985
79,7620.721000,3.147329
80,7620.722000,3.157666
81,7620.723000,3.201091
82,7620.724000,3.194178
83,7620.725000,3.244635
84,7620.726000,3.308901
85,7620.727000,3.315062
86,7620.728000,3.283498
87,7620.729000,3.33903
88,7620.730000,3.327104
89,7620.731000,3.330524
90,7620.732000,3.359223
91,7620.733000,3.358403
92,7620.734000,3.377321
93,7620.735000,3.39639
94,7620.736000,3.397827
95,7620.737000,3.43039
96,7620.738000,3.439115
97,7620.739000,3.440259
98,7620.740000,3.445531
99,7620.741000,3.452221
100,7620.742000,3.456217
101,7620.743000,3.528665
102,7620.744000,3.528849
103,7620.745000,3.450244
104,7620.746000,3.482047
105,7620.747000,3.501486
106,7620.748000,3.450402
107,7620.749000,3.455289
108,7620.750000,3.463629
109,7620.751000,3.443796
110,7620.752000,3.453245
111,7620.753000,3.440414
112,7620.754000,3.436463
113,7620.755000,3.429867
114,7620.756000,3.425144
115,7620.757000,3.422561
116,7620.758000,3.42765
117,7620.759000,3.44187
118,7620.760000,3.484474
119,7620.761000,3.51514
120,7620.762000,3.562542
121,7620.763000,3.612107
122,7620.764000,3.665565
123,7620.765000,3.72098
124,7620.766000,3.79239
125,7620.767000,3.805086
