#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,1.006629
2,7620.644000,1.029419
3,7620.645000,1.055547
4,7620.646000,1.07859
5,7620.647000,0.9616073
6,7620.648000,0.9368733
7,7620.649000,1.013823
8,7620.650000,1.095632
9,7620.651000,1.160722
10,7620.652000,1.171856
11,7620.653000,1.086147
12,7620.654000,1.11474
13,7620.655000,1.229548
14,7620.656000,1.268588
15,7620.657000,1.256472
16,7620.658000,1.240605
17,7620.659000,1.2205
18,7620.660000,1.225929
19,7620.661000,1.274121
20,7620.662000,1.279627
21,7620.663000,1.290633
22,7620.664000,1.288459
23,7620.665000,1.258597
24,7620.666000,1.186746
25,7620.667000,1.110327
26,7620.668000,1.075327
27,7620.669000,1.14414
28,7620.670000,1.191658
29,7620.671000,1.190206
30,7620.672000,1.200919
31,7620.673000,1.273157
32,7620.674000,1.251702
33,7620.675000,1.174796
34,7620.676000,1.125107
35,7620.677000,1.091647
36,7620.678000,1.079369
37,7620.679000,1.107484
38,7620.680000,1.128258
39,7620.681000,1.148618
40,7620.682000,1.184697
41,7620.683000,1.194762
42,7620.684000,1.226056
43,7620.685000,1.26449
44,7620.686000,1.282914
45,7620.687000,1.281841
46,7620.688000,1.252061
47,7620.689000,1.184649
48,7620.690000,1.130203
49,7620.691000,1.098351
50,7620.692000,1.085989
51,7620.693000,1.106806
52,7620.694000,1.103007
53,7620.695000,1.076021
54,7620.696000,1.066217
55,7620.697000,1.062969
56,7620.698000,1.000273
57,7620.699000,0.8766737
58,7620.700000,0.9006062
59,7620.701000,1.073677
60,7620.702000,1.084025
61,7620.703000,0.9603716
62,7620.704000,0.9789947
63,7620.705000,1.097237
64,7620.706000,1.176644
65,7620.707000,1.188068
66,7620.708000,1.27578
67,7620.709000,1.397174
68,7620.710000,1.384397
69,7620.711000,1.342555
70,7620.712000,1.258128
71,7620.713000,1.140587
72,7620.714000,1.077743
73,7620.715000,1.151959
74,7620.716000,1.246862
75,7620.717000,1.422535
76,7620.718000,1.457811
77,7620.719000,1.427739
78,7620.720000,1.373347
79,7620.721000,1.282336
80,7620.722000,1.240411
81,7620.723000,1.26435
82,7620.724000,1.245132
83,7620.725000,1.204601
84,7620.726000,1.175146
85,7620.727000,1.142724
86,7620.728000,1.114593
87,7620.729000,1.1064
88,7620.730000,1.134088
89,7620.731000,1.0797
90,7620.732000,1.09395
91,7620.733000,1.130274
92,7620.734000,1.044712
93,7620.735000,1.017725
94,7620.736000,1.072347
95,7620.737000,1.103521
96,7620.738000,1.033097
97,7620.739000,1.014439
98,7620.740000,1.02364
99,7620.741000,1.080546
100,7620.742000,1.055128
101,7620.743000,1.013423
102,7620.744000,1.085337
103,7620.745000,1.067057
104,7620.746000,1.018451
105,7620.747000,1.061597
106,7620.748000,1.052505
107,7620.749000,1.05341
108,7620.750000,1.056001
109,7620.751000,1.060111
110,7620.752000,1.065327
111,7620.753000,1.072041
112,7620.754000,1.07898
113,7620.755000,1.086115
114,7620.756000,1.094345
115,7620.757000,1.103512
116,7620.758000,1.104904
117,7620.759000,1.097784
118,7620.760000,1.086009
119,7620.761000,1.067105
120,7620.762000,1.058841
121,7620.763000,1.062682
122,7620.764000,1.067492
123,7620.765000,1.077838
124,7620.766000,1.040359
