#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,1.457795
2,7620.644000,1.388878
3,7620.645000,1.280234
4,7620.646000,1.276619
5,7620.647000,1.396981
6,7620.648000,1.465902
7,7620.649000,1.336524
8,7620.650000,1.344611
9,7620.651000,1.392591
10,7620.652000,1.389907
11,7620.653000,1.359093
12,7620.654000,1.380978
13,7620.655000,1.373506
14,7620.656000,1.373212
15,7620.657000,1.360787
16,7620.658000,1.387898
17,7620.659000,1.368303
18,7620.660000,1.372748
19,7620.661000,1.372944
20,7620.662000,1.372489
21,7620.663000,1.371511
22,7620.664000,1.371478
23,7620.665000,1.372322
24,7620.666000,1.368464
25,7620.667000,1.359707
26,7620.668000,1.374801
27,7620.669000,1.360835
28,7620.670000,1.363431
29,7620.671000,1.365171
30,7620.672000,1.359304
31,7620.673000,1.345575
32,7620.674000,1.371474
33,7620.675000,1.350237
34,7620.676000,1.353247
35,7620.677000,1.351686
36,7620.678000,1.349625
37,7620.679000,1.349524
38,7620.680000,1.34909
39,7620.681000,1.349307
40,7620.682000,1.350248
41,7620.683000,1.351951
42,7620.684000,1.349835
43,7620.685000,1.343517
44,7620.686000,1.354234
45,7620.687000,1.382671
46,7620.688000,1.318346
47,7620.689000,1.375214
48,7620.690000,1.342475
49,7620.691000,1.289472
50,7620.692000,1.393004
51,7620.693000,1.433291
52,7620.694000,1.246752
53,7620.695000,1.373427
54,7620.696000,1.326642
55,7620.697000,1.308272
56,7620.698000,1.325461
57,7620.699000,1.382297
58,7620.700000,1.384031
59,7620.701000,1.334533
60,7620.702000,1.325667
61,7620.703000,1.342684
62,7620.704000,1.34552
63,7620.705000,1.347608
64,7620.706000,1.347799
65,7620.707000,1.341711
66,7620.708000,1.347223
67,7620.709000,1.363969
68,7620.710000,1.332303
69,7620.711000,1.340752
70,7620.712000,1.360526
71,7620.713000,1.33848
72,7620.714000,1.351028
73,7620.715000,1.371717
74,7620.716000,1.332996
75,7620.717000,1.305369
76,7620.718000,1.393925
77,7620.719000,1.363628
78,7620.720000,1.32026
79,7620.721000,1.337495
80,7620.722000,1.368371
81,7620.723000,1.328978
82,7620.724000,1.356535
83,7620.725000,1.399377
84,7620.726000,1.317459
85,7620.727000,1.298072
86,7620.728000,1.406776
87,7620.729000,1.30705
88,7620.730000,1.339114
89,7620.731000,1.37308
90,7620.732000,1.370501
91,7620.733000,1.340691
92,7620.734000,1.338314
93,7620.735000,1.35754
94,7620.736000,1.352973
95,7620.737000,1.332391
96,7620.738000,1.370036
97,7620.739000,1.355472
98,7620.740000,1.343331
99,7620.741000,1.356956
100,7620.742000,1.353697
101,7620.743000,1.352735
102,7620.744000,1.354797
103,7620.745000,1.359999
104,7620.746000,1.352585
105,7620.747000,1.332087
106,7620.748000,1.374742
107,7620.749000,1.356699
108,7620.750000,1.339767
109,7620.751000,1.347974
110,7620.752000,1.351711
111,7620.753000,1.373291
112,7620.754000,1.324147
113,7620.755000,1.363515
114,7620.756000,1.345066
115,7620.757000,1.320719
116,7620.758000,1.364045
117,7620.759000,1.384413
118,7620.760000,1.299107
119,7620.761000,1.338892
120,7620.762000,1.362961
121,7620.763000,1.334315
122,7620.764000,1.339993
123,7620.765000,1.338936
124,7620.766000,1.337749
125,7620.767000,1.336428
