Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.015506110558938451,0.07450580596923828,0.04153709113674618,5905,0.7019329102966054
cegun,dianjichui,0.03600134403891057,-0.01862645149230957,0.01245240418958107,4811,-0.12208417138626479
cegun,dianjiheng,0.02809907404375142,0.03725290298461914,0.07027898886104124,2566,0.44361016307869416
cegun,fuchen,-0.18024617950990005,-0.4898756742477417,-0.03724048072197865,1462,-0.9891523547907904
cegun,hengjian,0.38541723029674707,-0.040978193283081055,-0.1299659732240719,2628,-0.5058946411678658
cegun,hengxiang ,-0.38169528110028206,-0.24214386940002441,-0.21765814667955474,2162,-0.9286619751828434
cegun,lingxing,0.2534587733097399,0.4209578037261963,-0.16310067476903842,2007,0.9900031087789718
cegun,niuzhuan,0.3986645611199994,0.5550682544708252,0.2715223965449325,1882,0.9888221079178036
cegun,qianyin,0.6947485454970953,-0.029802322387695312,-0.938976371423393,9832,-0.2444317271211215
cegun,zhidong,-0.7145214369951719,-0.06332993507385254,0.8482553286473982,5667,-0.5787119657808275
chilunxiang,cegun,-0.015506110558939433,-0.029802322387695312,-0.6100277588868648,1820,-0.26839741338016876
chilunxiang,dianjichui,0.08123217391764107,0.04842877388000488,0.00897445268256806,4952,0.4860761257428383
chilunxiang,dianjiheng,0.05003073313331859,0.014901161193847656,0.02811548981701368,2485,0.1218637730402121
chilunxiang,fuchen,0.1536202110768333,-0.04842877388000488,0.4808299060525917,1395,-0.45135665425368005
chilunxiang,hengjian,0.11121557933928722,0.22724270820617676,-0.07974840800694222,2630,0.9437322613886417
chilunxiang,hengxiang ,-0.009141376763027044,-0.27939677238464355,0.2727845266304861,2139,-0.9464165928383997
chilunxiang,lingxing,0.0724626189550551,-0.04470348358154297,-0.6259311598799042,1818,-0.6033711271759454
chilunxiang,niuzhuan,0.07674845017127972,-0.009313225746154785,-0.08280842839875516,1793,-0.09676151727944715
chilunxiang,qianyin,-0.15055787160541811,0.029802322387695312,-0.9091958188296163,9851,0.025502818250861276
chilunxiang,zhidong,0.16562263319185538,0.08568167686462402,0.8392533699953177,5576,0.6180348554659015
