#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7620.643000,-0.8903607
2,7620.644000,-0.8473679
3,7620.645000,-1.070479
4,7620.646000,-1.292764
5,7620.647000,-1.388623
6,7620.648000,-1.533396
7,7620.649000,-1.620762
8,7620.650000,-1.478366
9,7620.651000,-1.289707
10,7620.652000,-1.134824
11,7620.653000,-1.147715
12,7620.654000,-1.262568
13,7620.655000,-1.301221
14,7620.656000,-1.277851
15,7620.657000,-1.192211
16,7620.658000,-1.064819
17,7620.659000,-0.8934219
18,7620.660000,-0.7754552
19,7620.661000,-0.6647573
20,7620.662000,-0.7392647
21,7620.663000,-1.066097
22,7620.664000,-1.270741
23,7620.665000,-1.400746
24,7620.666000,-1.348812
25,7620.667000,-1.1285
26,7620.668000,-1.074378
27,7620.669000,-1.065204
28,7620.670000,-0.9354346
29,7620.671000,-0.6934279
30,7620.672000,-0.5066135
31,7620.673000,-0.3449515
32,7620.674000,-0.2111747
33,7620.675000,-0.1010375
34,7620.676000,-0.08762567
35,7620.677000,-0.175426
36,7620.678000,-0.1884904
37,7620.679000,-0.1420739
38,7620.680000,-0.06023539
39,7620.681000,-0.06567039
40,7620.682000,-0.1114543
41,7620.683000,-0.2701873
42,7620.684000,-0.4461487
43,7620.685000,-0.663356
44,7620.686000,-0.7275864
45,7620.687000,-0.6090174
46,7620.688000,-0.4685912
47,7620.689000,-0.2833801
48,7620.690000,-0.2029882
49,7620.691000,-0.2054413
50,7620.692000,-0.2500751
51,7620.693000,-0.3788854
52,7620.694000,-0.2545432
53,7620.695000,0.05332928
54,7620.696000,0.297332
55,7620.697000,0.505065
56,7620.698000,0.595037
57,7620.699000,0.5019453
58,7620.700000,0.300329
59,7620.701000,-0.06097945
60,7620.702000,-0.3559802
61,7620.703000,-0.4640645
62,7620.704000,-0.5385908
63,7620.705000,-0.4654771
64,7620.706000,-0.4814573
65,7620.707000,-0.5833361
66,7620.708000,-0.7951406
67,7620.709000,-1.178731
68,7620.710000,-1.247496
69,7620.711000,-0.9932253
70,7620.712000,-0.6558135
71,7620.713000,-0.1875349
72,7620.714000,-0.04386808
73,7620.715000,-0.2525887
74,7620.716000,-0.495955
75,7620.717000,-0.8827672
76,7620.718000,-1.127988
77,7620.719000,-1.1328
78,7620.720000,-1.141836
79,7620.721000,-1.152253
80,7620.722000,-1.115558
81,7620.723000,-1.089276
82,7620.724000,-1.129478
83,7620.725000,-0.9792451
84,7620.726000,-0.8938525
85,7620.727000,-0.8786843
86,7620.728000,-0.9588534
87,7620.729000,-0.9455511
88,7620.730000,-0.9369113
89,7620.731000,-0.8426543
90,7620.732000,-0.8155832
91,7620.733000,-0.6916962
92,7620.734000,-0.6285025
93,7620.735000,-0.5874265
94,7620.736000,-0.6678675
95,7620.737000,-0.6265026
96,7620.738000,-0.7634295
97,7620.739000,-0.5976148
98,7620.740000,-0.654586
99,7620.741000,-0.7980639
100,7620.742000,-0.8176303
101,7620.743000,-0.781064
102,7620.744000,-0.7844198
103,7620.745000,-0.748386
104,7620.746000,-0.7104411
105,7620.747000,-0.6917793
106,7620.748000,-0.6876587
107,7620.749000,-0.6334597
108,7620.750000,-0.6140218
109,7620.751000,-0.6008705
110,7620.752000,-0.5939342
111,7620.753000,-0.5978112
