#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7620.6400,2497.5
2,7620.6600,2497.406
3,7620.6800,2497.125
4,7620.7000,2497.5
5,7620.7200,2497.094
6,7620.7400,2497.672
7,7620.7600,2497.391
8,7620.7800,2498.157
9,7620.8000,2498.313
10,7620.8200,2497.875
11,7620.8400,2498.376
12,7620.8600,2499.299
13,7620.8800,2498.563
14,7620.9000,2498.47
15,7620.9200,2499.267
16,7620.9400,2498.97
17,7620.9600,2499.596
18,7620.9800,2499.643
19,7621.0000,2499.674
20,7621.0200,2500.19
21,7621.0400,2500.393
22,7621.0600,2500.737
23,7621.0800,2500.8
24,7621.1000,2501.128
25,7621.1200,2501.926
26,7621.1400,2501.097
27,7621.1600,2501.722
28,7621.1800,2501.472
29,7621.2000,2501.331
30,7621.2200,2501.988
31,7621.2400,2501.05
32,7621.2600,2501.238
33,7621.2800,2501.582
34,7621.3000,2500.894
35,7621.3200,2500.268
36,7621.3400,2499.94
37,7621.3600,2499.299
38,7621.3800,2499.314
39,7621.4000,2498.501
40,7621.4200,2498.251
41,7621.4400,2497.954
42,7621.4600,2497.656
43,7621.4800,2497.328
44,7621.5000,2496.906
45,7621.5200,2495.889
46,7621.5400,2495.827
47,7621.5600,2494.998
48,7621.5800,2493.982
49,7621.6000,2494.169
50,7621.6200,2493.825
51,7621.6400,2492.84
52,7621.6600,2492.215
53,7621.6800,2492.105
54,7621.7000,2492.09
55,7621.7200,2492.261
56,7621.7400,2492.621
57,7621.7600,2492.605
58,7621.7800,2493.043
59,7621.8000,2493.982
60,7621.8200,2494.451
61,7621.8400,2494.732
62,7621.8600,2495.718
63,7621.8800,2496.108
64,7621.9000,2497.422
65,7621.9200,2497.641
66,7621.9400,2498.642
67,7621.9600,2499.126
68,7621.9800,2499.58
69,7622.0000,2500.143
70,7622.0200,2500.8
71,7622.0400,2500.675
72,7622.0600,2501.253
73,7622.0800,2501.159
74,7622.1000,2501.926
75,7622.1200,2502.395
76,7622.1400,2502.379
77,7622.1600,2502.723
78,7622.1800,2502.332
79,7622.2000,2502.88
80,7622.2200,2502.348
81,7622.2400,2502.395
82,7622.2600,2502.504
83,7622.2800,2501.926
84,7622.3000,2501.926
85,7622.3200,2501.472
86,7622.3400,2501.034
87,7622.3600,2500.206
88,7622.3800,2500.299
89,7622.4000,2499.877
90,7622.4200,2499.189
91,7622.4400,2498.689
92,7622.4600,2498.032
93,7622.4800,2496.937
94,7622.5000,2497.359
95,7622.5200,2496.734
96,7622.5400,2496.421
97,7622.5600,2496.531
98,7622.5800,2496.015
99,7622.6000,2495.702
100,7622.6200,2495.326
101,7622.6400,2495.014
102,7622.6600,2494.748
103,7622.6800,2495.624
104,7622.7000,2495.592
105,7622.7200,2495.577
106,7622.7400,2496.171
107,7622.7600,2496.062
108,7622.7800,2496.812
109,7622.8000,2497.14
110,7622.8200,2497.563
111,7622.8400,2497.359
112,7622.8600,2497.563
113,7622.8800,2498.751
114,7622.9000,2499.126
115,7622.9200,2498.767
116,7622.9400,2499.158
117,7622.9600,2499.408
118,7622.9800,2499.987
119,7623.0000,2499.768
120,7623.0200,2499.862
121,7623.0400,2499.924
122,7623.0600,2499.924
123,7623.0800,2499.486
124,7623.1000,2499.439
125,7623.1200,2499.267
126,7623.1400,2498.829
127,7623.1600,2498.298
128,7623.1800,2499.048
129,7623.2000,2498.923
130,7623.2200,2497.938
131,7623.2400,2497.328
132,7623.2600,2497.5
133,7623.2800,2497.359
134,7623.3000,2497.156
135,7623.3200,2496.984
136,7623.3400,2496.531
137,7623.3600,2496.656
138,7623.3800,2496.093
139,7623.4000,2496.343
140,7623.4200,2495.718
141,7623.4400,2495.811
142,7623.4600,2495.029
143,7623.4800,2495.201
144,7623.5000,2495.608
145,7623.5200,2495.076
146,7623.5400,2495.311
147,7623.5600,2495.42
148,7623.5800,2495.874
149,7623.6000,2495.483
150,7623.6200,2496.39
151,7623.6400,2496.671
152,7623.6600,2497.563
153,7623.6800,2497.797
154,7623.7000,2498.344
155,7623.7200,2498.47
156,7623.7400,2498.767
157,7623.7600,2499.486
158,7623.7800,2499.564
159,7623.8000,2499.705
160,7623.8200,2499.814
161,7623.8400,2500.503
162,7623.8600,2499.596
163,7623.8800,2500.049
164,7623.9000,2500.315
165,7623.9200,2500.534
166,7623.9400,2500.769
167,7623.9600,2500.112
168,7623.9800,2500.753
169,7624.0000,2500.299
170,7624.0200,2500.002
171,7624.0400,2500.612
172,7624.0600,2500.018
173,7624.0800,2500.769
174,7624.1000,2500.018
175,7624.1200,2500.299
176,7624.1400,2499.924
177,7624.1600,2499.752
178,7624.1800,2499.596
179,7624.2000,2499.392
180,7624.2200,2499.424
181,7624.2400,2498.986
182,7624.2600,2498.704
183,7624.2800,2498.392
184,7624.3000,2498.36
185,7624.3200,2497.938
186,7624.3400,2497.328
187,7624.3600,2497.516
188,7624.3800,2497.563
189,7624.4000,2497.422
190,7624.4200,2497.266
191,7624.4400,2496.859
192,7624.4600,2497.281
193,7624.4800,2497.094
194,7624.5000,2496.984
195,7624.5200,2497.125
196,7624.5400,2496.796
197,7624.5600,2497.453
198,7624.5800,2497.047
199,7624.6000,2497.703
200,7624.6200,2497.641
201,7624.6400,2497.75
202,7624.6600,2498.235
203,7624.6800,2498.642
204,7624.7000,2498.595
205,7624.7200,2499.173
206,7624.7400,2499.267
207,7624.7600,2499.705
208,7624.7800,2499.314
209,7624.8000,2499.783
210,7624.8200,2499.689
211,7624.8400,2499.862
212,7624.8600,2499.611
213,7624.8800,2499.424
214,7624.9000,2499.314
215,7624.9200,2499.267
216,7624.9400,2498.939
217,7624.9600,2499.205
218,7624.9800,2499.22
219,7625.0000,2499.142
220,7625.0200,2498.736
221,7625.0400,2498.642
222,7625.0600,2499.033
223,7625.0800,2497.672
224,7625.1000,2498.235
225,7625.1200,2498.219
226,7625.1400,2497.125
227,7625.1600,2497.438
228,7625.1800,2496.452
229,7625.2000,2496.781
230,7625.2200,2495.983
231,7625.2400,2496.843
232,7625.2600,2496.39
233,7625.2800,2495.968
234,7625.3000,2496.796
235,7625.3200,2496.515
236,7625.3400,2496.327
237,7625.3600,2496.218
238,7625.3800,2496.609
239,7625.4000,2496.859
240,7625.4200,2496.765
241,7625.4400,2496.953
242,7625.4600,2497.5
243,7625.4800,2497.047
244,7625.5000,2497.797
245,7625.5200,2498.126
246,7625.5400,2497.14
247,7625.5600,2498.657
248,7625.5800,2498.986
249,7625.6000,2498.845
250,7625.6200,2499.549
251,7625.6400,2500.002
252,7625.6600,2500.534
253,7625.6800,2500.925
254,7625.7000,2500.909
255,7625.7200,2500.925
256,7625.7400,2501.691
257,7625.7600,2501.472
258,7625.7800,2501.253
259,7625.8000,2501.269
260,7625.8200,2501.707
261,7625.8400,2501.019
262,7625.8600,2501.316
263,7625.8800,2500.878
264,7625.9000,2501.206
265,7625.9200,2500.112
266,7625.9400,2499.47
267,7625.9600,2499.47
268,7625.9800,2498.517
269,7626.0000,2498.36
270,7626.0200,2498.141
271,7626.0400,2497.875
272,7626.0600,2498.11
273,7626.0800,2497.313
274,7626.1000,2496.922
275,7626.1200,2496.859
276,7626.1400,2497.125
277,7626.1600,2496.984
278,7626.1800,2496.89
279,7626.2000,2497.062
280,7626.2200,2496.625
