#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7620.6400,73.96683
2,7620.6600,74.04656
3,7620.6800,74.02311
4,7620.7000,73.91523
5,7620.7200,73.67603
6,7620.7400,73.40868
7,7620.7600,73.05221
8,7620.7800,72.86459
9,7620.8000,72.87867
10,7620.8200,72.87398
11,7620.8400,72.80831
12,7620.8600,72.67698
13,7620.8800,72.66291
14,7620.9000,72.84583
15,7620.9200,72.86929
16,7620.9400,72.96778
17,7620.9600,72.85052
18,7620.9800,72.7661
19,7621.0000,72.75671
20,7621.0200,72.72858
21,7621.0400,72.72388
22,7621.0600,72.72858
23,7621.0800,72.6676
24,7621.1000,72.49875
25,7621.1200,72.38149
26,7621.1400,72.51751
27,7621.1600,72.60663
28,7621.1800,72.62539
29,7621.2000,72.57848
30,7621.2200,72.51282
31,7621.2400,72.43308
32,7621.2600,72.43777
33,7621.2800,72.41901
34,7621.3000,72.38149
35,7621.3200,72.44247
36,7621.3400,72.43777
37,7621.3600,72.43777
38,7621.3800,72.42839
39,7621.4000,72.53158
40,7621.4200,72.86929
41,7621.4400,73.07097
42,7621.4600,73.28204
43,7621.4800,73.44151
44,7621.5000,73.54001
45,7621.5200,73.60098
46,7621.5400,73.65726
47,7621.5600,73.78391
48,7621.5800,73.92461
49,7621.6000,74.12161
50,7621.6200,74.20135
51,7621.6400,74.12161
52,7621.6600,74.11223
53,7621.6800,73.98559
54,7621.7000,73.71824
55,7621.7200,73.45558
56,7621.7400,73.33832
57,7621.7600,73.31487
58,7621.7800,73.33832
59,7621.8000,73.40868
60,7621.8200,73.68541
61,7621.8400,73.8824
62,7621.8600,73.90585
63,7621.8800,73.97152
64,7621.9000,73.8824
65,7621.9200,73.61974
66,7621.9400,73.10381
67,7621.9600,72.55503
68,7621.9800,72.13759
69,7622.0000,71.99688
70,7622.0200,71.97812
71,7622.0400,71.72484
72,7622.0600,71.65449
73,7622.0800,71.55598
74,7622.1000,71.68262
75,7622.1200,71.91714
76,7622.1400,72.20795
77,7622.1600,72.62539
78,7622.1800,72.83646
79,7622.2000,73.09911
80,7622.2200,73.32425
81,7622.2400,73.42274
82,7622.2600,73.55877
83,7622.2800,73.73231
84,7622.3000,73.83549
85,7622.3200,73.67133
86,7622.3400,73.54001
87,7622.3600,73.44151
88,7622.3800,73.41805
89,7622.4000,73.51656
90,7622.4200,73.77452
91,7622.4400,74.04187
92,7622.4600,74.19196
93,7622.4800,74.34675
94,7622.5000,74.5156
95,7622.5200,74.54843
96,7622.5400,74.3233
97,7622.5600,74.15444
98,7622.5800,74.03719
99,7622.6000,73.83549
100,7622.6200,73.74169
101,7622.6400,73.84019
102,7622.6600,73.83549
103,7622.6800,73.65257
104,7622.7000,73.51186
105,7622.7200,73.24451
106,7622.7400,73.08973
107,7622.7600,73.06628
108,7622.7800,73.01938
109,7622.8000,73.01469
110,7622.8200,72.80362
111,7622.8400,72.68167
112,7622.8600,72.63008
113,7622.8800,72.40963
114,7622.9000,72.18449
115,7622.9200,71.99688
116,7622.9400,71.99219
117,7622.9600,72.06724
118,7622.9800,72.19856
119,7623.0000,72.39087
120,7623.0200,72.64415
121,7623.0400,72.71919
122,7623.0600,72.86459
123,7623.0800,73.06159
124,7623.1000,73.2961
125,7623.1200,73.4931
126,7623.1400,73.54001
127,7623.1600,73.53532
128,7623.1800,73.5916
129,7623.2000,73.60098
130,7623.2200,73.46027
131,7623.2400,73.55408
132,7623.2600,73.70885
133,7623.2800,73.85426
134,7623.3000,73.98559
135,7623.3200,74.14506
136,7623.3400,74.28577
137,7623.3600,74.34675
138,7623.3800,74.28108
139,7623.4000,74.19196
140,7623.4200,74.08878
141,7623.4400,74.04187
142,7623.4600,74.13099
143,7623.4800,74.34675
144,7623.5000,74.67038
145,7623.5200,74.90021
146,7623.5400,75.1441
147,7623.5600,75.35517
148,7623.5800,75.31296
149,7623.6000,75.0503
150,7623.6200,74.74074
151,7623.6400,74.64693
152,7623.6600,74.49215
153,7623.6800,74.60002
154,7623.7000,74.88145
155,7623.7200,75.07844
156,7623.7400,74.98933
157,7623.7600,74.77357
158,7623.7800,74.40772
159,7623.8000,73.99028
160,7623.8200,73.69009
161,7623.8400,73.47434
162,7623.8600,73.46496
163,7623.8800,73.37585
164,7623.9000,73.46965
165,7623.9200,73.69948
166,7623.9400,73.85426
167,7623.9600,73.96683
168,7623.9800,74.10284
169,7624.0000,74.19196
170,7624.0200,74.0794
171,7624.0400,73.8824
172,7624.0600,73.57284
173,7624.0800,73.28673
174,7624.1000,72.92088
175,7624.1200,72.63946
176,7624.1400,72.51751
177,7624.1600,72.44247
178,7624.1800,72.38149
179,7624.2000,72.22671
180,7624.2200,72.14697
181,7624.2400,72.25954
182,7624.2600,72.36742
183,7624.2800,72.38149
184,7624.3000,72.78486
185,7624.3200,73.21168
186,7624.3400,73.37115
187,7624.3600,73.4978
188,7624.3800,73.54001
189,7624.4000,73.44151
190,7624.4200,73.30549
191,7624.4400,73.25858
192,7624.4600,73.25858
193,7624.4800,73.25389
194,7624.5000,73.17416
195,7624.5200,73.28673
196,7624.5400,73.28673
197,7624.5600,73.09442
198,7624.5800,72.87398
199,7624.6000,72.64884
200,7624.6200,72.5222
201,7624.6400,72.36742
202,7624.6600,72.26423
203,7624.6800,72.21264
204,7624.7000,72.34396
