#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,2.804679
2,7641.961000,2.793339
3,7641.962000,2.809747
4,7641.963000,2.801887
5,7641.964000,2.854481
6,7641.965000,2.864578
7,7641.966000,2.841292
8,7641.967000,2.862781
9,7641.968000,2.858085
10,7641.969000,2.8623
11,7641.970000,2.878211
12,7641.971000,2.909793
13,7641.972000,2.914539
14,7641.973000,2.892738
15,7641.974000,2.870976
16,7641.975000,2.824231
17,7641.976000,2.823417
18,7641.977000,2.78385
19,7641.978000,2.795856
20,7641.979000,2.839189
21,7641.980000,2.793258
22,7641.981000,2.805016
23,7641.982000,2.838518
24,7641.983000,2.842841
25,7641.984000,2.779319
26,7641.985000,2.778197
27,7641.986000,2.768143
28,7641.987000,2.802902
29,7641.988000,2.795579
30,7641.989000,2.753851
31,7641.990000,2.781762
32,7641.991000,2.736947
33,7641.992000,2.74562
34,7641.993000,2.70041
35,7641.994000,2.674546
36,7641.995000,2.64321
37,7641.996000,2.560679
38,7641.997000,2.423711
39,7641.998000,2.549981
40,7641.999000,2.521888
41,7642.000000,2.537954
42,7642.001000,2.551008
43,7642.002000,2.639322
44,7642.003000,2.60184
45,7642.004000,2.597548
46,7642.005000,2.582496
47,7642.006000,2.470245
48,7642.007000,2.262217
49,7642.008000,2.369452
50,7642.009000,2.485188
51,7642.010000,2.54214
52,7642.011000,2.473888
53,7642.012000,2.416003
54,7642.013000,2.393171
55,7642.014000,2.455027
56,7642.015000,2.406333
57,7642.016000,2.422979
58,7642.017000,2.42679
59,7642.018000,2.432767
60,7642.019000,2.438267
61,7642.020000,2.448088
62,7642.021000,2.461833
63,7642.022000,2.466501
64,7642.023000,2.461754
65,7642.024000,2.480778
66,7642.025000,2.466724
67,7642.026000,2.467884
68,7642.027000,2.466108
69,7642.028000,2.465625
70,7642.029000,2.467461
71,7642.030000,2.451229
72,7642.031000,2.46162
73,7642.032000,2.460497
74,7642.033000,2.463748
75,7642.034000,2.465505
76,7642.035000,2.465573
77,7642.036000,2.466143
78,7642.037000,2.466413
79,7642.038000,2.469722
80,7642.039000,2.476561
81,7642.040000,2.463358
82,7642.041000,2.428868
83,7642.042000,2.481304
84,7642.043000,2.474901
85,7642.044000,2.490234
86,7642.045000,2.482783
87,7642.046000,2.439374
88,7642.047000,2.485646
89,7642.048000,2.481324
90,7642.049000,2.47788
91,7642.050000,2.492368
92,7642.051000,2.522918
93,7642.052000,2.476754
94,7642.053000,2.498496
95,7642.054000,2.528117
96,7642.055000,2.532861
97,7642.056000,2.48038
98,7642.057000,2.510848
99,7642.058000,2.491791
100,7642.059000,2.478931
101,7642.060000,2.475073
102,7642.061000,2.481544
103,7642.062000,2.503065
104,7642.063000,2.544228
105,7642.064000,2.825854
106,7642.065000,2.828333
107,7642.066000,2.50179
108,7642.067000,2.407492
109,7642.068000,2.424473
110,7642.069000,2.62584
111,7642.070000,2.708137
112,7642.071000,2.669968
113,7642.072000,2.682887
114,7642.073000,2.681926
115,7642.074000,2.665753
116,7642.075000,2.645275
117,7642.076000,2.626147
118,7642.077000,2.611809
119,7642.078000,2.593331
120,7642.079000,2.573845
121,7642.080000,2.570285
122,7642.081000,2.583832
123,7642.082000,2.559339
124,7642.083000,2.496701
125,7642.084000,2.562173
