#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,0.1722612
2,7641.961000,0.1878099
3,7641.962000,0.1824217
4,7641.963000,0.1551085
5,7641.964000,0.2425585
6,7641.965000,0.2129536
7,7641.966000,0.2265062
8,7641.967000,0.2571592
9,7641.968000,0.2764034
10,7641.969000,0.3007288
11,7641.970000,0.3292131
12,7641.971000,0.3620548
13,7641.972000,0.3980045
14,7641.973000,0.4375858
15,7641.974000,0.4661369
16,7641.975000,0.4819775
17,7641.976000,0.4829578
18,7641.977000,0.4640121
19,7641.978000,0.4872894
20,7641.979000,0.457756
21,7641.980000,0.4444971
22,7641.981000,0.4175987
23,7641.982000,0.3947487
24,7641.983000,0.3756618
25,7641.984000,0.3553171
26,7641.985000,0.3366528
27,7641.986000,0.3096809
28,7641.987000,0.2736111
29,7641.988000,0.2357035
30,7641.989000,0.1938114
31,7641.990000,0.1634092
32,7641.991000,0.1466398
33,7641.992000,0.1344423
34,7641.993000,0.1314297
35,7641.994000,0.1303339
36,7641.995000,0.1305923
37,7641.996000,0.1400089
38,7641.997000,0.1572342
39,7641.998000,0.1690063
40,7641.999000,0.1753445
41,7642.000000,0.1761894
42,7642.001000,0.1678114
43,7642.002000,0.1890135
44,7642.003000,0.2416029
45,7642.004000,0.1742601
46,7642.005000,0.2497559
47,7642.006000,0.2476463
48,7642.007000,0.252717
49,7642.008000,0.2561312
50,7642.009000,0.2555122
51,7642.010000,0.2534389
52,7642.011000,0.2502708
53,7642.012000,0.2425528
54,7642.013000,0.2307367
55,7642.014000,0.2233095
56,7642.015000,0.2205181
57,7642.016000,0.2184143
58,7642.017000,0.2191467
59,7642.018000,0.2167835
60,7642.019000,0.2108355
61,7642.020000,0.2059479
62,7642.021000,0.200738
63,7642.022000,0.1963615
64,7642.023000,0.1935635
65,7642.024000,0.1918411
66,7642.025000,0.1919212
67,7642.026000,0.1889105
68,7642.027000,0.1825314
69,7642.028000,0.1958742
70,7642.029000,0.176631
71,7642.030000,0.1967897
72,7642.031000,0.2403717
73,7642.032000,0.1515808
74,7642.033000,0.1386356
75,7642.034000,0.2531967
76,7642.035000,0.1624022
77,7642.036000,0.1827898
78,7642.037000,0.1812038
79,7642.038000,0.1799335
80,7642.039000,0.1787586
81,7642.040000,0.1777124
82,7642.041000,0.1767893
83,7642.042000,0.1753616
84,7642.043000,0.1736813
85,7642.044000,0.1719971
86,7642.045000,0.1700497
87,7642.046000,0.1684742
88,7642.047000,0.1671543
89,7642.048000,0.1658068
90,7642.049000,0.1645899
91,7642.050000,0.1633043
92,7642.051000,0.1619825
93,7642.052000,0.1608095
94,7642.053000,0.1597595
95,7642.054000,0.1586218
96,7642.055000,0.1574192
97,7642.056000,0.1562595
98,7642.057000,0.1550312
99,7642.058000,0.1533546
100,7642.059000,0.1510363
101,7642.060000,0.1545744
102,7642.061000,0.1644268
103,7642.062000,0.1456394
104,7642.063000,0.09674931
105,7642.064000,0.1919918
106,7642.065000,0.170969
107,7642.066000,0.09529018
108,7642.067000,0.1542072
109,7642.068000,0.1365852
110,7642.069000,0.1339521
111,7642.070000,0.1314831
112,7642.071000,0.1292286
113,7642.072000,0.1271582
114,7642.073000,0.1252937
115,7642.074000,0.12362
116,7642.075000,0.1220922
