#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,-4.108086
2,7641.961000,-3.776054
3,7641.962000,-4.209953
4,7641.963000,-5.44809
5,7641.964000,-4.463905
6,7641.965000,-3.966614
7,7641.966000,-2.643074
8,7641.967000,-1.056068
9,7641.968000,0.08449554
10,7641.969000,2.390762
11,7641.970000,5.251465
12,7641.971000,7.378792
13,7641.972000,6.208878
14,7641.973000,0.6465607
15,7641.974000,-0.9587402
16,7641.975000,0.8467484
17,7641.976000,2.516983
18,7641.977000,2.774124
19,7641.978000,3.117905
20,7641.979000,1.955658
21,7641.980000,1.036156
22,7641.981000,-0.01119232
23,7641.982000,-1.70623
24,7641.983000,-1.135811
25,7641.984000,-1.314995
26,7641.985000,-1.056381
27,7641.986000,-0.9576035
28,7641.987000,-1.114334
29,7641.988000,-0.7200165
30,7641.989000,0.1391754
31,7641.990000,-0.8638763
32,7641.991000,-0.3146439
33,7641.992000,-0.8672104
34,7641.993000,-1.505119
35,7641.994000,-2.062347
36,7641.995000,-2.530205
37,7641.996000,-3.85965
38,7641.997000,-6.050186
39,7641.998000,-3.440407
40,7641.999000,-3.122017
41,7642.000000,-0.8833313
42,7642.001000,0.6430893
43,7642.002000,-0.1449814
44,7642.003000,1.742973
45,7642.004000,-0.3505249
46,7642.005000,-0.8775177
47,7642.006000,-2.438408
48,7642.007000,-3.775742
49,7642.008000,-1.162163
50,7642.009000,-0.1051407
51,7642.010000,0.00592804
52,7642.011000,-2.801659
53,7642.012000,-4.078239
54,7642.013000,-4.060745
55,7642.014000,-1.270538
56,7642.015000,-3.540001
57,7642.016000,-2.365982
58,7642.017000,-0.9375305
59,7642.018000,-0.1818008
60,7642.019000,0.01517487
61,7642.020000,-0.6315918
62,7642.021000,-2.493721
63,7642.022000,-2.877464
64,7642.023000,-1.792809
65,7642.024000,-2.526642
66,7642.025000,-0.9422455
67,7642.026000,-1.020233
68,7642.027000,-1.736961
69,7642.028000,-0.5959625
70,7642.029000,-1.299553
71,7642.030000,-1.510017
72,7642.031000,-1.154449
73,7642.032000,-1.182114
74,7642.033000,-1.159859
75,7642.034000,-1.005112
76,7642.035000,-0.7262878
77,7642.036000,-0.1333542
78,7642.037000,1.080811
79,7642.038000,0.1255722
80,7642.039000,-0.01387787
81,7642.040000,-1.761543
82,7642.041000,-4.435921
83,7642.042000,-0.2726517
84,7642.043000,3.590988
85,7642.044000,2.121826
86,7642.045000,-0.4947205
87,7642.046000,-1.806755
88,7642.047000,-0.9175186
89,7642.048000,-0.9759674
90,7642.049000,-0.9132309
91,7642.050000,-0.3546524
92,7642.051000,0.5078659
93,7642.052000,-1.368004
94,7642.053000,-2.104286
95,7642.054000,-0.2584839
96,7642.055000,-0.1273346
97,7642.056000,-1.78772
98,7642.057000,-0.03817749
99,7642.058000,-0.08020782
100,7642.059000,-0.3120728
101,7642.060000,-0.115181
102,7642.061000,0.2689285
103,7642.062000,0.02461243
104,7642.063000,-0.8217545
105,7642.064000,5.472649
106,7642.065000,6.052261
107,7642.066000,0.2269058
108,7642.067000,-4.155357
109,7642.068000,-2.65242
110,7642.069000,-0.0773468
111,7642.070000,0.8146744
112,7642.071000,0.5314484
113,7642.072000,0.2091141
114,7642.073000,-0.7399597
115,7642.074000,-1.043243
