#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,-0.6621628
2,7641.961000,-0.731638
3,7641.962000,-0.6131477
4,7641.963000,-0.8348446
5,7641.964000,-0.6517906
6,7641.965000,-0.7350674
7,7641.966000,-0.5337563
8,7641.967000,-0.1891613
9,7641.968000,0.2543278
10,7641.969000,0.8351536
11,7641.970000,1.208419
12,7641.971000,1.342132
13,7641.972000,0.9791775
14,7641.973000,-0.02002907
15,7641.974000,-0.2348728
16,7641.975000,-0.05709267
17,7641.976000,0.21418
18,7641.977000,0.3802338
19,7641.978000,0.5059185
20,7641.979000,0.2839699
21,7641.980000,0.1755791
22,7641.981000,0.06109047
23,7641.982000,-0.2863407
24,7641.983000,-0.1599312
25,7641.984000,-0.3323193
26,7641.985000,-0.060606
27,7641.986000,-0.02272606
28,7641.987000,-0.04876709
29,7641.988000,0.01576424
30,7641.989000,0.1270733
31,7641.990000,0.1630096
32,7641.991000,0.136795
33,7641.992000,0.07710457
34,7641.993000,-0.04198074
35,7641.994000,-0.1275444
36,7641.995000,-0.176157
37,7641.996000,-0.5258369
38,7641.997000,-1.184418
39,7641.998000,-0.2331371
40,7641.999000,-0.4316654
41,7642.000000,-0.01631165
42,7642.001000,0.1587086
43,7642.002000,0.1071587
44,7642.003000,0.3774033
45,7642.004000,-0.2511444
46,7642.005000,-0.3350315
47,7642.006000,-0.6427135
48,7642.007000,-0.7473145
49,7642.008000,-0.07939911
50,7642.009000,-0.2179031
51,7642.010000,-0.09781456
52,7642.011000,-0.3301373
53,7642.012000,-0.3896294
54,7642.013000,-0.3447609
55,7642.014000,-0.05205154
56,7642.015000,-0.3283901
57,7642.016000,-0.2917919
58,7642.017000,-0.2803669
59,7642.018000,-0.256321
60,7642.019000,-0.1981297
61,7642.020000,-0.1945877
62,7642.021000,-0.2475185
63,7642.022000,-0.2290134
64,7642.023000,-0.1510582
65,7642.024000,-0.164011
66,7642.025000,-0.06393623
67,7642.026000,-0.06904602
68,7642.027000,-0.1287365
69,7642.028000,0.07339478
70,7642.029000,0.03793907
71,7642.030000,-0.05926132
72,7642.031000,-2.784729E-4
73,7642.032000,-0.06823921
74,7642.033000,-0.1409798
75,7642.034000,-0.1449299
76,7642.035000,-0.0725956
77,7642.036000,0.02276611
78,7642.037000,0.1901703
79,7642.038000,0.2052975
80,7642.039000,0.1993294
81,7642.040000,-0.04963493
82,7642.041000,-0.550766
83,7642.042000,0.1700668
84,7642.043000,0.3208008
85,7642.044000,0.244873
86,7642.045000,-0.1054363
87,7642.046000,-0.2893314
88,7642.047000,-0.02019501
89,7642.048000,-0.04384041
90,7642.049000,-0.1518135
91,7642.050000,-0.07227325
92,7642.051000,0.1460648
93,7642.052000,-0.335556
94,7642.053000,-0.1928749
95,7642.054000,0.008281708
96,7642.055000,0.006311417
97,7642.056000,-0.4048557
98,7642.057000,-0.1685638
99,7642.058000,-0.245512
100,7642.059000,-0.2216797
101,7642.060000,-0.1183033
102,7642.061000,0.07792091
103,7642.062000,0.1376858
104,7642.063000,0.05831337
105,7642.064000,1.186957
106,7642.065000,1.107322
107,7642.066000,-0.1446838
108,7642.067000,-0.6103153
109,7642.068000,-0.4414558
110,7642.069000,-0.02705383
111,7642.070000,0.2092361
112,7642.071000,0.04942513
