#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,6.149132
2,7641.961000,6.070661
3,7641.962000,6.062793
4,7641.963000,6.076811
5,7641.964000,6.012411
6,7641.965000,5.961407
7,7641.966000,5.951821
8,7641.967000,5.89396
9,7641.968000,5.88022
10,7641.969000,5.881047
11,7641.970000,5.886969
12,7641.971000,5.901965
13,7641.972000,5.874175
14,7641.973000,5.796509
15,7641.974000,5.762634
16,7641.975000,5.779943
17,7641.976000,5.76612
18,7641.977000,5.828063
19,7641.978000,5.839959
20,7641.979000,5.827055
21,7641.980000,5.831914
22,7641.981000,5.789165
23,7641.982000,5.735102
24,7641.983000,5.745542
25,7641.984000,5.801645
26,7641.985000,5.785295
27,7641.986000,5.81959
28,7641.987000,5.848032
29,7641.988000,5.866728
30,7641.989000,5.872179
31,7641.990000,5.84218
32,7641.991000,5.853192
33,7641.992000,5.853353
34,7641.993000,5.805806
35,7641.994000,5.786684
36,7641.995000,5.771759
37,7641.996000,5.795753
38,7641.997000,5.8681
39,7641.998000,5.721134
40,7641.999000,5.775789
41,7642.000000,5.813818
42,7642.001000,5.896586
43,7642.002000,5.843406
44,7642.003000,5.847503
45,7642.004000,5.813566
46,7642.005000,5.759537
47,7642.006000,5.835958
48,7642.007000,6.050687
49,7642.008000,5.97759
50,7642.009000,5.861164
51,7642.010000,5.819636
52,7642.011000,5.88535
53,7642.012000,5.872591
54,7642.013000,5.859286
55,7642.014000,5.836994
56,7642.015000,5.836028
57,7642.016000,5.826347
58,7642.017000,5.823364
59,7642.018000,5.81561
60,7642.019000,5.803656
61,7642.020000,5.791496
62,7642.021000,5.777356
63,7642.022000,5.770632
64,7642.023000,5.772428
65,7642.024000,5.749613
66,7642.025000,5.758362
67,7642.026000,5.753899
68,7642.027000,5.754402
69,7642.028000,5.753386
70,7642.029000,5.750567
71,7642.030000,5.766544
72,7642.031000,5.756444
73,7642.032000,5.758829
74,7642.033000,5.757846
75,7642.034000,5.758635
76,7642.035000,5.761444
77,7642.036000,5.764486
78,7642.037000,5.768431
79,7642.038000,5.769416
80,7642.039000,5.766937
81,7642.040000,5.78473
82,7642.041000,5.823897
83,7642.042000,5.776674
84,7642.043000,5.788835
85,7642.044000,5.779452
86,7642.045000,5.793134
87,7642.046000,5.843389
88,7642.047000,5.804566
89,7642.048000,5.816835
90,7642.049000,5.828805
91,7642.050000,5.823124
92,7642.051000,5.801648
93,7642.052000,5.857366
94,7642.053000,5.84559
95,7642.054000,5.827127
96,7642.055000,5.834834
97,7642.056000,5.900648
98,7642.057000,5.884624
99,7642.058000,5.918844
100,7642.059000,5.947563
101,7642.060000,5.968387
102,7642.061000,5.979917
103,7642.062000,5.973214
104,7642.063000,5.943323
105,7642.064000,5.671373
106,7642.065000,5.675778
107,7642.066000,6.008963
108,7642.067000,6.109771
109,7642.068000,6.096823
110,7642.069000,5.897495
111,7642.070000,5.829208
112,7642.071000,5.894413
113,7642.072000,5.915278
114,7642.073000,5.960664
115,7642.074000,5.985621
116,7642.075000,5.974987
117,7642.076000,5.948499
118,7642.077000,5.890091
119,7642.078000,5.864924
120,7642.079000,5.875385
121,7642.080000,5.866632
122,7642.081000,5.851933
123,7642.082000,5.856464
124,7642.083000,5.875097
125,7642.084000,5.767773
