#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,0.2656128
2,7641.961000,0.2612947
3,7641.962000,0.2494999
4,7641.963000,0.2322109
5,7641.964000,0.2524056
6,7641.965000,0.2371317
7,7641.966000,0.2260043
8,7641.967000,0.1936596
9,7641.968000,0.1778655
10,7641.969000,0.1861296
11,7641.970000,0.1819984
12,7641.971000,0.1754237
13,7641.972000,0.1201545
14,7641.973000,0.1086314
15,7641.974000,0.1349147
16,7641.975000,0.1112953
17,7641.976000,0.1057037
18,7641.977000,0.0776938
19,7641.978000,0.06120308
20,7641.979000,0.05169904
21,7641.980000,0.03519317
22,7641.981000,0.01531194
23,7641.982000,8.105263E-4
24,7641.983000,0.005643383
25,7641.984000,-0.01489045
26,7641.985000,-0.03861623
27,7641.986000,-0.05695497
28,7641.987000,-0.0671015
29,7641.988000,-0.08414886
30,7641.989000,-0.1125867
31,7641.990000,-0.1109096
32,7641.991000,-0.1071643
33,7641.992000,-0.1394816
34,7641.993000,-0.1253739
35,7641.994000,-0.1252971
36,7641.995000,-0.164129
37,7641.996000,-0.1760076
38,7641.997000,-0.166206
39,7641.998000,-0.1286227
40,7641.999000,-0.1568664
41,7642.000000,-0.1639284
42,7642.001000,-0.1927988
43,7642.002000,-0.2105623
44,7642.003000,-0.2181898
45,7642.004000,-0.2535273
46,7642.005000,-0.2733748
47,7642.006000,-0.2930928
48,7642.007000,-0.3003007
49,7642.008000,-0.2780747
50,7642.009000,-0.30106
51,7642.010000,-0.3131045
52,7642.011000,-0.3456845
53,7642.012000,-0.3493077
54,7642.013000,-0.3244739
55,7642.014000,-0.3270297
56,7642.015000,-0.3506081
57,7642.016000,-0.3568447
58,7642.017000,-0.3538324
59,7642.018000,-0.3620748
60,7642.019000,-0.3772222
61,7642.020000,-0.3921941
62,7642.021000,-0.4099285
63,7642.022000,-0.4142105
64,7642.023000,-0.4028681
65,7642.024000,-0.4060804
66,7642.025000,-0.4212756
67,7642.026000,-0.4494197
68,7642.027000,-0.4329549
69,7642.028000,-0.443986
70,7642.029000,-0.457263
71,7642.030000,-0.4574977
72,7642.031000,-0.4463659
73,7642.032000,-0.4936564
74,7642.033000,-0.4891626
75,7642.034000,-0.4780864
76,7642.035000,-0.5048863
77,7642.036000,-0.5003505
78,7642.037000,-0.4903341
79,7642.038000,-0.5477149
80,7642.039000,-0.5101991
81,7642.040000,-0.5140686
82,7642.041000,-0.5253994
83,7642.042000,-0.5079455
84,7642.043000,-0.5443437
85,7642.044000,-0.5594649
86,7642.045000,-0.5809591
87,7642.046000,-0.5876995
88,7642.047000,-0.5760564
89,7642.048000,-0.5571901
90,7642.049000,-0.5255088
91,7642.050000,-0.5223919
92,7642.051000,-0.5518835
93,7642.052000,-0.586486
94,7642.053000,-0.5963616
95,7642.054000,-0.6019532
96,7642.055000,-0.6129431
97,7642.056000,-0.6079577
98,7642.057000,-0.5947074
99,7642.058000,-0.5741024
100,7642.059000,-0.5451238
101,7642.060000,-0.5417312
102,7642.061000,-0.5624084
103,7642.062000,-0.5709021
104,7642.063000,-0.5721205
105,7642.064000,-0.5639323
106,7642.065000,-0.6697072
107,7642.066000,-0.6897358
108,7642.067000,-0.6579192
109,7642.068000,-0.6046303
110,7642.069000,-0.5896229
