#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,0.3045103
2,7641.961000,0.5687135
3,7641.962000,1.077651
4,7641.963000,2.095066
5,7641.964000,1.204345
6,7641.965000,0.8875066
7,7641.966000,1.279
8,7641.967000,0.4781139
9,7641.968000,0.9365381
10,7641.969000,-0.04838905
11,7641.970000,-1.380429
12,7641.971000,-3.342247
13,7641.972000,-3.01759
14,7641.973000,-0.08406772
15,7641.974000,0.5079116
16,7641.975000,-0.7616423
17,7641.976000,-1.66749
18,7641.977000,-1.694498
19,7641.978000,-2.068167
20,7641.979000,-1.974058
21,7641.980000,-1.844111
22,7641.981000,-2.010505
23,7641.982000,-1.270823
24,7641.983000,-1.991801
25,7641.984000,-1.152918
26,7641.985000,-1.414183
27,7641.986000,-1.231152
28,7641.987000,-1.222845
29,7641.988000,-1.262108
30,7641.989000,-1.377681
31,7641.990000,-1.405221
32,7641.991000,-1.33698
33,7641.992000,-1.250303
34,7641.993000,-1.103918
35,7641.994000,-0.6526105
36,7641.995000,0.131041
37,7641.996000,1.764173
38,7641.997000,4.386393
39,7641.998000,0.3521699
40,7641.999000,0.1251319
41,7642.000000,-1.896407
42,7642.001000,-2.461234
43,7642.002000,-3.227838
44,7642.003000,-4.530715
45,7642.004000,-2.147722
46,7642.005000,-2.136083
47,7642.006000,0.1643065
48,7642.007000,2.9484
49,7642.008000,0.2311726
50,7642.009000,0.4251991
51,7642.010000,-0.222244
52,7642.011000,0.9372988
53,7642.012000,1.578616
54,7642.013000,2.078183
55,7642.014000,0.2215086
56,7642.015000,0.9886607
57,7642.016000,-0.03967023
58,7642.017000,-1.082442
59,7642.018000,-1.570155
60,7642.019000,-1.439979
61,7642.020000,-1.137791
62,7642.021000,-0.4318468
63,7642.022000,-0.312535
64,7642.023000,-0.8719094
65,7642.024000,-0.6880795
66,7642.025000,-1.497137
67,7642.026000,-1.566619
68,7642.027000,-1.313413
69,7642.028000,-1.316118
70,7642.029000,-1.101976
71,7642.030000,-0.7144721
72,7642.031000,-0.9623421
73,7642.032000,-0.9470465
74,7642.033000,-1.027807
75,7642.034000,-1.075776
76,7642.035000,-1.067517
77,7642.036000,-1.35255
78,7642.037000,-1.933836
79,7642.038000,-1.116056
80,7642.039000,-1.300838
81,7642.040000,-0.6869617
82,7642.041000,1.414114
83,7642.042000,-1.508761
84,7642.043000,-2.397151
85,7642.044000,-1.826656
86,7642.045000,-0.8209364
87,7642.046000,-0.003830075
88,7642.047000,-0.6589543
89,7642.048000,-0.6775666
90,7642.049000,-0.796922
91,7642.050000,-1.36891
92,7642.051000,-2.317279
93,7642.052000,-0.1667446
94,7642.053000,-0.7161587
95,7642.054000,-2.225713
96,7642.055000,-1.917462
97,7642.056000,0.4028772
98,7642.057000,-0.1166757
99,7642.058000,-0.2441272
100,7642.059000,0.5598262
101,7642.060000,0.3401796
102,7642.061000,-0.1125722
103,7642.062000,-0.2278971
104,7642.063000,-0.02025616
105,7642.064000,-5.446354
106,7642.065000,-5.172611
107,7642.066000,1.562939
108,7642.067000,3.330776
109,7642.068000,1.959481
110,7642.069000,-0.173438
111,7642.070000,-1.220564
112,7642.071000,-0.4884158
113,7642.072000,-0.2980487
114,7642.073000,0.135143
115,7642.074000,0.213071
