#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,0.6785263
2,7641.961000,0.6714649
3,7641.962000,0.6515119
4,7641.963000,0.6499112
5,7641.964000,0.6675113
6,7641.965000,0.4612469
7,7641.966000,0.3111718
8,7641.967000,0.3112939
9,7641.968000,0.2814522
10,7641.969000,0.2803284
11,7641.970000,0.1193927
12,7641.971000,-0.2487362
13,7641.972000,-0.3863246
14,7641.973000,-0.3090976
15,7641.974000,-0.4176873
16,7641.975000,-0.6817414
17,7641.976000,-0.7852407
18,7641.977000,-0.7915408
19,7641.978000,-0.8435568
20,7641.979000,-0.9020189
21,7641.980000,-0.9126498
22,7641.981000,-0.93522
23,7641.982000,-1.081229
24,7641.983000,-1.138755
25,7641.984000,-1.239133
26,7641.985000,-1.423347
27,7641.986000,-1.628716
28,7641.987000,-1.822415
29,7641.988000,-2.036633
30,7641.989000,-2.21993
31,7641.990000,-2.21578
32,7641.991000,-2.333896
33,7641.992000,-2.287244
34,7641.993000,-2.272269
35,7641.994000,-2.226427
36,7641.995000,-2.213339
37,7641.996000,-2.206289
38,7641.997000,-2.23361
39,7641.998000,-2.231027
40,7641.999000,-2.410694
41,7642.000000,-2.729844
42,7642.001000,-2.806428
43,7642.002000,-2.886327
44,7642.003000,-3.008675
45,7642.004000,-2.954381
46,7642.005000,-2.841068
47,7642.006000,-2.8473
48,7642.007000,-2.93922
49,7642.008000,-2.966661
50,7642.009000,-3.158515
51,7642.010000,-3.173891
52,7642.011000,-3.06453
53,7642.012000,-3.029867
54,7642.013000,-3.081559
55,7642.014000,-3.129891
56,7642.015000,-3.058834
57,7642.016000,-3.067383
58,7642.017000,-3.085197
59,7642.018000,-3.104401
60,7642.019000,-3.134595
61,7642.020000,-3.164152
62,7642.021000,-3.118929
63,7642.022000,-3.057002
64,7642.023000,-3.111608
65,7642.024000,-3.034754
66,7642.025000,-3.127165
67,7642.026000,-3.056574
68,7642.027000,-3.025094
69,7642.028000,-3.121236
70,7642.029000,-3.051857
71,7642.030000,-3.102528
72,7642.031000,-3.169602
73,7642.032000,-3.137469
74,7642.033000,-3.090937
75,7642.034000,-3.096382
76,7642.035000,-3.100386
77,7642.036000,-3.175878
78,7642.037000,-3.322432
79,7642.038000,-3.194158
80,7642.039000,-3.041631
81,7642.040000,-3.015047
82,7642.041000,-3.00028
83,7642.042000,-3.11187
84,7642.043000,-3.234015
85,7642.044000,-3.169439
86,7642.045000,-3.021962
87,7642.046000,-2.959838
88,7642.047000,-2.987916
89,7642.048000,-2.961398
90,7642.049000,-2.917094
91,7642.050000,-2.926341
92,7642.051000,-2.959917
93,7642.052000,-2.945459
94,7642.053000,-2.841831
95,7642.054000,-2.818076
96,7642.055000,-2.81355
97,7642.056000,-2.750701
98,7642.057000,-2.720588
99,7642.058000,-2.659747
100,7642.059000,-2.648659
101,7642.060000,-2.64976
102,7642.061000,-2.655279
103,7642.062000,-2.602622
104,7642.063000,-2.47407
105,7642.064000,-2.620592
106,7642.065000,-2.654758
107,7642.066000,-2.478307
108,7642.067000,-2.234778
109,7642.068000,-2.208473
110,7642.069000,-2.280607
111,7642.070000,-2.258712
112,7642.071000,-2.364098
113,7642.072000,-2.367692
114,7642.073000,-2.312636
115,7642.074000,-2.254402
