#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,0.674867
2,7641.961000,0.6911054
3,7641.962000,0.6563095
4,7641.963000,0.6136897
5,7641.964000,0.6326584
6,7641.965000,0.618578
7,7641.966000,0.5453719
8,7641.967000,0.4923989
9,7641.968000,0.4196444
10,7641.969000,0.3565764
11,7641.970000,0.3254895
12,7641.971000,0.3379025
13,7641.972000,0.294136
14,7641.973000,0.198113
15,7641.974000,0.1305194
16,7641.975000,0.0906173
17,7641.976000,0.1387217
18,7641.977000,0.1211936
19,7641.978000,0.1333538
20,7641.979000,0.1142865
21,7641.980000,0.109356
22,7641.981000,0.05443144
23,7641.982000,0.01399952
24,7641.983000,0.06430674
25,7641.984000,0.01174039
26,7641.985000,0.06160855
27,7641.986000,0.04558069
28,7641.987000,0.012577
29,7641.988000,0.002893925
30,7641.989000,0.01076573
31,7641.990000,0.02956802
32,7641.991000,-0.005418301
33,7641.992000,-0.04654288
34,7641.993000,-0.05920583
35,7641.994000,-0.09789532
36,7641.995000,-0.1380864
37,7641.996000,-0.2257362
38,7641.997000,-0.3652923
39,7641.998000,-0.2608959
40,7641.999000,-0.3308761
41,7642.000000,-0.2452978
42,7642.001000,-0.2074651
43,7642.002000,-0.2483645
44,7642.003000,-0.1950247
45,7642.004000,-0.2259703
46,7642.005000,-0.2444299
47,7642.006000,-0.359949
48,7642.007000,-0.5707728
49,7642.008000,-0.4662794
50,7642.009000,-0.353099
51,7642.010000,-0.3122239
52,7642.011000,-0.411515
53,7642.012000,-0.4751061
54,7642.013000,-0.4980976
55,7642.014000,-0.4402924
56,7642.015000,-0.5150921
57,7642.016000,-0.5127899
58,7642.017000,-0.5220003
59,7642.018000,-0.53264
60,7642.019000,-0.5451553
61,7642.020000,-0.5564148
62,7642.021000,-0.5675967
63,7642.022000,-0.5731003
64,7642.023000,-0.5721622
65,7642.024000,-0.595547
66,7642.025000,-0.5880668
67,7642.026000,-0.5951666
68,7642.027000,-0.5986511
69,7642.028000,-0.5967778
70,7642.029000,-0.5892106
71,7642.030000,-0.6011698
72,7642.031000,-0.5878875
73,7642.032000,-0.5855625
74,7642.033000,-0.5794525
75,7642.034000,-0.5715875
76,7642.035000,-0.5618706
77,7642.036000,-0.5514069
78,7642.037000,-0.540148
79,7642.038000,-0.5242359
80,7642.039000,-0.5035533
81,7642.040000,-0.5203246
82,7642.041000,-0.5777436
83,7642.042000,-0.4592068
84,7642.043000,-0.5039755
85,7642.044000,-0.475016
86,7642.045000,-0.4807596
87,7642.046000,-0.5198386
88,7642.047000,-0.4665458
89,7642.048000,-0.4629111
90,7642.049000,-0.4564635
91,7642.050000,-0.4330108
92,7642.051000,-0.3946368
93,7642.052000,-0.4318742
94,7642.053000,-0.4007489
95,7642.054000,-0.3652404
96,7642.055000,-0.3582591
97,7642.056000,-0.4107731
98,7642.057000,-0.3836925
99,7642.058000,-0.406702
100,7642.059000,-0.4240315
101,7642.060000,-0.4352511
102,7642.061000,-0.4385187
103,7642.062000,-0.4235404
104,7642.063000,-0.3855207
105,7642.064000,-0.1059626
106,7642.065000,-0.1030083
107,7642.066000,-0.4306465
108,7642.067000,-0.5278413
109,7642.068000,-0.5115426
110,7642.069000,-0.3094494
111,7642.070000,-0.2399729
