#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,9.22751
2,7641.961000,9.29458
3,7641.962000,9.300002
4,7641.963000,9.271553
5,7641.964000,9.266449
6,7641.965000,9.263948
7,7641.966000,9.262942
8,7641.967000,9.268825
9,7641.968000,9.28814
10,7641.969000,9.308643
11,7641.970000,9.316526
12,7641.971000,9.30547
13,7641.972000,9.290096
14,7641.973000,9.263864
15,7641.974000,9.2517
16,7641.975000,9.256254
17,7641.976000,9.260077
18,7641.977000,9.269575
19,7641.978000,9.271163
20,7641.979000,9.262321
21,7641.980000,9.254754
22,7641.981000,9.24471
23,7641.982000,9.241353
24,7641.983000,9.246656
25,7641.984000,9.253584
26,7641.985000,9.264936
27,7641.986000,9.246512
28,7641.987000,9.194506
29,7641.988000,9.200983
30,7641.989000,9.263779
31,7641.990000,9.212101
32,7641.991000,9.197396
33,7641.992000,9.245265
34,7641.993000,9.209219
35,7641.994000,9.219425
36,7641.995000,9.219884
37,7641.996000,9.221706
38,7641.997000,9.223899
39,7641.998000,9.229428
40,7641.999000,9.238576
41,7642.000000,9.231879
42,7642.001000,9.208282
43,7642.002000,9.268449
44,7642.003000,9.252768
45,7642.004000,9.233264
46,7642.005000,9.262736
47,7642.006000,9.262733
48,7642.007000,9.268166
49,7642.008000,9.2738
50,7642.009000,9.279415
51,7642.010000,9.285305
52,7642.011000,9.291511
53,7642.012000,9.297688
54,7642.013000,9.303894
55,7642.014000,9.31093
56,7642.015000,9.318817
57,7642.016000,9.327183
58,7642.017000,9.336229
59,7642.018000,9.34563
60,7642.019000,9.35536
61,7642.020000,9.364811
62,7642.021000,9.373822
63,7642.022000,9.38693
64,7642.023000,9.394445
65,7642.024000,9.404555
66,7642.025000,9.413843
67,7642.026000,9.423141
68,7642.027000,9.432437
69,7642.028000,9.443642
70,7642.029000,9.457016
71,7642.030000,9.461658
72,7642.031000,9.457128
73,7642.032000,9.500206
74,7642.033000,9.487739
75,7642.034000,9.503989
76,7642.035000,9.514723
77,7642.036000,9.525402
78,7642.037000,9.535974
79,7642.038000,9.548995
80,7642.039000,9.564658
81,7642.040000,9.56763
82,7642.041000,9.557154
83,7642.042000,9.615652
84,7642.043000,9.629734
85,7642.044000,9.608114
86,7642.045000,9.643506
87,7642.046000,9.653512
88,7642.047000,9.679757
89,7642.048000,9.683451
90,7642.049000,9.665471
91,7642.050000,9.752296
92,7642.051000,9.718051
93,7642.052000,9.746266
94,7642.053000,9.762555
95,7642.054000,9.776845
96,7642.055000,9.788866
97,7642.056000,9.799753
98,7642.057000,9.808836
99,7642.058000,9.817347
100,7642.059000,9.82533
101,7642.060000,9.831883
102,7642.061000,9.837256
103,7642.062000,9.840124
104,7642.063000,9.84024
105,7642.064000,9.852414
106,7642.065000,9.877668
107,7642.066000,9.835847
108,7642.067000,9.85667
109,7642.068000,9.869643
110,7642.069000,9.866378
111,7642.070000,9.850131
112,7642.071000,9.863804
113,7642.072000,9.860809
114,7642.073000,9.861351
115,7642.074000,9.858175
116,7642.075000,9.85095
117,7642.076000,9.859983
118,7642.077000,9.886069
119,7642.078000,9.831201
120,7642.079000,9.817655
121,7642.080000,9.894637
122,7642.081000,9.830953
123,7642.082000,9.840327
124,7642.083000,9.832339
125,7642.084000,9.822752
