Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.07375037658466155,0.1341104507446289,0.08987705372860262,13824,0.8573322532101915
cegun,dianjichui,-0.00209296049519496,0.022351741790771484,0.021638763511156612,21243,0.3130744224951212
cegun,dianjiheng,-0.011462191218334836,-0.014901161193847656,-0.027199174543313616,13232,-0.20321632060796166
cegun,fuchen,-0.45409324090061237,0.0260770320892334,-0.5763989016781506,14687,0.37836620769911444
cegun,hengjian,0.15323972784759887,-0.03725290298461914,-0.11358487341501161,7156,-0.33111828280437866
cegun,hengxiang ,-0.0029632727043696887,-0.6109476089477539,-0.038996408249852746,11683,-0.9861087050908158
cegun,lingxing,0.3964021183461575,-0.27567148208618164,0.018222703960503375,11854,-0.9552154848970332
cegun,niuzhuan,0.1697220958842668,-0.28312206268310547,0.07236933481407751,10678,-0.9738010424926329
cegun,qianyin,0.7166022530832107,1.3932585716247559,-0.4257975493963412,9641,0.9992235356350933
cegun,zhidong,-0.7400362868961401,-1.0579824447631836,0.3836591820935149,12408,-0.9980620052015456
chilunxiang,cegun,-0.07375037658466073,-0.19371509552001953,-0.8551255593823326,9136,-0.9484923343663365
chilunxiang,dianjichui,0.08357718983500123,0.08195638656616211,-0.0011222082554170239,23342,0.8145581893497886
chilunxiang,dianjiheng,-0.018769867470817606,-0.029802322387695312,-0.015343202114829008,13735,-0.4400559803039922
chilunxiang,fuchen,0.10524490829579547,0.014901161193847656,-0.5657485610964272,14535,0.18631886674868284
chilunxiang,hengjian,0.13071682149474917,-0.04470348358154297,-0.1287065783051158,7425,-0.6388362976564498
chilunxiang,hengxiang ,-0.04194004089021128,0.4246830940246582,0.4686332912343079,9346,0.9342549701723928
chilunxiang,lingxing,0.06370110386724376,0.08195638656616211,0.13780075253302038,11739,0.842172598252827
chilunxiang,niuzhuan,0.19360932061488098,0.32782554626464844,0.296935380993619,10545,0.974566965857095
chilunxiang,qianyin,-0.1395625525976699,0.03725290298461914,-0.10289498589413255,9256,0.5347078244549988
