#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7641.960000,-11.79581
2,7641.961000,-11.79068
3,7641.962000,-11.78885
4,7641.963000,-11.69475
5,7641.964000,-11.41508
6,7641.965000,-11.12252
7,7641.966000,-10.82496
8,7641.967000,-10.59111
9,7641.968000,-10.41189
10,7641.969000,-10.12567
11,7641.970000,-9.971952
12,7641.971000,-10.0013
13,7641.972000,-10.18467
14,7641.973000,-10.60771
15,7641.974000,-10.83525
16,7641.975000,-10.86551
17,7641.976000,-10.69626
18,7641.977000,-10.75657
19,7641.978000,-10.74601
20,7641.979000,-10.87767
21,7641.980000,-10.89725
22,7641.981000,-10.8355
23,7641.982000,-10.77788
24,7641.983000,-10.68916
25,7641.984000,-10.2999
26,7641.985000,-10.08738
27,7641.986000,-9.997951
28,7641.987000,-10.03543
29,7641.988000,-10.13789
30,7641.989000,-10.30802
31,7641.990000,-10.61865
32,7641.991000,-10.50642
33,7641.992000,-10.58555
34,7641.993000,-10.61851
35,7641.994000,-10.6063
36,7641.995000,-10.56007
37,7641.996000,-10.42716
38,7641.997000,-10.2436
39,7641.998000,-10.11682
40,7641.999000,-10.38534
41,7642.000000,-9.967707
42,7642.001000,-10.29047
43,7642.002000,-10.31371
44,7642.003000,-10.12326
45,7642.004000,-10.25167
46,7642.005000,-10.10134
47,7642.006000,-10.09719
48,7642.007000,-10.09559
49,7642.008000,-10.0532
50,7642.009000,-10.05219
51,7642.010000,-10.13871
52,7642.011000,-10.34562
53,7642.012000,-10.44204
54,7642.013000,-10.39954
55,7642.014000,-10.26587
56,7642.015000,-10.47214
57,7642.016000,-10.3783
58,7642.017000,-10.30313
59,7642.018000,-10.26497
60,7642.019000,-10.28769
61,7642.020000,-10.30708
62,7642.021000,-10.34997
63,7642.022000,-10.34708
64,7642.023000,-10.28965
65,7642.024000,-10.39788
66,7642.025000,-10.23685
67,7642.026000,-10.38676
68,7642.027000,-10.45018
69,7642.028000,-10.25894
70,7642.029000,-10.43612
71,7642.030000,-10.43039
72,7642.031000,-10.41565
73,7642.032000,-10.42094
74,7642.033000,-10.46809
75,7642.034000,-10.3619
76,7642.035000,-10.42503
77,7642.036000,-10.39079
78,7642.037000,-10.35821
79,7642.038000,-10.37949
80,7642.039000,-10.36356
81,7642.040000,-10.44475
82,7642.041000,-10.60415
83,7642.042000,-10.36228
84,7642.043000,-10.34963
85,7642.044000,-10.38522
86,7642.045000,-10.50514
87,7642.046000,-10.54861
88,7642.047000,-10.49785
89,7642.048000,-10.50894
90,7642.049000,-10.5443
91,7642.050000,-10.54766
92,7642.051000,-10.53479
93,7642.052000,-10.61805
94,7642.053000,-10.59886
95,7642.054000,-10.60812
96,7642.055000,-10.61632
97,7642.056000,-10.61275
98,7642.057000,-10.60002
99,7642.058000,-10.59002
100,7642.059000,-10.5811
101,7642.060000,-10.54378
102,7642.061000,-10.47756
103,7642.062000,-10.51788
104,7642.063000,-10.67003
105,7642.064000,-10.3013
106,7642.065000,-10.43265
107,7642.066000,-10.57357
108,7642.067000,-10.68886
109,7642.068000,-10.39043
110,7642.069000,-10.49403
111,7642.070000,-10.63772
112,7642.071000,-10.52694
113,7642.072000,-10.58858
114,7642.073000,-10.58567
115,7642.074000,-10.58303
116,7642.075000,-10.62417
