#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7641.9600,2498.751
2,7641.9800,2498.517
3,7642.0000,2499.126
4,7642.0200,2499.048
5,7642.0400,2499.486
6,7642.0600,2499.596
7,7642.0800,2499.439
8,7642.1000,2499.611
9,7642.1200,2499.846
10,7642.1400,2499.768
11,7642.1600,2499.83
12,7642.1800,2499.768
13,7642.2000,2500.143
14,7642.2200,2499.908
15,7642.2400,2499.862
16,7642.2600,2499.924
17,7642.2800,2499.251
18,7642.3000,2499.799
19,7642.3200,2499.377
20,7642.3400,2498.673
21,7642.3600,2498.814
22,7642.3800,2499.048
23,7642.4000,2498.298
24,7642.4200,2498.141
25,7642.4400,2498.392
26,7642.4600,2497.719
27,7642.4800,2498
28,7642.5000,2497.5
29,7642.5200,2497.922
30,7642.5400,2497.891
31,7642.5600,2497.203
32,7642.5800,2497.891
33,7642.6000,2497.797
34,7642.6200,2497.172
35,7642.6400,2497.25
36,7642.6600,2497.578
37,7642.6800,2497.422
38,7642.7000,2497.406
39,7642.7200,2497.547
40,7642.7400,2497.563
41,7642.7600,2497.578
42,7642.7800,2497.656
43,7642.8000,2497.735
44,7642.8200,2498.454
45,7642.8400,2498.689
46,7642.8600,2498.094
47,7642.8800,2497.797
48,7642.9000,2498.923
49,7642.9200,2499.08
50,7642.9400,2498.563
51,7642.9600,2498.642
52,7642.9800,2498.579
53,7643.0000,2498.423
54,7643.0200,2498.673
55,7643.0400,2498.188
56,7643.0600,2497.61
57,7643.0800,2497.688
58,7643.1000,2498.188
59,7643.1200,2497.875
60,7643.1400,2497.782
61,7643.1600,2497.782
62,7643.1800,2497.938
63,7643.2000,2497.328
64,7643.2200,2497.469
65,7643.2400,2498.047
66,7643.2600,2496.906
67,7643.2800,2497.766
68,7643.3000,2498.032
69,7643.3200,2497.109
70,7643.3400,2497.015
71,7643.3600,2497.031
72,7643.3800,2497.266
73,7643.4000,2496.812
74,7643.4200,2497.281
75,7643.4400,2496.75
76,7643.4600,2497.156
77,7643.4800,2496.593
78,7643.5000,2496.687
79,7643.5200,2497.344
80,7643.5400,2496.89
81,7643.5600,2496.671
82,7643.5800,2497.219
83,7643.6000,2497.094
84,7643.6200,2497.672
85,7643.6400,2497.485
86,7643.6600,2496.828
87,7643.6800,2497.703
88,7643.7000,2498.047
89,7643.7200,2497.813
90,7643.7400,2498.141
91,7643.7600,2498.032
92,7643.7800,2497.922
93,7643.8000,2498.188
94,7643.8200,2497.954
95,7643.8400,2498.392
96,7643.8600,2498.485
97,7643.8800,2498.829
98,7643.9000,2499.564
99,7643.9200,2499.064
100,7643.9400,2499.267
101,7643.9600,2500.174
102,7643.9800,2499.736
103,7644.0000,2499.549
104,7644.0200,2500.033
105,7644.0400,2499.627
106,7644.0600,2499.58
107,7644.0800,2500.518
108,7644.1000,2499.643
109,7644.1200,2499.736
110,7644.1400,2499.205
111,7644.1600,2499.83
112,7644.1800,2499.549
113,7644.2000,2499.314
114,7644.2200,2499.033
115,7644.2400,2498.548
116,7644.2600,2498.657
117,7644.2800,2499.205
118,7644.3000,2498.954
119,7644.3200,2498.517
120,7644.3400,2498.563
121,7644.3600,2498.751
122,7644.3800,2498.501
123,7644.4000,2498.861
124,7644.4200,2499.502
125,7644.4400,2499.236
126,7644.4600,2498.954
127,7644.4800,2499.502
128,7644.5000,2500.174
129,7644.5200,2499.283
130,7644.5400,2499.971
131,7644.5600,2499.893
132,7644.5800,2500.159
133,7644.6000,2499.736
134,7644.6200,2499.611
135,7644.6400,2499.189
136,7644.6600,2499.189
137,7644.6800,2498.845
138,7644.7000,2499.549
139,7644.7200,2498.814
140,7644.7400,2498.47
141,7644.7600,2498.845
142,7644.7800,2498.61
143,7644.8000,2498.423
144,7644.8200,2497.86
145,7644.8400,2498.204
146,7644.8600,2497.672
147,7644.8800,2498.204
148,7644.9000,2498.219
149,7644.9200,2497.281
150,7644.9400,2497.14
151,7644.9600,2497.735
152,7644.9800,2497.531
153,7645.0000,2497.766
154,7645.0200,2497.313
155,7645.0400,2497.359
156,7645.0600,2497
157,7645.0800,2496.953
158,7645.1000,2496.718
159,7645.1200,2497.109
160,7645.1400,2496.984
161,7645.1600,2496.75
162,7645.1800,2496.687
163,7645.2000,2497.109
164,7645.2200,2497.344
165,7645.2400,2497.672
166,7645.2600,2497.109
167,7645.2800,2497.641
168,7645.3000,2497.25
169,7645.3200,2498.032
170,7645.3400,2498.407
171,7645.3600,2497.797
172,7645.3800,2498.704
173,7645.4000,2498.063
174,7645.4200,2498.814
175,7645.4400,2499.502
176,7645.4600,2498.907
177,7645.4800,2499.236
178,7645.5000,2499.611
179,7645.5200,2499.862
180,7645.5400,2500.08
181,7645.5600,2499.862
182,7645.5800,2499.439
183,7645.6000,2499.893
184,7645.6200,2499.439
185,7645.6400,2499.517
186,7645.6600,2499.564
187,7645.6800,2499.299
188,7645.7000,2499.58
189,7645.7200,2499.126
190,7645.7400,2498.704
191,7645.7600,2498.344
192,7645.7800,2498.438
193,7645.8000,2498.392
194,7645.8200,2497.594
195,7645.8400,2496.796
196,7645.8600,2496.906
197,7645.8800,2496.64
198,7645.9000,2496.312
199,7645.9200,2495.968
200,7645.9400,2495.686
201,7645.9600,2495.499
202,7645.9800,2495.342
203,7646.0000,2495.905
204,7646.0200,2495.702
205,7646.0400,2495.733
206,7646.0600,2496.202
207,7646.0800,2495.983
208,7646.1000,2496.39
209,7646.1200,2496.718
210,7646.1400,2497.25
211,7646.1600,2496.969
212,7646.1800,2498
213,7646.2000,2498.141
214,7646.2200,2498.47
215,7646.2400,2497.688
216,7646.2600,2498.407
217,7646.2800,2498.767
218,7646.3000,2498.767
219,7646.3200,2498.986
220,7646.3400,2498.954
221,7646.3600,2498.751
222,7646.3800,2499.58
223,7646.4000,2499.736
224,7646.4200,2499.799
225,7646.4400,2499.674
226,7646.4600,2500.377
227,7646.4800,2500.503
228,7646.5000,2499.94
229,7646.5200,2500.174
230,7646.5400,2500.127
231,7646.5600,2499.846
232,7646.5800,2500.315
233,7646.6000,2499.893
234,7646.6200,2499.674
235,7646.6400,2500.127
236,7646.6600,2499.142
237,7646.6800,2499.424
238,7646.7000,2499.408
239,7646.7200,2499.095
240,7646.7400,2499.001
241,7646.7600,2498.548
242,7646.7800,2499.111
243,7646.8000,2498.97
244,7646.8200,2498.861
245,7646.8400,2499.095
246,7646.8600,2499.001
247,7646.8800,2498.954
248,7646.9000,2499.173
249,7646.9200,2499.173
250,7646.9400,2499.299
251,7646.9600,2499.251
252,7646.9800,2499.955
253,7647.0000,2499.173
254,7647.0200,2500.268
255,7647.0400,2500.565
256,7647.0600,2500.487
257,7647.0800,2500.362
258,7647.1000,2500.706
259,7647.1200,2501.113
260,7647.1400,2500.847
261,7647.1600,2501.019
262,7647.1800,2501.503
263,7647.2000,2501.066
264,7647.2200,2500.862
265,7647.2400,2500.643
266,7647.2600,2500.44
267,7647.2800,2500.049
268,7647.3000,2499.377
269,7647.3200,2498.861
270,7647.3400,2498.282
271,7647.3600,2497.86
272,7647.3800,2497.047
273,7647.4000,2497.313
274,7647.4200,2496.327
275,7647.4400,2495.764
276,7647.4600,2495.076
277,7647.4800,2494.576
278,7647.5000,2494.185
279,7647.5200,2493.45
280,7647.5400,2493.778
281,7647.5600,2493.028
