#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7641.9600,71.87024
2,7641.9800,71.92652
3,7642.0000,71.92652
4,7642.0200,71.92184
5,7642.0400,72.00157
6,7642.0600,72.06724
7,7642.0800,72.15635
8,7642.1000,72.12821
9,7642.1200,72.02971
10,7642.1400,71.75298
11,7642.1600,71.53722
12,7642.1800,71.32616
13,7642.2000,71.15731
14,7642.2200,70.98376
15,7642.2400,70.79615
16,7642.2600,70.57101
17,7642.2800,70.45844
18,7642.3000,70.46313
19,7642.3200,70.60384
20,7642.3400,70.75394
21,7642.3600,70.88058
22,7642.3800,70.96031
23,7642.4000,71.05881
24,7642.4200,71.2089
25,7642.4400,71.26987
26,7642.4600,71.18545
27,7642.4800,71.29333
28,7642.5000,71.67793
29,7642.5200,72.03909
30,7642.5400,72.3299
31,7642.5600,72.48468
32,7642.5800,72.51282
33,7642.6000,72.42839
34,7642.6200,72.39556
35,7642.6400,72.36742
36,7642.6600,72.40025
37,7642.6800,72.51282
38,7642.7000,72.51282
39,7642.7200,72.43308
40,7642.7400,72.43308
41,7642.7600,72.34396
42,7642.7800,72.15635
43,7642.8000,71.99688
44,7642.8200,72.07192
45,7642.8400,72.1798
46,7642.8600,72.30175
47,7642.8800,72.43777
48,7642.9000,72.51751
49,7642.9200,72.39087
50,7642.9400,72.10007
51,7642.9600,71.75768
52,7642.9800,71.39182
53,7643.0000,71.05881
54,7643.0200,70.78677
55,7643.0400,70.39278
56,7643.0600,70.00817
57,7643.0800,69.74551
58,7643.1000,69.49693
59,7643.1200,69.28586
60,7643.1400,69.07948
61,7643.1600,68.79337
62,7643.1800,68.64328
63,7643.2000,68.69956
64,7643.2200,68.7324
65,7643.2400,68.91532
66,7643.2600,69.25303
67,7643.2800,69.64233
68,7643.3000,70.12543
69,7643.3200,70.31304
70,7643.3400,70.19109
71,7643.3600,69.92844
72,7643.3800,69.8018
73,7643.4000,69.82056
74,7643.4200,69.9472
75,7643.4400,70.06915
76,7643.4600,70.08791
77,7643.4800,69.7033
78,7643.5000,69.51569
79,7643.5200,69.51569
80,7643.5400,69.3609
81,7643.5600,69.38905
82,7643.5800,69.73144
83,7643.6000,69.97534
84,7643.6200,69.95189
85,7643.6400,69.83463
86,7643.6600,69.59542
87,7643.6800,69.10763
88,7643.7000,68.56824
89,7643.7200,68.31496
90,7643.7400,68.34309
91,7643.7600,68.53071
92,7643.7800,68.71832
93,7643.8000,68.84496
94,7643.8200,69.35152
95,7643.8400,69.79241
96,7643.8600,70.21924
97,7643.8800,70.40685
98,7643.9000,70.51942
99,7643.9200,70.5288
100,7643.9400,70.60854
101,7643.9600,70.55695
102,7643.9800,70.47252
103,7644.0000,70.45376
104,7644.0200,70.51942
105,7644.0400,70.47252
106,7644.0600,70.34588
107,7644.0800,70.51942
108,7644.1000,70.67889
109,7644.1200,70.75394
110,7644.1400,70.42092
111,7644.1600,70.25676
112,7644.1800,70.21924
113,7644.2000,69.98003
114,7644.2200,69.8956
115,7644.2400,69.75958
116,7644.2600,69.66578
117,7644.2800,69.64233
118,7644.3000,69.82056
119,7644.3200,70.20048
120,7644.3400,70.50535
121,7644.3600,70.74456
122,7644.3800,70.55225
123,7644.4000,70.26145
124,7644.4200,69.85808
125,7644.4400,69.61418
126,7644.4600,69.52975
127,7644.4800,69.62825
128,7644.5000,69.54852
129,7644.5200,69.40781
130,7644.5400,69.18736
131,7644.5600,68.99506
132,7644.5800,68.80744
133,7644.6000,68.63859
134,7644.6200,68.65266
135,7644.6400,68.70895
136,7644.6600,68.52133
137,7644.6800,68.2915
138,7644.7000,68.05698
139,7644.7200,67.63486
140,7644.7400,67.40034
141,7644.7600,67.10954
142,7644.7800,66.82812
143,7644.8000,66.72961
144,7644.8200,66.80935
145,7644.8400,66.81404
146,7644.8600,66.72493
147,7644.8800,66.78121
148,7644.9000,66.82812
149,7644.9200,67.03918
150,7644.9400,67.35812
151,7644.9600,67.83185
152,7644.9800,68.23522
153,7645.0000,68.51664
154,7645.0200,68.61983
155,7645.0400,68.62921
156,7645.0600,68.78399
157,7645.0800,68.85904
158,7645.1000,68.72771
159,7645.1200,68.53071
160,7645.1400,68.2446
161,7645.1600,67.93504
162,7645.1800,67.39565
163,7645.2000,66.7859
164,7645.2200,66.19492
165,7645.2400,65.7165
166,7645.2600,65.35065
167,7645.2800,65.17242
168,7645.3000,65.09268
169,7645.3200,65.05047
170,7645.3400,65.05047
171,7645.3600,65.19118
172,7645.3800,65.27092
173,7645.4000,65.33189
174,7645.4200,65.43039
175,7645.4400,65.68836
176,7645.4600,65.78217
177,7645.4800,65.63676
178,7645.5000,65.62738
179,7645.5200,65.84314
180,7645.5400,65.85721
181,7645.5600,65.89005
182,7645.5800,66.00261
183,7645.6000,65.81969
184,7645.6200,65.64615
185,7645.6400,65.43977
186,7645.6600,65.44446
187,7645.6800,65.48667
188,7645.7000,65.6227
189,7645.7200,65.77747
190,7645.7400,65.85721
191,7645.7600,65.70243
192,7645.7800,65.78217
193,7645.8000,65.63676
194,7645.8200,65.66959
195,7645.8400,65.87128
196,7645.8600,66.07766
197,7645.8800,66.21368
198,7645.9000,66.21837
199,7645.9200,66.31686
200,7645.9400,66.39191
201,7645.9600,66.70148
202,7645.9800,67.15175
203,7646.0000,67.49414
204,7646.0200,67.66769
