#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,-2.587119
2,7723.465000,-2.589442
3,7723.466000,-2.583592
4,7723.467000,-2.566831
5,7723.468000,-2.554221
6,7723.469000,-2.542005
7,7723.470000,-2.521773
8,7723.471000,-2.508269
9,7723.472000,-2.508454
10,7723.473000,-2.486925
11,7723.474000,-2.476021
12,7723.475000,-2.46151
13,7723.476000,-2.446833
14,7723.477000,-2.431677
15,7723.478000,-2.417671
16,7723.479000,-2.405119
17,7723.480000,-2.392953
18,7723.481000,-2.38168
19,7723.482000,-2.360802
20,7723.483000,-2.329241
21,7723.484000,-2.312107
22,7723.485000,-2.308445
23,7723.486000,-2.294838
24,7723.487000,-2.275332
25,7723.488000,-2.263107
26,7723.489000,-2.255209
27,7723.490000,-2.245771
28,7723.491000,-2.236388
29,7723.492000,-2.229095
30,7723.493000,-2.223229
31,7723.494000,-2.204753
32,7723.495000,-2.172493
33,7723.496000,-2.134317
34,7723.497000,-2.086392
35,7723.498000,-2.05137
36,7723.499000,-2.052479
37,7723.500000,-2.031041
38,7723.501000,-2.000447
39,7723.502000,-2.09179
40,7723.503000,-2.098454
41,7723.504000,-2.056474
42,7723.505000,-1.978704
43,7723.506000,-1.942269
44,7723.507000,-1.963051
45,7723.508000,-1.953517
46,7723.509000,-1.935959
47,7723.510000,-1.92262
48,7723.511000,-1.903632
49,7723.512000,-1.884611
50,7723.513000,-1.864967
51,7723.514000,-1.844815
52,7723.515000,-1.824952
53,7723.516000,-1.803599
54,7723.517000,-1.781035
55,7723.518000,-1.764364
56,7723.519000,-1.754013
57,7723.520000,-1.746877
58,7723.521000,-1.744886
59,7723.522000,-1.73256
60,7723.523000,-1.708556
61,7723.524000,-1.681925
62,7723.525000,-1.648578
63,7723.526000,-1.625092
64,7723.527000,-1.61332
65,7723.528000,-1.600794
66,7723.529000,-1.591755
67,7723.530000,-1.584008
68,7723.531000,-1.565115
69,7723.532000,-1.551523
70,7723.533000,-1.53741
71,7723.534000,-1.524001
72,7723.535000,-1.512146
73,7723.536000,-1.499831
74,7723.537000,-1.487407
75,7723.538000,-1.475769
76,7723.539000,-1.464686
77,7723.540000,-1.454017
78,7723.541000,-1.443881
79,7723.542000,-1.433605
80,7723.543000,-1.423137
81,7723.544000,-1.412867
82,7723.545000,-1.402622
83,7723.546000,-1.392636
84,7723.547000,-1.382942
85,7723.548000,-1.373278
86,7723.549000,-1.363694
87,7723.550000,-1.354787
88,7723.551000,-1.346573
89,7723.552000,-1.338799
90,7723.553000,-1.331621
91,7723.554000,-1.324626
92,7723.555000,-1.31779
93,7723.556000,-1.311449
94,7723.557000,-1.305514
95,7723.558000,-1.299121
96,7723.559000,-1.292222
97,7723.560000,-1.285165
98,7723.561000,-1.277712
99,7723.562000,-1.270446
100,7723.563000,-1.263386
101,7723.564000,-1.25603
102,7723.565000,-1.248488
103,7723.566000,-1.241268
104,7723.567000,-1.234345
105,7723.568000,-1.227543
106,7723.569000,-1.220977
107,7723.570000,-1.214206
108,7723.571000,-1.207198
109,7723.572000,-1.200263
110,7723.573000,-1.193295
111,7723.574000,-1.187
112,7723.575000,-1.181475
113,7723.576000,-1.17631
114,7723.577000,-1.17171
115,7723.578000,-1.167339
116,7723.579000,-1.163169
