#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,0.04512787
2,7723.465000,0.05258465
3,7723.466000,0.06007671
4,7723.467000,0.06761646
5,7723.468000,0.07526588
6,7723.469000,0.08301258
7,7723.470000,0.09079075
8,7723.471000,0.09859371
9,7723.472000,0.1064425
10,7723.473000,0.1143188
11,7723.474000,0.1222763
12,7723.475000,0.1303272
13,7723.476000,0.1384401
14,7723.477000,0.1466284
15,7723.478000,0.1548443
16,7723.479000,0.1630783
17,7723.480000,0.1713676
18,7723.481000,0.179698
19,7723.482000,0.1880932
20,7723.483000,0.1965504
21,7723.484000,0.2050447
22,7723.485000,0.2135744
23,7723.486000,0.2221899
24,7723.487000,0.2308979
25,7723.488000,0.2396784
26,7723.489000,0.2485266
27,7723.490000,0.2574224
28,7723.491000,0.2663555
29,7723.492000,0.2753639
30,7723.493000,0.2844381
31,7723.494000,0.2935076
32,7723.495000,0.3025656
33,7723.496000,0.3116398
34,7723.497000,0.320714
35,7723.498000,0.3298368
36,7723.499000,0.3390102
37,7723.500000,0.3481894
38,7723.501000,0.3573847
39,7723.502000,0.3666372
40,7723.503000,0.375948
41,7723.504000,0.3853006
42,7723.505000,0.3947058
43,7723.506000,0.4041252
44,7723.507000,0.4135551
45,7723.508000,0.4230185
46,7723.509000,0.4325066
47,7723.510000,0.4420795
48,7723.511000,0.451746
49,7723.512000,0.4614677
50,7723.513000,0.4712629
51,7723.514000,0.4811001
52,7723.515000,0.4909744
53,7723.516000,0.5009203
54,7723.517000,0.5109301
55,7723.518000,0.5209513
56,7723.519000,0.5309792
57,7723.520000,0.5410376
58,7723.521000,0.5511131
59,7723.522000,0.5612421
60,7723.523000,0.5714359
61,7723.524000,0.5816755
62,7723.525000,0.5919743
63,7723.526000,0.6017475
64,7723.527000,0.6109333
65,7723.528000,0.6198168
66,7723.529000,0.6282291
67,7723.530000,0.6365147
68,7723.531000,0.6446648
69,7723.532000,0.6523342
70,7723.533000,0.6595745
71,7723.534000,0.666811
72,7723.535000,0.6740255
73,7723.536000,0.6810417
74,7723.537000,0.6879482
75,7723.538000,0.6943798
76,7723.539000,0.7003212
77,7723.540000,0.7060413
78,7723.541000,0.7114611
79,7723.542000,0.7169914
80,7723.543000,0.722682
81,7723.544000,0.7282753
82,7723.545000,0.733901
83,7723.546000,0.7393789
84,7723.547000,0.7446833
85,7723.548000,0.7499943
86,7723.549000,0.75527
87,7723.550000,0.7601137
88,7723.551000,0.7645197
89,7723.552000,0.7686539
90,7723.553000,0.7724142
91,7723.554000,0.7760763
92,7723.555000,0.7796555
93,7723.556000,0.7829342
94,7723.557000,0.7859726
95,7723.558000,0.7892313
96,7723.559000,0.7927303
97,7723.560000,0.7962904
98,7723.561000,0.8000383
99,7723.562000,0.8036547
100,7723.563000,0.807126
101,7723.564000,0.810729
102,7723.565000,0.8143959
103,7723.566000,0.8178778
104,7723.567000,0.8211851
105,7723.568000,0.8244057
106,7723.569000,0.8274784
107,7723.570000,0.8306332
108,7723.571000,0.8338852
109,7723.572000,0.8370771
110,7723.573000,0.8402615
111,7723.574000,0.8430462
112,7723.575000,0.8453798
113,7723.576000,0.8474836
114,7723.577000,0.849247
115,7723.578000,0.8508596
116,7723.579000,0.8523359
117,7723.580000,0.8534784
