#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,-0.07524872
2,7723.465000,-0.07470703
3,7723.466000,-0.07411957
4,7723.467000,-0.07350159
5,7723.468000,-0.07276154
6,7723.469000,-0.0719223
7,7723.470000,-0.0710907
8,7723.471000,-0.07028198
9,7723.472000,-0.06944275
10,7723.473000,-0.068573
11,7723.474000,-0.06762695
12,7723.475000,-0.06655884
13,7723.476000,-0.06545258
14,7723.477000,-0.06426239
15,7723.478000,-0.06311035
16,7723.479000,-0.0619812
17,7723.480000,-0.06083679
18,7723.481000,-0.05970001
19,7723.482000,-0.05852509
20,7723.483000,-0.05730438
21,7723.484000,-0.05609894
22,7723.485000,-0.05488586
23,7723.486000,-0.05357361
24,7723.487000,-0.0521698
25,7723.488000,-0.05070496
26,7723.489000,-0.04915619
27,7723.490000,-0.04759979
28,7723.491000,-0.04602814
29,7723.492000,-0.04437256
30,7723.493000,-0.04267883
31,7723.494000,-0.04106903
32,7723.495000,-0.03952026
33,7723.496000,-0.0380249
34,7723.497000,-0.03658295
35,7723.498000,-0.0351181
36,7723.499000,-0.03365326
37,7723.500000,-0.03222656
38,7723.501000,-0.03083038
39,7723.502000,-0.02941895
40,7723.503000,-0.02796173
41,7723.504000,-0.02651215
42,7723.505000,-0.02501678
43,7723.506000,-0.02357483
44,7723.507000,-0.02217865
45,7723.508000,-0.0207901
46,7723.509000,-0.01940155
47,7723.510000,-0.01794434
48,7723.511000,-0.01638031
49,7723.512000,-0.01477814
50,7723.513000,-0.0131073
51,7723.514000,-0.01140594
52,7723.515000,-0.00969696
53,7723.516000,-0.007919312
54,7723.517000,-0.006065369
55,7723.518000,-0.004257202
56,7723.519000,-0.002494812
57,7723.520000,-7.324219E-4
58,7723.521000,0.001029968
59,7723.522000,0.002830505
60,7723.523000,0.004692078
61,7723.524000,0.006546021
62,7723.525000,0.008422852
63,7723.526000,0.01016235
64,7723.527000,0.01174927
65,7723.528000,0.01324463
66,7723.529000,0.01461792
67,7723.530000,0.01594543
68,7723.531000,0.01724243
69,7723.532000,0.01842499
70,7723.533000,0.01948547
71,7723.534000,0.02055359
72,7723.535000,0.02165222
73,7723.536000,0.02270508
74,7723.537000,0.02375793
75,7723.538000,0.02469635
76,7723.539000,0.02549744
77,7723.540000,0.02627563
78,7723.541000,0.0269928
79,7723.542000,0.02770996
80,7723.543000,0.02846527
81,7723.544000,0.02919006
82,7723.545000,0.02992249
83,7723.546000,0.03061676
84,7723.547000,0.03125
85,7723.548000,0.0318985
86,7723.549000,0.032547
87,7723.550000,0.03307343
88,7723.551000,0.03349304
89,7723.552000,0.03384399
90,7723.553000,0.03411865
91,7723.554000,0.03434753
92,7723.555000,0.03456879
93,7723.556000,0.03470612
94,7723.557000,0.03479767
95,7723.558000,0.03495026
96,7723.559000,0.03520966
97,7723.560000,0.03548431
98,7723.561000,0.03583527
99,7723.562000,0.0361557
100,7723.563000,0.03645325
101,7723.564000,0.0368042
102,7723.565000,0.0371933
103,7723.566000,0.03752899
104,7723.567000,0.03781128
105,7723.568000,0.03809357
106,7723.569000,0.03834534
107,7723.570000,0.03863525
108,7723.571000,0.03895569
109,7723.572000,0.03928375
110,7723.573000,0.03961945
111,7723.574000,0.03985596
112,7723.575000,0.03995514
