#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,0.1911497
2,7723.465000,0.1909094
3,7723.466000,0.1906395
4,7723.467000,0.1903362
5,7723.468000,0.1899681
6,7723.469000,0.1895399
7,7723.470000,0.1891184
8,7723.471000,0.1887093
9,7723.472000,0.1882753
10,7723.473000,0.1878338
11,7723.474000,0.187335
12,7723.475000,0.1867714
13,7723.476000,0.1861811
14,7723.477000,0.1855555
15,7723.478000,0.1849356
16,7723.479000,0.1843386
17,7723.480000,0.1837721
18,7723.481000,0.1832571
19,7723.482000,0.1823444
20,7723.483000,0.1809988
21,7723.484000,0.1812944
22,7723.485000,0.1832943
23,7723.486000,0.1766481
24,7723.487000,0.1800451
25,7723.488000,0.1782236
26,7723.489000,0.1773748
27,7723.490000,0.1760368
28,7723.491000,0.1741648
29,7723.492000,0.1719503
30,7723.493000,0.1692686
31,7723.494000,0.1706152
32,7723.495000,0.1764307
33,7723.496000,0.1844835
34,7723.497000,0.1960535
35,7723.498000,0.1899509
36,7723.499000,0.164113
37,7723.500000,0.1296778
38,7723.501000,0.08072758
39,7723.502000,0.1232605
40,7723.503000,0.2678461
41,7723.504000,0.264924
42,7723.505000,0.12432
43,7723.506000,0.1048613
44,7723.507000,0.1692104
45,7723.508000,0.1745367
46,7723.509000,0.1579657
47,7723.510000,0.1585226
48,7723.511000,0.1595888
49,7723.512000,0.1582088
50,7723.513000,0.1572599
51,7723.514000,0.1563005
52,7723.515000,0.1553297
53,7723.516000,0.1543207
54,7723.517000,0.1532755
55,7723.518000,0.1522493
56,7723.519000,0.1512423
57,7723.520000,0.1502333
58,7723.521000,0.1492338
59,7723.522000,0.1482077
60,7723.523000,0.1471462
61,7723.524000,0.1449862
62,7723.525000,0.1415977
63,7723.526000,0.1472092
64,7723.527000,0.1624975
65,7723.528000,0.1392355
66,7723.529000,0.07571125
67,7723.530000,0.2147398
68,7723.531000,0.1156683
69,7723.532000,0.1388388
70,7723.533000,0.1381159
71,7723.534000,0.1373739
72,7723.535000,0.1366234
73,7723.536000,0.1358805
74,7723.537000,0.1351433
75,7723.538000,0.1344557
76,7723.539000,0.1338062
77,7723.540000,0.1331806
78,7723.541000,0.1325808
79,7723.542000,0.1319761
80,7723.543000,0.1313524
81,7723.544000,0.1307364
82,7723.545000,0.1301231
83,7723.546000,0.1295233
84,7723.547000,0.1289358
85,7723.548000,0.1283503
86,7723.549000,0.1277704
87,7723.550000,0.1272287
88,7723.551000,0.1267319
89,7723.552000,0.1262646
90,7723.553000,0.1258326
91,7723.554000,0.1254129
92,7723.555000,0.124999
93,7723.556000,0.1244001
94,7723.557000,0.1235971
95,7723.558000,0.124485
96,7723.559000,0.1271973
97,7723.560000,0.1223841
98,7723.561000,0.1096907
99,7723.562000,0.1364126
100,7723.563000,0.1168108
101,7723.564000,0.1209564
102,7723.565000,0.1204214
103,7723.566000,0.1199045
104,7723.567000,0.1194029
105,7723.568000,0.1189051
106,7723.569000,0.1184177
107,7723.570000,0.1179056
108,7723.571000,0.1173735
109,7723.572000,0.1168404
110,7723.573000,0.1162968
111,7723.574000,0.1157942
112,7723.575000,0.115346
113,7723.576000,0.1149158
114,7723.577000,0.1145229
115,7723.578000,0.1141405
116,7723.579000,0.1137638
