#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,6.42234
2,7723.465000,6.412893
3,7723.466000,6.411411
4,7723.467000,6.42065
5,7723.468000,6.425138
6,7723.469000,6.428699
7,7723.470000,6.440398
8,7723.471000,6.445485
9,7723.472000,6.436717
10,7723.473000,6.449651
11,7723.474000,6.451437
12,7723.475000,6.456262
13,7723.476000,6.461062
14,7723.477000,6.466026
15,7723.478000,6.469969
16,7723.479000,6.472669
17,7723.480000,6.474887
18,7723.481000,6.476251
19,7723.482000,6.487077
20,7723.483000,6.508417
21,7723.484000,6.51537
22,7723.485000,6.508855
23,7723.486000,6.51181
24,7723.487000,6.520177
25,7723.488000,6.52098
26,7723.489000,6.51705
27,7723.490000,6.514588
28,7723.491000,6.512016
29,7723.492000,6.507036
30,7723.493000,6.500381
31,7723.494000,6.506725
32,7723.495000,6.527279
33,7723.496000,6.553923
34,7723.497000,6.590661
35,7723.498000,6.614413
36,7723.499000,6.601934
37,7723.500000,6.612279
38,7723.501000,6.631973
39,7723.502000,6.530041
40,7723.503000,6.513169
41,7723.504000,6.545222
42,7723.505000,6.613406
43,7723.506000,6.640641
44,7723.507000,6.611057
45,7723.508000,6.612233
46,7723.509000,6.621906
47,7723.510000,6.624745
48,7723.511000,6.630332
49,7723.512000,6.634534
50,7723.513000,6.63706
51,7723.514000,6.639606
52,7723.515000,6.641463
53,7723.516000,6.642717
54,7723.517000,6.643436
55,7723.518000,6.649657
56,7723.519000,6.662029
57,7723.520000,6.677689
58,7723.521000,6.698408
59,7723.522000,6.709063
60,7723.523000,6.708333
61,7723.524000,6.705058
62,7723.525000,6.69523
63,7723.526000,6.693645
64,7723.527000,6.701961
65,7723.528000,6.71076
66,7723.529000,6.723989
67,7723.530000,6.728046
68,7723.531000,6.732433
69,7723.532000,6.734997
70,7723.533000,6.737298
71,7723.534000,6.740387
72,7723.535000,6.745096
73,7723.536000,6.748973
74,7723.537000,6.752607
75,7723.538000,6.756088
76,7723.539000,6.75911
77,7723.540000,6.762113
78,7723.541000,6.765021
79,7723.542000,6.767939
80,7723.543000,6.770941
81,7723.544000,6.773899
82,7723.545000,6.776866
83,7723.546000,6.779745
84,7723.547000,6.782524
85,7723.548000,6.785307
86,7723.549000,6.788075
87,7723.550000,6.790614
88,7723.551000,6.792919
89,7723.552000,6.79508
90,7723.553000,6.79704
91,7723.554000,6.798952
92,7723.555000,6.800823
93,7723.556000,6.802534
94,7723.557000,6.804117
95,7723.558000,6.805808
96,7723.559000,6.807615
97,7723.560000,6.809451
98,7723.561000,6.811379
99,7723.562000,6.813234
100,7723.563000,6.81501
101,7723.564000,6.816846
102,7723.565000,6.818711
103,7723.566000,6.820478
104,7723.567000,6.822153
105,7723.568000,6.823778
106,7723.569000,6.825325
107,7723.570000,6.826908
108,7723.571000,6.828535
109,7723.572000,6.830127
110,7723.573000,6.83171
111,7723.574000,6.833082
112,7723.575000,6.834212
113,7723.576000,6.83522
114,7723.577000,6.836044
115,7723.578000,6.836786
116,7723.579000,6.837453
117,7723.580000,6.83794
118,7723.581000,6.838267
119,7723.582000,6.838611
120,7723.583000,6.83897
121,7723.584000,6.839273
122,7723.585000,6.839561
123,7723.586000,6.839704
124,7723.587000,6.839689
125,7723.588000,6.839619
