#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,-0.02284474
2,7723.465000,-0.02174779
3,7723.466000,-0.02132937
4,7723.467000,-0.02170379
5,7723.468000,-0.02700313
6,7723.469000,-0.0379629
7,7723.470000,-0.01900239
8,7723.471000,-0.008457102
9,7723.472000,-0.01887543
10,7723.473000,-0.03549878
11,7723.474000,-0.01561164
12,7723.475000,-0.02301603
13,7723.476000,-0.01685689
14,7723.477000,-0.01665494
15,7723.478000,-0.01688378
16,7723.479000,-0.01956581
17,7723.480000,-0.02715633
18,7723.481000,-0.04041148
19,7723.482000,-0.02219215
20,7723.483000,-0.002141781
21,7723.484000,6.471574E-5
22,7723.485000,-0.02411302
23,7723.486000,-0.02662969
24,7723.487000,-0.01429778
25,7723.488000,-0.01863231
26,7723.489000,-0.03366727
27,7723.490000,0.001063213
28,7723.491000,-0.01193709
29,7723.492000,-0.02659505
30,7723.493000,-0.01135966
31,7723.494000,-0.01486887
32,7723.495000,-0.01568492
33,7723.496000,-0.01724544
34,7723.497000,-0.01988093
35,7723.498000,-0.01719587
36,7723.499000,-0.01314419
37,7723.500000,-0.006270878
38,7723.501000,0.003090061
39,7723.502000,-0.004716538
40,7723.503000,-0.03167928
41,7723.504000,-0.03085331
42,7723.505000,-0.004074819
43,7723.506000,-4.827455E-4
44,7723.507000,-0.01308803
45,7723.508000,-0.01480176
46,7723.509000,-0.01273033
47,7723.510000,-0.01218392
48,7723.511000,-0.009836592
49,7723.512000,-0.006199643
50,7723.513000,-0.001246274
51,7723.514000,-0.005080104
52,7723.515000,-0.01871654
53,7723.516000,-0.01817703
54,7723.517000,-0.004406705
55,7723.518000,-0.002274096
56,7723.519000,-0.008198947
57,7723.520000,-0.008453459
58,7723.521000,-0.006608613
59,7723.522000,-0.006409064
60,7723.523000,-0.00625629
61,7723.524000,-0.005748637
62,7723.525000,-0.005152412
63,7723.526000,-0.005703144
64,7723.527000,-0.007490486
65,7723.528000,-0.003789321
66,7723.529000,0.005680706
67,7723.530000,-0.01249861
68,7723.531000,-0.01037977
69,7723.532000,0.007207084
70,7723.533000,-0.006501265
71,7723.534000,-0.002895482
72,7723.535000,-0.002791159
73,7723.536000,-0.001994394
74,7723.537000,-4.509389E-4
75,7723.538000,-0.001929589
76,7723.539000,-0.006567173
77,7723.540000,0.004662819
78,7723.541000,-0.002455734
79,7723.542000,-6.972477E-4
80,7723.543000,-0.001438789
81,7723.544000,9.849221E-4
82,7723.545000,-3.108084E-4
83,7723.546000,3.041774E-4
84,7723.547000,5.500242E-4
85,7723.548000,0.001213469
86,7723.549000,0.00233908
87,7723.550000,0.001131415
88,7723.551000,0.001687475
89,7723.552000,0.001030229
90,7723.553000,1.088604E-4
91,7723.554000,0.001315378
92,7723.555000,0.004789654
93,7723.556000,0.004954461
94,7723.557000,0.002030842
95,7723.558000,0.001826473
96,7723.559000,0.003507897
97,7723.560000,0.003873311
98,7723.561000,0.003754728
99,7723.562000,0.004017159
100,7723.563000,0.004290178
101,7723.564000,0.004515633
102,7723.565000,0.00475578
103,7723.566000,0.004992735
104,7723.567000,0.005227268
105,7723.568000,0.00546173
106,7723.569000,0.005694605
107,7723.570000,0.005923454
108,7723.571000,0.006147873
109,7723.572000,0.006367333
