#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,2.556401
2,7723.465000,3.388217
3,7723.466000,4.54113
4,7723.467000,4.070073
5,7723.468000,5.200429
6,7723.469000,7.029182
7,7723.470000,5.016026
8,7723.471000,2.399937
9,7723.472000,3.101964
10,7723.473000,3.854914
11,7723.474000,4.117663
12,7723.475000,2.895899
13,7723.476000,2.931621
14,7723.477000,4.180223
15,7723.478000,4.48485
16,7723.479000,3.942916
17,7723.480000,5.010146
18,7723.481000,7.387313
19,7723.482000,5.502957
20,7723.483000,1.542364
21,7723.484000,-1.918112
22,7723.485000,3.80987
23,7723.486000,4.64488
24,7723.487000,4.916539
25,7723.488000,5.381715
26,7723.489000,5.034146
27,7723.490000,2.691191
28,7723.491000,3.733413
29,7723.492000,5.508876
30,7723.493000,4.726923
31,7723.494000,5.577581
32,7723.495000,6.118378
33,7723.496000,6.169432
34,7723.497000,5.644677
35,7723.498000,2.560417
36,7723.499000,3.613513
37,7723.500000,0.7578109
38,7723.501000,-1.750605
39,7723.502000,2.649614
40,7723.503000,4.868174
41,7723.504000,5.412143
42,7723.505000,2.844693
43,7723.506000,2.558654
44,7723.507000,4.013844
45,7723.508000,4.160398
46,7723.509000,3.824168
47,7723.510000,3.919365
48,7723.511000,4.130046
49,7723.512000,4.20055
50,7723.513000,4.219007
51,7723.514000,4.170169
52,7723.515000,4.01642
53,7723.516000,3.754029
54,7723.517000,3.36093
55,7723.518000,3.140563
56,7723.519000,3.108797
57,7723.520000,2.650712
58,7723.521000,2.372583
59,7723.522000,3.267161
60,7723.523000,3.931628
61,7723.524000,4.211971
62,7723.525000,3.683773
63,7723.526000,3.543341
64,7723.527000,3.866228
65,7723.528000,2.763564
66,7723.529000,0.4003368
67,7723.530000,4.157567
68,7723.531000,4.273271
69,7723.532000,2.798796
70,7723.533000,3.59198
71,7723.534000,2.713872
72,7723.535000,3.638188
73,7723.536000,3.800066
74,7723.537000,3.55065
75,7723.538000,3.647043
76,7723.539000,3.807189
77,7723.540000,2.479912
78,7723.541000,1.642648
79,7723.542000,3.52821
80,7723.543000,5.097619
81,7723.544000,4.697043
82,7723.545000,3.383547
83,7723.546000,2.876179
84,7723.547000,2.496875
85,7723.548000,2.522939
86,7723.549000,3.127415
87,7723.550000,3.354396
88,7723.551000,2.428741
89,7723.552000,2.259062
90,7723.553000,2.880022
91,7723.554000,3.174316
92,7723.555000,2.358347
93,7723.556000,1.925134
94,7723.557000,1.269371
95,7723.558000,1.973739
96,7723.559000,4.239017
97,7723.560000,3.346016
98,7723.561000,1.186321
99,7723.562000,2.537166
100,7723.563000,2.326564
101,7723.564000,2.48517
102,7723.565000,2.489901
103,7723.566000,2.511614
104,7723.567000,2.578254
105,7723.568000,2.625761
106,7723.569000,2.687383
107,7723.570000,2.83359
108,7723.571000,3.073897
109,7723.572000,3.205088
110,7723.573000,3.232985
111,7723.574000,3.207825
112,7723.575000,3.39966
113,7723.576000,3.368333
114,7723.577000,3.236928
115,7723.578000,3.017852
116,7723.579000,2.671435
117,7723.580000,1.591244
118,7723.581000,2.310748
119,7723.582000,2.042461
120,7723.583000,1.53291
121,7723.584000,2.441596
122,7723.585000,3.10069
123,7723.586000,2.264403
124,7723.587000,2.611453
125,7723.588000,2.956204
