#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,1.473666
2,7723.465000,1.495107
3,7723.466000,1.499411
4,7723.467000,1.490774
5,7723.468000,1.500207
6,7723.469000,1.523802
7,7723.470000,1.487738
8,7723.471000,1.51202
9,7723.472000,1.526763
10,7723.473000,1.52213
11,7723.474000,1.525988
12,7723.475000,1.521498
13,7723.476000,1.523993
14,7723.477000,1.532818
15,7723.478000,1.539701
16,7723.479000,1.538266
17,7723.480000,1.541899
18,7723.481000,1.545991
19,7723.482000,1.545843
20,7723.483000,1.541808
21,7723.484000,1.533433
22,7723.485000,1.551514
23,7723.486000,1.550214
24,7723.487000,1.543838
25,7723.488000,1.561312
26,7723.489000,1.560153
27,7723.490000,1.569086
28,7723.491000,1.575618
29,7723.492000,1.597528
30,7723.493000,1.593373
31,7723.494000,1.600928
32,7723.495000,1.567586
33,7723.496000,1.588797
34,7723.497000,1.557555
35,7723.498000,1.519681
36,7723.499000,1.568727
37,7723.500000,1.529658
38,7723.501000,1.522354
39,7723.502000,1.606163
40,7723.503000,1.658741
41,7723.504000,1.63391
42,7723.505000,1.566623
43,7723.506000,1.55284
44,7723.507000,1.583492
45,7723.508000,1.571427
46,7723.509000,1.564017
47,7723.510000,1.574755
48,7723.511000,1.607165
49,7723.512000,1.607134
50,7723.513000,1.577068
51,7723.514000,1.562044
52,7723.515000,1.553046
53,7723.516000,1.602317
54,7723.517000,1.57514
55,7723.518000,1.55521
56,7723.519000,1.573892
57,7723.520000,1.569291
58,7723.521000,1.570223
59,7723.522000,1.57673
60,7723.523000,1.589317
61,7723.524000,1.606024
62,7723.525000,1.628275
63,7723.526000,1.618485
64,7723.527000,1.573071
65,7723.528000,1.542097
66,7723.529000,1.518189
67,7723.530000,1.539976
68,7723.531000,1.550941
69,7723.532000,1.524581
70,7723.533000,1.614738
71,7723.534000,1.609461
72,7723.535000,1.597124
73,7723.536000,1.617499
74,7723.537000,1.609232
75,7723.538000,1.561829
76,7723.539000,1.582607
77,7723.540000,1.579636
78,7723.541000,1.596284
79,7723.542000,1.609283
80,7723.543000,1.605662
81,7723.544000,1.611841
82,7723.545000,1.618603
83,7723.546000,1.642702
84,7723.547000,1.664635
85,7723.548000,1.652243
86,7723.549000,1.682166
87,7723.550000,1.694459
88,7723.551000,1.671219
89,7723.552000,1.651703
90,7723.553000,1.616437
91,7723.554000,1.60835
92,7723.555000,1.630952
93,7723.556000,1.657466
94,7723.557000,1.698296
95,7723.558000,1.736479
96,7723.559000,1.735315
97,7723.560000,1.736
98,7723.561000,1.71756
99,7723.562000,1.714586
100,7723.563000,1.727458
101,7723.564000,1.735877
102,7723.565000,1.73711
103,7723.566000,1.747222
104,7723.567000,1.760627
105,7723.568000,1.764603
106,7723.569000,1.778573
107,7723.570000,1.791879
108,7723.571000,1.762549
109,7723.572000,1.774199
110,7723.573000,1.802428
111,7723.574000,1.812643
112,7723.575000,1.808911
113,7723.576000,1.815015
114,7723.577000,1.824888
115,7723.578000,1.833892
116,7723.579000,1.844951
117,7723.580000,1.854112
118,7723.581000,1.861055
119,7723.582000,1.868576
120,7723.583000,1.87993
121,7723.584000,1.889027
122,7723.585000,1.897867
123,7723.586000,1.90739
124,7723.587000,1.917276
125,7723.588000,1.9272
