#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,-0.6525515
2,7723.465000,-0.6623282
3,7723.466000,-0.6639609
4,7723.467000,-0.6547114
5,7723.468000,-0.6495656
6,7723.469000,-0.6447866
7,7723.470000,-0.6319835
8,7723.471000,-0.6258933
9,7723.472000,-0.6334801
10,7723.473000,-0.6193422
11,7723.474000,-0.6157836
12,7723.475000,-0.6085712
13,7723.476000,-0.6011626
14,7723.477000,-0.5932366
15,7723.478000,-0.5865657
16,7723.479000,-0.5814682
17,7723.480000,-0.5768009
18,7723.481000,-0.5731113
19,7723.482000,-0.559822
20,7723.483000,-0.5358497
21,7723.484000,-0.5263789
22,7723.485000,-0.5304396
23,7723.486000,-0.5245043
24,7723.487000,-0.5126194
25,7723.488000,-0.508009
26,7723.489000,-0.5076922
27,7723.490000,-0.5058842
28,7723.491000,-0.5041882
29,7723.492000,-0.5045731
30,7723.493000,-0.5063963
31,7723.494000,-0.4956936
32,7723.495000,-0.4712898
33,7723.496000,-0.4410346
34,7723.497000,-0.4011155
35,7723.498000,-0.3741246
36,7723.499000,-0.383291
37,7723.500000,-0.3699827
38,7723.501000,-0.3475804
39,7723.502000,-0.4466661
40,7723.503000,-0.4605765
41,7723.504000,-0.4255799
42,7723.505000,-0.3543857
43,7723.506000,-0.324426
44,7723.507000,-0.3515947
45,7723.508000,-0.3480729
46,7723.509000,-0.336208
47,7723.510000,-0.3307304
48,7723.511000,-0.3219795
49,7723.512000,-0.3144362
50,7723.513000,-0.3082146
51,7723.514000,-0.3019158
52,7723.515000,-0.2962734
53,7723.516000,-0.2908973
54,7723.517000,-0.2857777
55,7723.518000,-0.2754045
56,7723.519000,-0.2591295
57,7723.520000,-0.2396001
58,7723.521000,-0.2151723
59,7723.522000,-0.2005816
60,7723.523000,-0.1971231
61,7723.524000,-0.1962544
62,7723.525000,-0.2018963
63,7723.526000,-0.1993374
64,7723.527000,-0.1869612
65,7723.528000,-0.1740808
66,7723.529000,-0.1567853
67,7723.530000,-0.1486967
68,7723.531000,-0.1403086
69,7723.532000,-0.1337925
70,7723.533000,-0.1275952
71,7723.534000,-0.1204965
72,7723.535000,-0.1116556
73,7723.536000,-0.1036128
74,7723.537000,-0.09573317
75,7723.538000,-0.08803719
76,7723.539000,-0.08084049
77,7723.540000,-0.07361317
78,7723.541000,-0.06645512
79,7723.542000,-0.05931913
80,7723.543000,-0.05212201
81,7723.544000,-0.0449888
82,7723.545000,-0.03787544
83,7723.546000,-0.03083163
84,7723.547000,-0.0238691
85,7723.548000,-0.01691822
86,7723.549000,-0.009990133
87,7723.550000,-0.003297642
88,7723.551000,0.003149748
89,7723.552000,0.009446383
90,7723.553000,0.01553617
91,7723.554000,0.02155943
92,7723.555000,0.02752369
93,7723.556000,0.03331193
94,7723.557000,0.0389529
95,7723.558000,0.04489112
96,7723.559000,0.05115682
97,7723.560000,0.05755933
98,7723.561000,0.06422376
99,7723.562000,0.07086401
100,7723.563000,0.07746977
101,7723.564000,0.08429335
102,7723.565000,0.09128176
103,7723.566000,0.09815621
104,7723.567000,0.1049283
105,7723.568000,0.1116991
106,7723.569000,0.1184052
107,7723.570000,0.1252815
108,7723.571000,0.1323471
109,7723.572000,0.1394335
110,7723.573000,0.146598
