#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,-11.89247
2,7723.465000,-11.89313
3,7723.466000,-11.89361
4,7723.467000,-11.89391
5,7723.468000,-11.89365
6,7723.469000,-11.8929
7,7723.470000,-11.89348
8,7723.471000,-11.8955
9,7723.472000,-11.89816
10,7723.473000,-11.90193
11,7723.474000,-11.90581
12,7723.475000,-11.90975
13,7723.476000,-11.91341
14,7723.477000,-11.91646
15,7723.478000,-11.92343
16,7723.479000,-11.93451
17,7723.480000,-11.91798
18,7723.481000,-11.93226
19,7723.482000,-11.93057
20,7723.483000,-11.93251
21,7723.484000,-11.93377
22,7723.485000,-11.93464
23,7723.486000,-11.93602
24,7723.487000,-11.93788
25,7723.488000,-11.93997
26,7723.489000,-11.94251
27,7723.490000,-11.94467
28,7723.491000,-11.94642
29,7723.492000,-11.94809
30,7723.493000,-11.94947
31,7723.494000,-11.95443
32,7723.495000,-11.96337
33,7723.496000,-11.95546
34,7723.497000,-11.92988
35,7723.498000,-11.98695
36,7723.499000,-12.02175
37,7723.500000,-11.9108
38,7723.501000,-12.00108
39,7723.502000,-11.98273
40,7723.503000,-11.98224
41,7723.504000,-11.97575
42,7723.505000,-11.96192
43,7723.506000,-11.97206
44,7723.507000,-12.00776
45,7723.508000,-11.94958
46,7723.509000,-12.00743
47,7723.510000,-12.0027
48,7723.511000,-12.00328
49,7723.512000,-12.00188
50,7723.513000,-11.99597
51,7723.514000,-12.0012
52,7723.515000,-12.0188
53,7723.516000,-11.98867
54,7723.517000,-12.01163
55,7723.518000,-12.0116
56,7723.519000,-12.02143
57,7723.520000,-12.01187
58,7723.521000,-12.02759
59,7723.522000,-12.02878
60,7723.523000,-12.03011
61,7723.524000,-12.03092
62,7723.525000,-12.03041
63,7723.526000,-12.03128
64,7723.527000,-12.03385
65,7723.528000,-12.03905
66,7723.529000,-12.04382
67,7723.530000,-12.04087
68,7723.531000,-12.02797
69,7723.532000,-12.05012
70,7723.533000,-12.10851
71,7723.534000,-11.98529
72,7723.535000,-12.06361
73,7723.536000,-12.06501
74,7723.537000,-12.05243
75,7723.538000,-12.05759
76,7723.539000,-12.05911
77,7723.540000,-12.06059
78,7723.541000,-12.06201
79,7723.542000,-12.06344
80,7723.543000,-12.06491
81,7723.544000,-12.06667
82,7723.545000,-12.06876
83,7723.546000,-12.06822
84,7723.547000,-12.06484
85,7723.548000,-12.07214
86,7723.549000,-12.09055
87,7723.550000,-12.05336
88,7723.551000,-12.08336
89,7723.552000,-12.07976
90,7723.553000,-12.08352
91,7723.554000,-12.08347
92,7723.555000,-12.07917
93,7723.556000,-12.07156
94,7723.557000,-12.05924
95,7723.558000,-12.07306
96,7723.559000,-12.11564
97,7723.560000,-12.09561
98,7723.561000,-12.07972
99,7723.562000,-12.07296
100,7723.563000,-12.0884
101,7723.564000,-12.09067
102,7723.565000,-12.08805
103,7723.566000,-12.09005
104,7723.567000,-12.09305
105,7723.568000,-12.08874
106,7723.569000,-12.07727
107,7723.570000,-12.09508
108,7723.571000,-12.1435
109,7723.572000,-12.03853
110,7723.573000,-12.10892
111,7723.574000,-12.10045
112,7723.575000,-12.09876
113,7723.576000,-12.09567
114,7723.577000,-12.08296
115,7723.578000,-12.10964
116,7723.579000,-12.10876
