#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7723.464000,16.11788
2,7723.465000,16.16637
3,7723.466000,16.19158
4,7723.467000,16.21296
5,7723.468000,16.21429
6,7723.469000,16.18244
7,7723.470000,16.17455
8,7723.471000,16.18537
9,7723.472000,16.17289
10,7723.473000,16.14526
11,7723.474000,16.14249
12,7723.475000,16.16133
13,7723.476000,16.14744
14,7723.477000,16.18185
15,7723.478000,16.18775
16,7723.479000,16.18802
17,7723.480000,16.16952
18,7723.481000,16.16385
19,7723.482000,16.16245
20,7723.483000,16.17983
21,7723.484000,16.14616
22,7723.485000,16.17103
23,7723.486000,16.1652
24,7723.487000,16.16303
25,7723.488000,16.16176
26,7723.489000,16.16068
27,7723.490000,16.15945
28,7723.491000,16.15845
29,7723.492000,16.15726
30,7723.493000,16.15593
31,7723.494000,16.15528
32,7723.495000,16.15532
33,7723.496000,16.15071
34,7723.497000,16.14114
35,7723.498000,16.1536
36,7723.499000,16.18919
37,7723.500000,16.11212
38,7723.501000,16.13066
39,7723.502000,16.17744
40,7723.503000,16.14528
41,7723.504000,16.13572
42,7723.505000,16.14757
43,7723.506000,16.14355
44,7723.507000,16.14271
45,7723.508000,16.14188
46,7723.509000,16.14107
47,7723.510000,16.14017
48,7723.511000,16.13918
49,7723.512000,16.13805
50,7723.513000,16.13674
51,7723.514000,16.13637
52,7723.515000,16.13701
53,7723.516000,16.1331
54,7723.517000,16.1244
55,7723.518000,16.1386
56,7723.519000,16.13363
57,7723.520000,16.12239
58,7723.521000,16.13028
59,7723.522000,16.12649
60,7723.523000,16.12405
61,7723.524000,16.12352
62,7723.525000,16.12491
63,7723.526000,16.11635
64,7723.527000,16.14249
65,7723.528000,16.10574
66,7723.529000,16.09491
67,7723.530000,16.14485
68,7723.531000,16.11116
69,7723.532000,16.10003
70,7723.533000,16.15809
71,7723.534000,16.07057
72,7723.535000,16.12651
73,7723.536000,16.11167
74,7723.537000,16.11069
75,7723.538000,16.10984
76,7723.539000,16.10913
77,7723.540000,16.10771
78,7723.541000,16.10552
79,7723.542000,16.10651
80,7723.543000,16.11079
81,7723.544000,16.09835
82,7723.545000,16.10478
83,7723.546000,16.10289
84,7723.547000,16.10456
85,7723.548000,16.09812
86,7723.549000,16.10121
87,7723.550000,16.09946
88,7723.551000,16.09869
89,7723.552000,16.09795
90,7723.553000,16.09724
91,7723.554000,16.09654
92,7723.555000,16.09585
93,7723.556000,16.09514
94,7723.557000,16.09439
95,7723.558000,16.094
96,7723.559000,16.09398
97,7723.560000,16.09217
98,7723.561000,16.08847
99,7723.562000,16.09413
100,7723.563000,16.08899
101,7723.564000,16.08849
102,7723.565000,16.08587
103,7723.566000,16.088
104,7723.567000,16.09514
105,7723.568000,16.07906
106,7723.569000,16.07381
107,7723.570000,16.09799
108,7723.571000,16.07826
109,7723.572000,16.08166
110,7723.573000,16.08004
111,7723.574000,16.08039
112,7723.575000,16.08284
113,7723.576000,16.07412
114,7723.577000,16.07199
115,7723.578000,16.07751
116,7723.579000,16.09719
117,7723.580000,16.05066
118,7723.581000,16.08204
119,7723.582000,16.07342
120,7723.583000,16.07261
121,7723.584000,16.0718
122,7723.585000,16.07096
123,7723.586000,16.07015
124,7723.587000,16.06936
125,7723.588000,16.06872
