#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7723.4600,2498.438
2,7723.4800,2498.219
3,7723.5000,2498.767
4,7723.5200,2498.423
5,7723.5400,2498.61
6,7723.5600,2498.47
7,7723.5800,2498.907
8,7723.6000,2498.532
9,7723.6200,2498.657
10,7723.6400,2498.407
11,7723.6600,2498.47
12,7723.6800,2498.485
13,7723.7000,2498.219
14,7723.7200,2498.517
15,7723.7400,2498.032
16,7723.7600,2498.673
17,7723.7800,2498.47
18,7723.8000,2498.657
19,7723.8200,2498.376
20,7723.8400,2498.689
21,7723.8600,2498.235
22,7723.8800,2498.595
23,7723.9000,2498.344
24,7723.9200,2498.251
25,7723.9400,2498.438
26,7723.9600,2498.266
27,7723.9800,2497.985
28,7724.0000,2498.954
29,7724.0200,2498.814
30,7724.0400,2498.376
31,7724.0600,2498.266
32,7724.0800,2499.017
33,7724.1000,2498.141
34,7724.1200,2498.751
35,7724.1400,2498.579
36,7724.1600,2498.673
37,7724.1800,2498
38,7724.2000,2498.36
39,7724.2200,2498.282
40,7724.2400,2498
41,7724.2600,2498.298
42,7724.2800,2498.266
43,7724.3000,2498.407
44,7724.3200,2497.672
45,7724.3400,2498.344
46,7724.3600,2498.689
47,7724.3800,2497.86
48,7724.4000,2498.47
49,7724.4200,2498.188
50,7724.4400,2498.032
51,7724.4600,2498.188
52,7724.4800,2498.376
53,7724.5000,2497.954
54,7724.5200,2498.266
55,7724.5400,2498.423
56,7724.5600,2498.423
57,7724.5800,2498.266
58,7724.6000,2498.173
59,7724.6200,2498.36
60,7724.6400,2497.391
61,7724.6600,2498.548
62,7724.6800,2498.563
63,7724.7000,2498.204
64,7724.7200,2498.063
65,7724.7400,2497.75
66,7724.7600,2498.376
67,7724.7800,2498.344
68,7724.8000,2498.063
69,7724.8200,2498.923
70,7724.8400,2498.141
71,7724.8600,2498.673
72,7724.8800,2498.016
73,7724.9000,2498.344
74,7724.9200,2498.392
75,7724.9400,2498.204
76,7724.9600,2498.454
77,7724.9800,2498.173
78,7725.0000,2498.501
79,7725.0200,2498.736
80,7725.0400,2497.782
81,7725.0600,2498.876
82,7725.0800,2498.157
83,7725.1000,2498.579
84,7725.1200,2497.735
85,7725.1400,2498.782
86,7725.1600,2498.157
87,7725.1800,2498.079
88,7725.2000,2497.969
89,7725.2200,2498.438
90,7725.2400,2498.423
91,7725.2600,2498.094
92,7725.2800,2498.173
93,7725.3000,2498.266
94,7725.3200,2498.392
95,7725.3400,2498.063
96,7725.3600,2497.985
97,7725.3800,2497.547
98,7725.4000,2498.392
99,7725.4200,2498.657
100,7725.4400,2497.844
101,7725.4600,2498.251
102,7725.4800,2498.36
103,7725.5000,2498.61
104,7725.5200,2498.141
105,7725.5400,2497.954
106,7725.5600,2498.563
107,7725.5800,2498.219
108,7725.6000,2498.329
109,7725.6200,2498.079
110,7725.6400,2498.392
111,7725.6600,2498.532
112,7725.6800,2498.579
113,7725.7000,2497.359
114,7725.7200,2498.736
115,7725.7400,2498.548
116,7725.7600,2498.61
117,7725.7800,2498.063
118,7725.8000,2498.204
119,7725.8200,2498.626
120,7725.8400,2498.376
121,7725.8600,2498.517
122,7725.8800,2498.782
123,7725.9000,2498.704
124,7725.9200,2497.938
125,7725.9400,2497.813
126,7725.9600,2498.204
127,7725.9800,2497.86
128,7726.0000,2498.173
129,7726.0200,2497.891
130,7726.0400,2498.501
131,7726.0600,2498.329
132,7726.0800,2498.313
133,7726.1000,2498.047
134,7726.1200,2498.344
135,7726.1400,2498
136,7726.1600,2497.969
137,7726.1800,2498.219
138,7726.2000,2498.282
139,7726.2200,2498.344
140,7726.2400,2498.219
141,7726.2600,2498.376
142,7726.2800,2498.313
143,7726.3000,2498.298
144,7726.3200,2497.453
145,7726.3400,2498.532
146,7726.3600,2498.47
147,7726.3800,2497.875
148,7726.4000,2498.454
149,7726.4200,2498.298
150,7726.4400,2497.641
151,7726.4600,2499.189
152,7726.4800,2497.985
153,7726.5000,2498.501
154,7726.5200,2498.563
155,7726.5400,2498.298
156,7726.5600,2497.813
157,7726.5800,2498.454
158,7726.6000,2498.579
159,7726.6200,2498.329
160,7726.6400,2497.922
161,7726.6600,2498.282
162,7726.6800,2498.376
163,7726.7000,2498.157
164,7726.7200,2498.032
165,7726.7400,2498.751
166,7726.7600,2498.313
167,7726.7800,2498.313
168,7726.8000,2498.141
169,7726.8200,2497.844
170,7726.8400,2498.657
171,7726.8600,2498.642
172,7726.8800,2498.188
173,7726.9000,2498.642
174,7726.9200,2497.672
175,7726.9400,2498.407
176,7726.9600,2498.204
177,7726.9800,2498.141
178,7727.0000,2497.844
179,7727.0200,2498.298
180,7727.0400,2498.36
181,7727.0600,2498.266
182,7727.0800,2498.141
183,7727.1000,2498.344
184,7727.1200,2498.141
185,7727.1400,2498.173
186,7727.1600,2498.157
187,7727.1800,2497.641
188,7727.2000,2498.517
189,7727.2200,2498.251
190,7727.2400,2498.173
191,7727.2600,2498.563
192,7727.2800,2498.188
193,7727.3000,2498.438
194,7727.3200,2498.047
195,7727.3400,2498.392
196,7727.3600,2497.86
197,7727.3800,2498.204
198,7727.4000,2498.376
199,7727.4200,2497.766
200,7727.4400,2498.485
201,7727.4600,2497.625
202,7727.4800,2497.688
203,7727.5000,2498.376
204,7727.5200,2498.157
205,7727.5400,2497.985
206,7727.5600,2498.438
207,7727.5800,2497.563
208,7727.6000,2498.47
209,7727.6200,2497.703
210,7727.6400,2498.47
211,7727.6600,2498.798
212,7727.6800,2498.329
213,7727.7000,2498.11
214,7727.7200,2498.438
215,7727.7400,2497.938
216,7727.7600,2498.219
217,7727.7800,2497.391
218,7727.8000,2498
219,7727.8200,2498.329
220,7727.8400,2498.329
221,7727.8600,2498.063
222,7727.8800,2498.235
223,7727.9000,2498.36
224,7727.9200,2498.219
225,7727.9400,2497.969
226,7727.9600,2498.188
227,7727.9800,2498.423
228,7728.0000,2498.329
229,7728.0200,2498.079
230,7728.0400,2497.375
231,7728.0600,2498.329
232,7728.0800,2498.329
233,7728.1000,2497.954
234,7728.1200,2498.047
235,7728.1400,2498.517
236,7728.1600,2498.767
237,7728.1800,2498.751
238,7728.2000,2498.329
239,7728.2200,2499.205
240,7728.2400,2498.173
241,7728.2600,2498.173
242,7728.2800,2498.11
243,7728.3000,2498.954
244,7728.3200,2498.157
245,7728.3400,2498.845
246,7728.3600,2498.173
247,7728.3800,2498.47
248,7728.4000,2498.251
249,7728.4200,2498.642
250,7728.4400,2498.188
251,7728.4600,2497.782
252,7728.4800,2498.548
253,7728.5000,2497.985
254,7728.5200,2497.563
255,7728.5400,2498.329
256,7728.5600,2498.392
257,7728.5800,2498.251
258,7728.6000,2497.891
259,7728.6200,2498.298
260,7728.6400,2498.595
261,7728.6600,2498.72
262,7728.6800,2498.798
263,7728.7000,2498.548
264,7728.7200,2498.704
265,7728.7400,2497.672
266,7728.7600,2498.157
267,7728.7800,2498.141
268,7728.8000,2498.251
269,7728.8200,2498.751
270,7728.8400,2498.157
271,7728.8600,2498.485
272,7728.8800,2498.751
273,7728.9000,2498.141
274,7728.9200,2498.767
275,7728.9400,2498.329
276,7728.9600,2498.079
277,7728.9800,2498.72
278,7729.0000,2498.673
279,7729.0200,2498.392
280,7729.0400,2498.814
281,7729.0600,2498.626
