#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7723.4600,0.4033701
2,7723.4800,0.5393903
3,7723.5000,0.6801008
4,7723.5200,0.830192
5,7723.5400,0.9709026
6,7723.5600,1.097542
7,7723.5800,1.20542
8,7723.6000,1.308608
9,7723.6200,1.407105
10,7723.6400,1.491531
11,7723.6600,1.575958
12,7723.6800,1.599409
13,7723.7000,1.688526
14,7723.7200,1.726049
15,7723.7400,1.787024
16,7723.7600,1.87614
17,7723.7800,1.960567
18,7723.8000,2.01216
19,7723.8200,2.044993
20,7723.8400,2.124729
21,7723.8600,2.120039
22,7723.8800,2.120039
23,7723.9000,2.134109
24,7723.9200,2.190394
25,7723.9400,2.27013
26,7723.9600,2.345175
27,7723.9800,2.41553
28,7724.0000,2.481195
29,7724.0200,2.560931
30,7724.0400,2.575002
31,7724.0600,2.621906
32,7724.0800,2.706332
33,7724.1000,2.776687
34,7724.1200,2.861114
35,7724.1400,2.926779
36,7724.1600,3.001824
37,7724.1800,3.001824
38,7724.2000,3.034657
39,7724.2200,3.07218
40,7724.2400,3.100322
41,7724.2600,3.137845
42,7724.2800,3.203509
43,7724.3000,3.283245
44,7724.3200,3.367672
45,7724.3400,3.395814
46,7724.3600,3.433336
47,7724.3800,3.438027
48,7724.4000,3.438027
49,7724.4200,3.438027
50,7724.4400,3.438027
51,7724.4600,3.438027
52,7724.4800,3.438027
53,7724.5000,3.438027
54,7724.5200,3.508382
55,7724.5400,3.569357
56,7724.5600,3.658473
57,7724.5800,3.775732
58,7724.6000,3.87892
59,7724.6200,3.916443
60,7724.6400,3.944585
61,7724.6600,3.949275
62,7724.6800,4.01963
63,7724.7000,4.094676
64,7724.7200,4.174412
65,7724.7400,4.216625
66,7724.7600,4.202554
67,7724.7800,4.169722
68,7724.8000,4.169722
69,7724.8200,4.207244
70,7724.8400,4.268219
71,7724.8600,4.338574
72,7724.8800,4.451143
73,7724.9000,4.455833
74,7724.9200,4.540259
75,7724.9400,4.601234
76,7724.9600,4.601234
77,7724.9800,4.67628
78,7725.0000,4.751325
79,7725.0200,4.826371
80,7725.0400,4.81699
81,7725.0600,4.906106
82,7725.0800,5.056198
83,7725.1000,5.210979
84,7725.1200,5.328238
85,7725.1400,5.332929
86,7725.1600,5.417355
87,7725.1800,5.473639
88,7725.2000,5.492401
89,7725.2200,5.558065
90,7725.2400,5.553375
91,7725.2600,5.637801
92,7725.2800,5.637801
93,7725.3000,5.553375
94,7725.3200,5.558065
95,7725.3400,5.62373
96,7725.3600,5.778512
97,7725.3800,5.961435
98,7725.4000,6.116217
99,7725.4200,6.224095
100,7725.4400,6.219405
101,7725.4600,6.219405
102,7725.4800,6.224095
103,7725.5000,6.317902
104,7725.5200,6.42578
105,7725.5400,6.505516
106,7725.5600,6.42578
107,7725.5800,6.55242
108,7725.6000,6.646227
109,7725.6200,6.702511
110,7725.6400,6.805698
111,7725.6600,6.805698
112,7725.6800,6.805698
113,7725.7000,6.805698
114,7725.7200,6.805698
115,7725.7400,6.885435
116,7725.7600,6.880744
117,7725.7800,6.918267
118,7725.8000,7.002693
119,7725.8200,7.110571
120,7725.8400,7.232521
121,7725.8600,7.321637
122,7725.8800,7.391993
123,7725.9000,7.387302
124,7725.9200,7.387302
125,7725.9400,7.387302
126,7725.9600,7.49518
127,7725.9800,7.617129
128,7726.0000,7.687484
129,7726.0200,7.696865
130,7726.0400,7.795362
131,7726.0600,7.884479
132,7726.0800,7.978286
133,7726.1000,8.034571
134,7726.1200,8.118997
135,7726.1400,8.123687
136,7726.1600,8.123687
137,7726.1800,8.15652
138,7726.2000,8.273778
139,7726.2200,8.358205
140,7726.2400,8.419179
141,7726.2600,8.498915
142,7726.2800,8.588032
143,7726.3000,8.658387
144,7726.3200,8.709981
145,7726.3400,8.705291
146,7726.3600,8.780336
147,7726.3800,8.855382
148,7726.4000,8.939808
149,7726.4200,9.066447
150,7726.4400,9.211848
151,7726.4600,9.291584
152,7726.4800,9.361939
153,7726.5000,9.436985
154,7726.5200,9.512031
155,7726.5400,9.587076
156,7726.5600,9.512031
157,7726.5800,9.394772
158,7726.6000,9.272823
159,7726.6200,9.216538
160,7726.6400,9.216538
161,7726.6600,9.211848
162,7726.6800,9.296275
163,7726.7000,9.404153
164,7726.7200,9.601148
165,7726.7400,9.793452
166,7726.7600,9.873188
167,7726.7800,9.90602
168,7726.8000,9.943543
169,7726.8200,9.943543
170,7726.8400,9.873188
171,7726.8600,9.802833
172,7726.8800,9.89195
173,7726.9000,9.999827
174,7726.9200,10.01859
175,7726.9400,10.02328
176,7726.9600,10.01859
177,7726.9800,10.01859
178,7727.0000,10.17806
179,7727.0200,10.37506
180,7727.0400,10.50638
181,7727.0600,10.65179
182,7727.0800,10.80188
183,7727.1000,10.87692
184,7727.1200,10.95197
185,7727.1400,11.00356
186,7727.1600,10.96604
187,7727.1800,10.97073
188,7727.2000,11.05047
189,7727.2200,10.96135
190,7727.2400,10.97073
191,7727.2600,11.0364
192,7727.2800,11.04578
193,7727.3000,11.09268
194,7727.3200,11.12551
195,7727.3400,11.18649
196,7727.3600,11.26622
197,7727.3800,11.26153
198,7727.4000,11.37879
199,7727.4200,11.52419
200,7727.4400,11.65083
201,7727.4600,11.79623
202,7727.4800,11.9088
203,7727.5000,12.03075
