#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,0.3868682
2,7757.840000,-0.1152591
3,7757.841000,-0.5864835
4,7757.842000,0.02450097
5,7757.843000,-0.08053809
6,7757.844000,0.321547
7,7757.845000,1.662045
8,7757.846000,1.161518
9,7757.847000,0.9161344
10,7757.848000,0.8296289
11,7757.849000,0.37828
12,7757.850000,0.1038232
13,7757.851000,0.1075586
14,7757.852000,0.09003991
15,7757.853000,0.5665132
16,7757.854000,0.5454729
17,7757.855000,0.393663
18,7757.856000,0.3313246
19,7757.857000,0.4756405
20,7757.858000,0.4563778
21,7757.859000,-0.2947868
22,7757.860000,-0.3316183
23,7757.861000,-0.5879824
24,7757.862000,-0.774655
25,7757.863000,-0.5408376
26,7757.864000,-0.3776796
27,7757.865000,-0.3741043
28,7757.866000,-0.5691979
29,7757.867000,-0.5282241
30,7757.868000,-0.4277707
31,7757.869000,-0.3259003
32,7757.870000,-0.09402937
33,7757.871000,-0.0704003
34,7757.872000,-0.7014662
35,7757.873000,-0.6609907
36,7757.874000,-0.7121094
37,7757.875000,-0.9080135
38,7757.876000,-0.9645978
39,7757.877000,-0.9198831
40,7757.878000,-0.9080155
41,7757.879000,-0.887175
42,7757.880000,-1.00427
43,7757.881000,-1.09905
44,7757.882000,-1.285418
45,7757.883000,-1.591102
46,7757.884000,-1.696472
47,7757.885000,-1.609048
48,7757.886000,-1.509519
49,7757.887000,-1.228966
50,7757.888000,-1.269444
51,7757.889000,-1.505219
52,7757.890000,-1.640512
53,7757.891000,-1.699734
54,7757.892000,-1.722745
55,7757.893000,-1.476706
56,7757.894000,-1.406739
57,7757.895000,-1.395324
58,7757.896000,-1.103597
59,7757.897000,-1.323433
60,7757.898000,-1.035729
61,7757.899000,-0.9793854
62,7757.900000,-1.438624
63,7757.901000,-1.380109
64,7757.902000,-1.55729
65,7757.903000,-1.521276
66,7757.904000,-1.300053
67,7757.905000,-1.146105
68,7757.906000,-0.8738711
69,7757.907000,-0.8134575
70,7757.908000,-0.7743429
71,7757.909000,-0.8994253
72,7757.910000,-1.222276
73,7757.911000,-1.52312
74,7757.912000,-1.47877
75,7757.913000,-1.232864
76,7757.914000,-1.027792
77,7757.915000,-0.6843749
78,7757.916000,-0.5869356
79,7757.917000,-0.6180208
80,7757.918000,-0.9065088
81,7757.919000,-1.210958
82,7757.920000,-1.466542
83,7757.921000,-1.290458
84,7757.922000,-0.8058813
85,7757.923000,-0.8402641
86,7757.924000,-0.7205986
87,7757.925000,-0.8087038
88,7757.926000,-1.12799
89,7757.927000,-0.94673
90,7757.928000,-0.8528819
91,7757.929000,-0.8728349
92,7757.930000,-1.119156
93,7757.931000,-1.300122
94,7757.932000,-1.147605
95,7757.933000,-0.9366915
96,7757.934000,-0.9168365
97,7757.935000,-0.7045485
98,7757.936000,-0.4736328
99,7757.937000,-0.0764755
100,7757.938000,0.1289257
101,7757.939000,0.2535349
102,7757.940000,-0.02281094
103,7757.941000,-0.6419039
104,7757.942000,-1.181961
105,7757.943000,-1.660405
106,7757.944000,-1.762269
107,7757.945000,-1.007636
108,7757.946000,-0.3808069
109,7757.947000,-0.4267274
110,7757.948000,-0.377121
111,7757.949000,-0.7627732
112,7757.950000,-1.21021
113,7757.951000,-1.116162
