#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,3.604465
2,7757.840000,4.003493
3,7757.841000,3.26604
4,7757.842000,1.879239
5,7757.843000,1.424355
6,7757.844000,0.08661079
7,7757.845000,-1.327727
8,7757.846000,-2.50982
9,7757.847000,-1.689619
10,7757.848000,-0.05179214
11,7757.849000,2.296502
12,7757.850000,2.908964
13,7757.851000,2.388852
14,7757.852000,1.556831
15,7757.853000,0.6802244
16,7757.854000,1.647146
17,7757.855000,1.631239
18,7757.856000,1.568218
19,7757.857000,0.2809296
20,7757.858000,-1.034341
21,7757.859000,-0.9678192
22,7757.860000,-0.08826351
23,7757.861000,1.107749
24,7757.862000,1.718642
25,7757.863000,1.273643
26,7757.864000,0.4055748
27,7757.865000,-0.2386045
28,7757.866000,0.3465128
29,7757.867000,0.5457277
30,7757.868000,0.1019917
31,7757.869000,0.4072847
32,7757.870000,0.2075148
33,7757.871000,0.442502
34,7757.872000,0.6331339
35,7757.873000,0.7830868
36,7757.874000,0.5028772
37,7757.875000,-0.02608681
38,7757.876000,-0.1799145
39,7757.877000,-0.08423138
40,7757.878000,0.5698986
41,7757.879000,0.4307308
42,7757.880000,-0.5966835
43,7757.881000,0.07752228
44,7757.882000,0.4681768
45,7757.883000,1.181817
46,7757.884000,1.259535
47,7757.885000,1.330729
48,7757.886000,1.22895
49,7757.887000,1.054824
50,7757.888000,0.9291983
51,7757.889000,0.9040756
52,7757.890000,0.8201485
53,7757.891000,0.7293224
54,7757.892000,0.5829763
55,7757.893000,0.3634434
56,7757.894000,0.8888111
57,7757.895000,0.6049976
58,7757.896000,0.3431625
59,7757.897000,0.3661594
60,7757.898000,0.6264791
61,7757.899000,0.5377941
62,7757.900000,0.5226898
63,7757.901000,0.7199717
64,7757.902000,0.7703304
65,7757.903000,0.807601
66,7757.904000,0.847044
67,7757.905000,0.8720531
68,7757.906000,0.9113512
69,7757.907000,0.9686966
70,7757.908000,1.018391
71,7757.909000,1.067316
72,7757.910000,1.045097
73,7757.911000,0.9415073
74,7757.912000,0.894393
75,7757.913000,0.8926687
76,7757.914000,0.1891794
77,7757.915000,-0.2173347
78,7757.916000,-0.4735765
79,7757.917000,-0.2352467
80,7757.918000,-0.03355217
81,7757.919000,0.2778397
82,7757.920000,0.8547535
83,7757.921000,1.663409
84,7757.922000,1.964204
85,7757.923000,1.712344
86,7757.924000,0.8956289
87,7757.925000,0.1067886
88,7757.926000,-0.3602877
89,7757.927000,-0.1428471
90,7757.928000,0.5728788
91,7757.929000,0.6745749
92,7757.930000,0.597517
93,7757.931000,0.4882622
94,7757.932000,0.6058683
95,7757.933000,0.7522001
96,7757.934000,0.1677599
97,7757.935000,0.5802717
98,7757.936000,0.4974833
99,7757.937000,0.5289459
100,7757.938000,0.5455112
101,7757.939000,0.542078
102,7757.940000,0.7736187
103,7757.941000,0.8217354
104,7757.942000,0.7442331
105,7757.943000,0.5319815
106,7757.944000,0.4197674
107,7757.945000,0.5345783
108,7757.946000,0.6854877
109,7757.947000,0.5530348
110,7757.948000,0.5491333
111,7757.949000,0.7084112
112,7757.950000,0.7623835
113,7757.951000,0.8041668
114,7757.952000,0.7167768
115,7757.953000,0.4673738
116,7757.954000,0.9459782
117,7757.955000,0.6640139
