#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,1.779678
2,7757.840000,1.799782
3,7757.841000,1.470787
4,7757.842000,2.740097
5,7757.843000,2.182533
6,7757.844000,0.3521271
7,7757.845000,0.05919647
8,7757.846000,-0.7175064
9,7757.847000,-3.905006
10,7757.848000,-4.361595
11,7757.849000,-3.094963
12,7757.850000,-2.867294
13,7757.851000,-3.183075
14,7757.852000,-2.319115
15,7757.853000,-0.6362
16,7757.854000,0.1552505
17,7757.855000,0.1794968
18,7757.856000,0.1586609
19,7757.857000,-0.2602386
20,7757.858000,-0.1830521
21,7757.859000,0.4877472
22,7757.860000,1.061211
23,7757.861000,1.755646
24,7757.862000,2.097046
25,7757.863000,1.972
26,7757.864000,1.773888
27,7757.865000,1.354141
28,7757.866000,0.6821213
29,7757.867000,-0.2251968
30,7757.868000,-1.1548
31,7757.869000,-2.088524
32,7757.870000,-2.243515
33,7757.871000,-1.90918
34,7757.872000,-1.116142
35,7757.873000,0.9334412
36,7757.874000,0.640007
37,7757.875000,-1.032272
38,7757.876000,-1.405739
39,7757.877000,-4.686333
40,7757.878000,-5.743362
41,7757.879000,-5.651787
42,7757.880000,-4.231346
43,7757.881000,-0.8294373
44,7757.882000,-4.194809
45,7757.883000,-1.072945
46,7757.884000,-0.7863541
47,7757.885000,0.837677
48,7757.886000,0.1745377
49,7757.887000,2.59359
50,7757.888000,2.645523
51,7757.889000,2.003822
52,7757.890000,-1.615448
53,7757.891000,2.173958
54,7757.892000,0.631546
55,7757.893000,-2.191498
56,7757.894000,0.693512
57,7757.895000,-4.80941
58,7757.896000,-4.32798
59,7757.897000,-2.270828
60,7757.898000,1.41935
61,7757.899000,-1.606873
62,7757.900000,-2.601883
63,7757.901000,-1.441925
64,7757.902000,-1.070824
65,7757.903000,0.9582672
66,7757.904000,1.23629
67,7757.905000,-0.01356506
68,7757.906000,0.3360062
69,7757.907000,1.160835
70,7757.908000,1.047577
71,7757.909000,0.09777832
72,7757.910000,2.283669
73,7757.911000,4.819359
74,7757.912000,2.786255
75,7757.913000,4.482368
76,7757.914000,2.544525
77,7757.915000,1.447289
78,7757.916000,-0.6152344
79,7757.917000,1.867409
80,7757.918000,3.377602
81,7757.919000,1.870094
82,7757.920000,0.1257553
83,7757.921000,1.46785
84,7757.922000,1.256119
85,7757.923000,1.592224
86,7757.924000,-2.075203
87,7757.925000,-3.854622
88,7757.926000,-6.192734
89,7757.927000,-1.433342
90,7757.928000,4.631126
91,7757.929000,5.124329
92,7757.930000,3.521118
93,7757.931000,-5.022217
94,7757.932000,-4.37635
95,7757.933000,5.013329
96,7757.934000,-2.403549
97,7757.935000,0.03397369
98,7757.936000,-0.7725067
99,7757.937000,1.845581
100,7757.938000,0.1109467
101,7757.939000,0.1509247
102,7757.940000,0.9930954
103,7757.941000,3.468781
104,7757.942000,3.154434
105,7757.943000,0.0774231
106,7757.944000,-5.111259
107,7757.945000,1.236328
108,7757.946000,4.037521
109,7757.947000,-2.015846
110,7757.948000,-6.441658
111,7757.949000,-6.656296
112,7757.950000,-10.29817
113,7757.951000,-7.911804
114,7757.952000,-5.262672
115,7757.953000,-8.696609
116,7757.954000,-6.188385
117,7757.955000,-1.297668
118,7757.956000,1.076927
119,7757.957000,1.488602
