#HEADER
#TITLES
 , ,4-DHQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,0.2387753
2,7757.840000,0.1683674
3,7757.841000,0.03727341
4,7757.842000,0.08362961
5,7757.843000,0.2905293
6,7757.844000,0.3731651
7,7757.845000,0.3628931
8,7757.846000,1.181031
9,7757.847000,0.9131374
10,7757.848000,0.3319702
11,7757.849000,0.5009975
12,7757.850000,0.1351662
13,7757.851000,-0.1624584
14,7757.852000,-0.3217812
15,7757.853000,-0.6049194
16,7757.854000,-0.5967712
17,7757.855000,-0.09350967
18,7757.856000,0.2618752
19,7757.857000,0.6235247
20,7757.858000,1.061869
21,7757.859000,1.500773
22,7757.860000,1.868966
23,7757.861000,1.944691
24,7757.862000,2.043818
25,7757.863000,2.049075
26,7757.864000,0.4554052
27,7757.865000,-0.2152119
28,7757.866000,-0.5816021
29,7757.867000,-0.9516792
30,7757.868000,-0.07754135
31,7757.869000,0.1315823
32,7757.870000,0.5212851
33,7757.871000,0.4259577
34,7757.872000,0.5823498
35,7757.873000,0.9864893
36,7757.874000,0.8349876
37,7757.875000,0.2193909
38,7757.876000,-0.5753555
39,7757.877000,-1.693403
40,7757.878000,-1.943232
41,7757.879000,-1.993874
42,7757.880000,-1.319221
43,7757.881000,0.08127403
44,7757.882000,-0.4631443
45,7757.883000,0.5109339
46,7757.884000,0.6053629
47,7757.885000,0.7983103
48,7757.886000,-0.03912926
49,7757.887000,-0.4487648
50,7757.888000,-1.131216
51,7757.889000,-1.599623
52,7757.890000,-1.46739
53,7757.891000,-0.5466022
54,7757.892000,-0.3080406
55,7757.893000,-0.0286026
56,7757.894000,0.4844646
57,7757.895000,0.02290535
58,7757.896000,0.7723846
59,7757.897000,-0.6184387
60,7757.898000,-0.1865253
61,7757.899000,-0.6517601
62,7757.900000,-1.377695
63,7757.901000,-1.226124
64,7757.902000,-0.8622112
65,7757.903000,0.3482485
66,7757.904000,0.9352837
67,7757.905000,1.125046
68,7757.906000,1.680831
69,7757.907000,1.729249
70,7757.908000,1.439857
71,7757.909000,0.556612
72,7757.910000,0.3328905
73,7757.911000,0.2525272
74,7757.912000,-0.04513741
75,7757.913000,0.9787531
76,7757.914000,1.233843
77,7757.915000,1.257189
78,7757.916000,1.028216
79,7757.917000,1.307761
80,7757.918000,1.568563
81,7757.919000,1.228711
82,7757.920000,0.573451
83,7757.921000,0.801425
84,7757.922000,0.280035
85,7757.923000,-0.4223576
86,7757.924000,-1.499733
87,7757.925000,-1.798586
88,7757.926000,-2.39846
89,7757.927000,-0.1587906
90,7757.928000,1.807555
91,7757.929000,1.899766
92,7757.930000,1.609119
93,7757.931000,-0.5540047
94,7757.932000,-0.7426662
95,7757.933000,0.5988264
96,7757.934000,-0.9974003
97,7757.935000,-0.3709965
98,7757.936000,-0.5284252
99,7757.937000,0.364625
100,7757.938000,0.3513498
101,7757.939000,0.7309599
102,7757.940000,0.9225445
103,7757.941000,1.143046
104,7757.942000,1.221805
105,7757.943000,0.9961348
106,7757.944000,-0.3819084
107,7757.945000,0.8288698
108,7757.946000,0.9721975
109,7757.947000,-0.3007641
110,7757.948000,-0.9042263
111,7757.949000,-0.8882313
112,7757.950000,-1.728853
113,7757.951000,-0.4900627
114,7757.952000,0.4161081
115,7757.953000,-0.05927658
