#HEADER
#TITLES
 , ,Dfuchen1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,6.16068
2,7757.840000,6.154634
3,7757.841000,5.497875
4,7757.842000,6.342236
5,7757.843000,6.447798
6,7757.844000,6.367226
7,7757.845000,7.075636
8,7757.846000,7.152388
9,7757.847000,6.679019
10,7757.848000,6.707168
11,7757.849000,6.693592
12,7757.850000,6.483811
13,7757.851000,6.61935
14,7757.852000,6.634717
15,7757.853000,6.362185
16,7757.854000,6.425742
17,7757.855000,6.198328
18,7757.856000,6.096722
19,7757.857000,6.565587
20,7757.858000,6.064306
21,7757.859000,6.148542
22,7757.860000,6.237112
23,7757.861000,5.558278
24,7757.862000,5.29519
25,7757.863000,5.327425
26,7757.864000,5.61572
27,7757.865000,5.311595
28,7757.866000,5.69076
29,7757.867000,5.991511
30,7757.868000,5.725428
31,7757.869000,5.938328
32,7757.870000,5.762572
33,7757.871000,5.976591
34,7757.872000,5.941054
35,7757.873000,5.789038
36,7757.874000,5.852889
37,7757.875000,5.77742
38,7757.876000,5.967819
39,7757.877000,6.063505
40,7757.878000,6.294169
41,7757.879000,6.575215
42,7757.880000,6.524991
43,7757.881000,6.294787
44,7757.882000,6.069863
45,7757.883000,5.912622
46,7757.884000,5.802302
47,7757.885000,5.831324
48,7757.886000,5.981663
49,7757.887000,6.143182
50,7757.888000,6.377989
51,7757.889000,6.063108
52,7757.890000,6.005591
53,7757.891000,5.902496
54,7757.892000,6.010055
55,7757.893000,6.1698
56,7757.894000,6.280303
57,7757.895000,6.460118
58,7757.896000,6.384425
59,7757.897000,6.614563
60,7757.898000,6.415303
61,7757.899000,6.309962
62,7757.900000,6.395945
63,7757.901000,6.038192
64,7757.902000,6.058265
65,7757.903000,6.11508
66,7757.904000,6.092198
67,7757.905000,6.153721
68,7757.906000,6.237454
69,7757.907000,6.266729
70,7757.908000,6.129972
71,7757.909000,5.890448
72,7757.910000,5.428428
73,7757.911000,5.26222
74,7757.912000,5.100001
75,7757.913000,5.46289
76,7757.914000,5.932111
77,7757.915000,6.259652
78,7757.916000,6.661248
79,7757.917000,6.770281
80,7757.918000,6.268765
81,7757.919000,5.7772
82,7757.920000,5.003642
83,7757.921000,4.46157
84,7757.922000,4.708815
85,7757.923000,4.979828
86,7757.924000,5.544317
87,7757.925000,6.059953
88,7757.926000,6.537713
89,7757.927000,6.329573
90,7757.928000,5.599116
91,7757.929000,5.168337
92,7757.930000,5.015002
93,7757.931000,5.171985
94,7757.932000,5.489754
95,7757.933000,5.370733
96,7757.934000,5.616403
97,7757.935000,5.451881
98,7757.936000,5.255254
99,7757.937000,5.045311
100,7757.938000,4.942379
101,7757.939000,4.795739
102,7757.940000,4.980947
103,7757.941000,5.60693
104,7757.942000,5.717712
105,7757.943000,6.054771
106,7757.944000,6.34484
107,7757.945000,5.99581
108,7757.946000,5.478742
109,7757.947000,5.266782
110,7757.948000,5.122158
111,7757.949000,5.135522
112,7757.950000,5.508204
113,7757.951000,5.590706
114,7757.952000,5.648775
115,7757.953000,5.888854
116,7757.954000,5.95689
117,7757.955000,5.969625
118,7757.956000,5.956133
119,7757.957000,6.096854
120,7757.958000,6.016788
121,7757.959000,5.737712
122,7757.960000,5.522986
123,7757.961000,5.077412
124,7757.962000,5.45904
125,7757.963000,6.048814
