#HEADER
#TITLES
 , ,2XH1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,-0.8113551
2,7757.840000,-0.7981905
3,7757.841000,-0.7710973
4,7757.842000,-0.81664
5,7757.843000,-0.9423214
6,7757.844000,-0.9658867
7,7757.845000,-0.9614628
8,7757.846000,-1.007597
9,7757.847000,-1.038935
10,7757.848000,-1.047519
11,7757.849000,-1.020694
12,7757.850000,-1.036686
13,7757.851000,-1.022421
14,7757.852000,-1.014569
15,7757.853000,-0.9966111
16,7757.854000,-1.018364
17,7757.855000,-1.082435
18,7757.856000,-1.162526
19,7757.857000,-1.270642
20,7757.858000,-1.180425
21,7757.859000,-1.199463
22,7757.860000,-1.203574
23,7757.861000,-1.125736
24,7757.862000,-1.10067
25,7757.863000,-1.083284
26,7757.864000,-1.063394
27,7757.865000,-1.049018
28,7757.866000,-1.032784
29,7757.867000,-1.013596
30,7757.868000,-0.9752998
31,7757.869000,-0.9673566
32,7757.870000,-0.949037
33,7757.871000,-0.9397736
34,7757.872000,-0.9225891
35,7757.873000,-0.89766
36,7757.874000,-0.9329143
37,7757.875000,-0.9051387
38,7757.876000,-0.935353
39,7757.877000,-0.9848183
40,7757.878000,-0.9329309
41,7757.879000,-0.9717127
42,7757.880000,-0.9559091
43,7757.881000,-0.9444573
44,7757.882000,-0.9284594
45,7757.883000,-0.9086516
46,7757.884000,-0.9230814
47,7757.885000,-0.8846657
48,7757.886000,-0.9013675
49,7757.887000,-0.8859577
50,7757.888000,-0.902198
51,7757.889000,-0.933237
52,7757.890000,-0.9210536
53,7757.891000,-0.863978
54,7757.892000,-1.028267
55,7757.893000,-0.9574309
56,7757.894000,-0.9649563
57,7757.895000,-1.031882
58,7757.896000,-0.9557694
59,7757.897000,-0.9977755
60,7757.898000,-0.9973831
61,7757.899000,-1.029318
62,7757.900000,-1.002234
63,7757.901000,-1.01316
64,7757.902000,-1.005879
65,7757.903000,-1.007724
66,7757.904000,-1.041194
67,7757.905000,-1.034983
68,7757.906000,-1.043841
69,7757.907000,-1.040296
70,7757.908000,-1.064021
71,7757.909000,-1.115525
72,7757.910000,-1.028672
73,7757.911000,-1.077362
74,7757.912000,-1.097118
75,7757.913000,-1.079852
76,7757.914000,-1.064712
77,7757.915000,-1.017551
78,7757.916000,-1.063866
79,7757.917000,-1.001293
80,7757.918000,-0.9936478
81,7757.919000,-1.059667
82,7757.920000,-1.063985
83,7757.921000,-1.039986
84,7757.922000,-1.032292
85,7757.923000,-1.027446
86,7757.924000,-1.067017
87,7757.925000,-0.9910387
88,7757.926000,-1.006307
89,7757.927000,-0.8995109
90,7757.928000,-0.87933
91,7757.929000,-0.8962703
92,7757.930000,-0.9372689
93,7757.931000,-1.02153
94,7757.932000,-0.8837129
95,7757.933000,-0.8320772
96,7757.934000,-0.9069831
97,7757.935000,-0.8003957
98,7757.936000,-0.8069673
99,7757.937000,-0.7945104
100,7757.938000,-0.7888613
101,7757.939000,-0.7390568
102,7757.940000,-0.6539766
103,7757.941000,-0.6572011
104,7757.942000,-0.6502391
105,7757.943000,-0.6234461
106,7757.944000,-0.5965568
107,7757.945000,-0.5441215
108,7757.946000,-0.585097
109,7757.947000,-0.6955318
110,7757.948000,-0.6708132
111,7757.949000,-0.6514889
112,7757.950000,-0.6910808
