#HEADER
#TITLES
 , ,hengxiang
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,-0.2399054
2,7757.840000,2.651268
3,7757.841000,5.090649
4,7757.842000,6.211131
5,7757.843000,5.944104
6,7757.844000,3.563627
7,7757.845000,-1.043082
8,7757.846000,-2.470267
9,7757.847000,-3.775688
10,7757.848000,-4.470406
11,7757.849000,-2.352259
12,7757.850000,-1.501303
13,7757.851000,-0.2983479
14,7757.852000,2.344831
15,7757.853000,3.953482
16,7757.854000,6.433654
17,7757.855000,4.591
18,7757.856000,1.668667
19,7757.857000,0.4063094
20,7757.858000,-3.325233
21,7757.859000,-4.118006
22,7757.860000,-3.066315
23,7757.861000,-1.897002
24,7757.862000,0.2422115
25,7757.863000,2.395732
26,7757.864000,3.515913
27,7757.865000,4.63482
28,7757.866000,4.004944
29,7757.867000,1.696965
30,7757.868000,-1.023839
31,7757.869000,-4.430033
32,7757.870000,-6.701248
33,7757.871000,-4.557906
34,7757.872000,-2.834543
35,7757.873000,-3.595541
36,7757.874000,0.1818832
37,7757.875000,3.03644
38,7757.876000,5.499358
39,7757.877000,6.989082
40,7757.878000,5.51491
41,7757.879000,3.887248
42,7757.880000,2.777677
43,7757.881000,-1.341218
44,7757.882000,0.4185081
45,7757.883000,-0.0406127
46,7757.884000,0.9873493
47,7757.885000,1.894946
48,7757.886000,5.626727
49,7757.887000,3.945355
50,7757.888000,3.710399
51,7757.889000,2.061136
52,7757.890000,2.192523
53,7757.891000,-1.68445
54,7757.892000,-1.003232
55,7757.893000,-0.7103314
56,7757.894000,-4.176979
57,7757.895000,-0.7838564
58,7757.896000,-1.39718
59,7757.897000,1.752678
60,7757.898000,1.836528
61,7757.899000,2.327005
62,7757.900000,2.065025
63,7757.901000,1.352048
64,7757.902000,0.2671546
65,7757.903000,-1.175237
66,7757.904000,-1.82536
67,7757.905000,-1.520577
68,7757.906000,-1.50894
69,7757.907000,-1.241186
70,7757.908000,-0.254958
71,7757.909000,1.467707
72,7757.910000,0.2623198
73,7757.911000,1.08753
74,7757.912000,1.751176
75,7757.913000,0.6959221
76,7757.914000,0.3376603
77,7757.915000,-1.337957
78,7757.916000,0.473208
79,7757.917000,0.3781257
80,7757.918000,-3.206501
81,7757.919000,-2.732203
82,7757.920000,-1.581449
83,7757.921000,-3.39591
84,7757.922000,-3.054063
85,7757.923000,-2.708057
86,7757.924000,0.4188227
87,7757.925000,0.2069281
88,7757.926000,2.834834
89,7757.927000,0.7110195
90,7757.928000,-4.023643
91,7757.929000,-5.27446
92,7757.930000,-2.857671
93,7757.931000,6.876248
94,7757.932000,5.913835
95,7757.933000,-0.7526612
96,7757.934000,3.214196
97,7757.935000,-0.738592
98,7757.936000,0.6274828
99,7757.937000,-0.2319227
100,7757.938000,-0.3692863
101,7757.939000,-1.348175
102,7757.940000,-3.082047
103,7757.941000,-2.156395
104,7757.942000,-2.735254
105,7757.943000,-3.347456
106,7757.944000,0.1918442
107,7757.945000,-3.749633
108,7757.946000,-3.945557
109,7757.947000,-1.388028
110,7757.948000,-1.025649
111,7757.949000,-1.317072
112,7757.950000,2.491515
113,7757.951000,1.736674
114,7757.952000,-0.7412073
115,7757.953000,2.454313
116,7757.954000,2.027138
117,7757.955000,1.637718
118,7757.956000,1.017299
119,7757.957000,-0.03217813
