#HEADER
#TITLES
 , ,D-LX1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,-5.251529
2,7757.840000,-5.300801
3,7757.841000,-5.092408
4,7757.842000,-5.125896
5,7757.843000,-5.086222
6,7757.844000,-4.621295
7,7757.845000,-4.825259
8,7757.846000,-5.137898
9,7757.847000,-4.935218
10,7757.848000,-5.054366
11,7757.849000,-5.536127
12,7757.850000,-5.520833
13,7757.851000,-5.14957
14,7757.852000,-5.160743
15,7757.853000,-4.909534
16,7757.854000,-4.936798
17,7757.855000,-4.88964
18,7757.856000,-4.907071
19,7757.857000,-5.394367
20,7757.858000,-5.448976
21,7757.859000,-5.666842
22,7757.860000,-6.068847
23,7757.861000,-6.101918
24,7757.862000,-6.290678
25,7757.863000,-6.605933
26,7757.864000,-6.284472
27,7757.865000,-6.416822
28,7757.866000,-6.73931
29,7757.867000,-6.622256
30,7757.868000,-7.022399
31,7757.869000,-7.035677
32,7757.870000,-6.853001
33,7757.871000,-7.397102
34,7757.872000,-7.392627
35,7757.873000,-7.323505
36,7757.874000,-7.334613
37,7757.875000,-7.112086
38,7757.876000,-7.097151
39,7757.877000,-6.834856
40,7757.878000,-6.861147
41,7757.879000,-7.128739
42,7757.880000,-7.448562
43,7757.881000,-7.418118
44,7757.882000,-7.309059
45,7757.883000,-7.772437
46,7757.884000,-7.693902
47,7757.885000,-7.723663
48,7757.886000,-7.93193
49,7757.887000,-7.965818
50,7757.888000,-7.977852
51,7757.889000,-8.019582
52,7757.890000,-8.141065
53,7757.891000,-8.427332
54,7757.892000,-8.450032
55,7757.893000,-8.625381
56,7757.894000,-8.863895
57,7757.895000,-8.97098
58,7757.896000,-9.167457
59,7757.897000,-9.275552
60,7757.898000,-9.36753
61,7757.899000,-9.007336
62,7757.900000,-8.600319
63,7757.901000,-8.37466
64,7757.902000,-8.229834
65,7757.903000,-8.258415
66,7757.904000,-8.27467
67,7757.905000,-8.250777
68,7757.906000,-8.307356
69,7757.907000,-8.254718
70,7757.908000,-8.270755
71,7757.909000,-8.298174
72,7757.910000,-8.050325
73,7757.911000,-7.845137
74,7757.912000,-7.433017
75,7757.913000,-7.417854
76,7757.914000,-7.410645
77,7757.915000,-7.381772
78,7757.916000,-7.741953
79,7757.917000,-7.954356
80,7757.918000,-7.991358
81,7757.919000,-8.268785
82,7757.920000,-8.396045
83,7757.921000,-8.542704
84,7757.922000,-8.699204
85,7757.923000,-8.787734
86,7757.924000,-8.982944
87,7757.925000,-9.157803
88,7757.926000,-9.227515
89,7757.927000,-9.402389
90,7757.928000,-9.614199
91,7757.929000,-9.154022
92,7757.930000,-8.967639
93,7757.931000,-8.743796
94,7757.932000,-8.556087
95,7757.933000,-8.873874
96,7757.934000,-8.897429
97,7757.935000,-8.997744
98,7757.936000,-9.229654
99,7757.937000,-9.533112
100,7757.938000,-9.424067
101,7757.939000,-8.8916
102,7757.940000,-8.567165
103,7757.941000,-8.643871
104,7757.942000,-8.443309
105,7757.943000,-8.182553
106,7757.944000,-8.098865
107,7757.945000,-8.42138
108,7757.946000,-8.736036
109,7757.947000,-8.571798
110,7757.948000,-8.659061
111,7757.949000,-8.908378
112,7757.950000,-8.632629
113,7757.951000,-8.383026
114,7757.952000,-8.280932
115,7757.953000,-8.125976
116,7757.954000,-8.04612
