#HEADER
#TITLES
 , ,Dniuzhuan1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,-4.271943
2,7757.840000,-4.254356
3,7757.841000,-4.837605
4,7757.842000,-5.122256
5,7757.843000,-4.502517
6,7757.844000,-4.505966
7,7757.845000,-4.687319
8,7757.846000,-3.438156
9,7757.847000,-3.494588
10,7757.848000,-4.170807
11,7757.849000,-4.282671
12,7757.850000,-4.610468
13,7757.851000,-4.767323
14,7757.852000,-4.693133
15,7757.853000,-4.68595
16,7757.854000,-4.783816
17,7757.855000,-4.915827
18,7757.856000,-5.346365
19,7757.857000,-5.494656
20,7757.858000,-4.737755
21,7757.859000,-4.758028
22,7757.860000,-5.614775
23,7757.861000,-6.070842
24,7757.862000,-5.865011
25,7757.863000,-5.480496
26,7757.864000,-5.683084
27,7757.865000,-5.724694
28,7757.866000,-5.396428
29,7757.867000,-5.098559
30,7757.868000,-5.314968
31,7757.869000,-5.030694
32,7757.870000,-4.29312
33,7757.871000,-4.532497
34,7757.872000,-5.015116
35,7757.873000,-4.916115
36,7757.874000,-4.917127
37,7757.875000,-4.799297
38,7757.876000,-4.637602
39,7757.877000,-4.461135
40,7757.878000,-4.503505
41,7757.879000,-4.81633
42,7757.880000,-4.778352
43,7757.881000,-4.612913
44,7757.882000,-4.669443
45,7757.883000,-4.87117
46,7757.884000,-4.840457
47,7757.885000,-4.60302
48,7757.886000,-4.712296
49,7757.887000,-4.828362
50,7757.888000,-4.820132
51,7757.889000,-4.768937
52,7757.890000,-4.867517
53,7757.891000,-4.684268
54,7757.892000,-4.746579
55,7757.893000,-4.811394
56,7757.894000,-4.754776
57,7757.895000,-4.714927
58,7757.896000,-4.588564
59,7757.897000,-4.95015
60,7757.898000,-4.769639
61,7757.899000,-4.770465
62,7757.900000,-5.11892
63,7757.901000,-5.219007
64,7757.902000,-5.096237
65,7757.903000,-5.022798
66,7757.904000,-5.022202
67,7757.905000,-4.89022
68,7757.906000,-4.790204
69,7757.907000,-5.033876
70,7757.908000,-5.282361
71,7757.909000,-5.452787
72,7757.910000,-5.245965
73,7757.911000,-5.51926
74,7757.912000,-5.656825
75,7757.913000,-5.298012
76,7757.914000,-5.253773
77,7757.915000,-5.307036
78,7757.916000,-5.211534
79,7757.917000,-5.124615
80,7757.918000,-5.168427
81,7757.919000,-5.112624
82,7757.920000,-4.985546
83,7757.921000,-4.853393
84,7757.922000,-4.830964
85,7757.923000,-4.822899
86,7757.924000,-4.74444
87,7757.925000,-4.661276
88,7757.926000,-4.949927
89,7757.927000,-4.915343
90,7757.928000,-4.834181
91,7757.929000,-5.013991
92,7757.930000,-5.439818
93,7757.931000,-5.70515
94,7757.932000,-5.162926
95,7757.933000,-4.939854
96,7757.934000,-5.29634
97,7757.935000,-5.069057
98,7757.936000,-5.19646
99,7757.937000,-5.207122
100,7757.938000,-5.31419
101,7757.939000,-5.385902
102,7757.940000,-5.394203
103,7757.941000,-5.177617
104,7757.942000,-4.707969
105,7757.943000,-4.588327
106,7757.944000,-5.034278
107,7757.945000,-5.025708
108,7757.946000,-4.895777
109,7757.947000,-4.990202
110,7757.948000,-4.877176
111,7757.949000,-4.800845
112,7757.950000,-4.912358
113,7757.951000,-4.58426
114,7757.952000,-4.411939
115,7757.953000,-4.73153
116,7757.954000,-4.832018
