#HEADER
#TITLES
 , ,LG1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,8.923413
2,7757.840000,8.773312
3,7757.841000,8.572492
4,7757.842000,8.642035
5,7757.843000,9.037698
6,7757.844000,8.77657
7,7757.845000,8.590387
8,7757.846000,8.889673
9,7757.847000,8.557507
10,7757.848000,8.636448
11,7757.849000,8.745702
12,7757.850000,8.865097
13,7757.851000,9.006189
14,7757.852000,8.891653
15,7757.853000,8.476355
16,7757.854000,8.155221
17,7757.855000,8.36692
18,7757.856000,8.719828
19,7757.857000,8.708133
20,7757.858000,8.758803
21,7757.859000,8.696724
22,7757.860000,8.61954
23,7757.861000,8.534023
24,7757.862000,8.781061
25,7757.863000,8.698353
26,7757.864000,8.423666
27,7757.865000,8.11489
28,7757.866000,7.996399
29,7757.867000,8.189547
30,7757.868000,8.417714
31,7757.869000,8.705727
32,7757.870000,8.870598
33,7757.871000,8.835578
34,7757.872000,8.785982
35,7757.873000,8.646882
36,7757.874000,8.603891
37,7757.875000,8.50103
38,7757.876000,8.435289
39,7757.877000,8.376356
40,7757.878000,8.180702
41,7757.879000,8.363191
42,7757.880000,8.668617
43,7757.881000,8.894906
44,7757.882000,9.066488
45,7757.883000,9.02267
46,7757.884000,8.912558
47,7757.885000,8.657413
48,7757.886000,8.459878
49,7757.887000,8.473858
50,7757.888000,8.515097
51,7757.889000,8.523725
52,7757.890000,8.591605
53,7757.891000,8.710248
54,7757.892000,8.849864
55,7757.893000,9.133245
56,7757.894000,9.240889
57,7757.895000,9.201184
58,7757.896000,9.013432
59,7757.897000,8.77821
60,7757.898000,8.722965
61,7757.899000,8.653152
62,7757.900000,8.792205
63,7757.901000,9.120646
64,7757.902000,9.231045
65,7757.903000,9.124132
66,7757.904000,9.083755
67,7757.905000,9.024278
68,7757.906000,8.98416
69,7757.907000,8.99824
70,7757.908000,9.042614
71,7757.909000,9.141548
72,7757.910000,8.993372
73,7757.911000,9.048551
74,7757.912000,9.126672
75,7757.913000,9.096176
76,7757.914000,9.070334
77,7757.915000,9.111228
78,7757.916000,9.112767
79,7757.917000,9.125184
80,7757.918000,9.132463
81,7757.919000,9.13468
82,7757.920000,9.20451
83,7757.921000,9.147807
84,7757.922000,9.164095
85,7757.923000,9.183589
86,7757.924000,9.264024
87,7757.925000,9.353539
88,7757.926000,9.227157
89,7757.927000,9.254725
90,7757.928000,9.106732
91,7757.929000,8.894654
92,7757.930000,9.151679
93,7757.931000,9.598995
94,7757.932000,9.547609
95,7757.933000,9.286923
96,7757.934000,9.157866
97,7757.935000,9.154335
98,7757.936000,9.149313
99,7757.937000,9.235271
100,7757.938000,9.427431
101,7757.939000,9.291172
102,7757.940000,9.203701
103,7757.941000,9.309721
104,7757.942000,9.275553
105,7757.943000,9.235281
106,7757.944000,9.185109
107,7757.945000,9.114097
108,7757.946000,9.15897
109,7757.947000,9.235945
110,7757.948000,9.469589
111,7757.949000,9.533577
112,7757.950000,9.365166
113,7757.951000,9.256284
114,7757.952000,9.105721
115,7757.953000,9.03644
116,7757.954000,8.953363
117,7757.955000,8.922306
118,7757.956000,9.218823
119,7757.957000,9.34028
120,7757.958000,9.409875
121,7757.959000,9.234003
122,7757.960000,9.038434
123,7757.961000,8.747453
124,7757.962000,8.787504
125,7757.963000,9.260273
