Base,Target,Pearson,k,b,Length,Pearson(sub)
cegun,chilunxiang,-0.04178683840182167,-0.022351741790771484,-0.032241180738044696,13336,-0.38135935324617826
cegun,dianjichui,0.00290596433941246,-0.007450580596923828,-0.0069404396094353525,21224,-0.12173734320779268
cegun,dianjiheng,0.02554739042166685,0.04470348358154297,0.04026073842642995,15007,0.4305534232048187
cegun,fuchen,-0.36512685841538767,0.03725290298461914,-0.6292201721758096,14274,0.42097328038149023
cegun,hengjian,0.19702440414956482,-0.040978193283081055,-0.029122668184694143,14779,-0.35969284332545676
cegun,hengxiang ,0.4644042410866761,-0.4172325134277344,-0.612238531227624,10228,-0.9655431344453757
cegun,lingxing,0.7473100982754746,0.4470348358154297,-0.36654241791536823,12316,0.9895319728065244
cegun,niuzhuan,0.4492577721772663,0.8642673492431641,-0.4138701596337623,11887,0.993885799694752
cegun,qianyin,0.49860847084946397,0.059604644775390625,0.1602807835268348,8895,0.5603500079015277
cegun,zhidong,-0.5171989878969772,-1.296401023864746,0.47584681018451047,12080,-0.9978527466912517
chilunxiang,cegun,-0.04178683840182191,-0.46193599700927734,-0.6115595862193166,10392,-0.9874136278195057
chilunxiang,dianjichui,0.06766859878502807,0.07450580596923828,-0.019103892834046718,22440,0.7501631252446165
chilunxiang,dianjiheng,0.062404419635451625,-0.022351741790771484,-0.0018868079061998798,15076,-0.2529927712432805
chilunxiang,fuchen,0.09967351618170696,0.014901161193847656,-0.6265562916544705,14208,0.1734802280173852
chilunxiang,hengjian,0.007312927433260287,-0.003725290298461914,-0.002954224847005476,14815,-0.07716312289859119
chilunxiang,hengxiang ,0.13711587701261493,-0.24586915969848633,-0.32285168164574496,10217,-0.9537678275435905
chilunxiang,lingxing,0.11806688560123946,0.3427267074584961,-0.6648525746466905,10680,0.9833479744190695
chilunxiang,niuzhuan,0.09021287790461949,0.014901161193847656,-0.944369549717506,8741,-0.02044638387626544
chilunxiang,qianyin,-0.18133106696212448,0.04470348358154297,0.16256515608018798,9127,0.4803031644602595
chilunxiang,zhidong,0.20874652597303975,-0.059604644775390625,1.3943770976540255,11543,-0.3044707320363408
dianjichui,cegun,0.0029059643393956553,0.11920928955078125,-0.6133035070118924,9764,0.3157888577167121
dianjichui,chilunxiang,0.06766859878502773,0.007450580596923828,-0.019201714236880642,13240,0.04789439190969425
dianjichui,dianjiheng,0.6707227620821417,-0.21606683731079102,0.003913471046866085,15116,-0.2697086534174637
dianjichui,fuchen,-0.0033145471842923073,-0.007450580596923828,-0.6286532217094914,14090,-0.08571579791981501
dianjichui,hengjian,0.025995746864915265,-0.1825392246246338,-0.011257105700475212,14858,-0.2797291503179644
dianjichui,hengxiang ,-0.22388932353991844,-2.3245811462402344,-0.3854613293821243,9862,-0.9318779887473322
dianjichui,lingxing,-0.01848861133941623,-0.029802322387695312,-0.6796537824981264,10027,-0.26765502946987624
dianjichui,niuzhuan,0.05450825520803648,0.014901161193847656,-0.9543475868687537,8677,0.09689285637820615
dianjichui,qianyin,-0.019299564245476956,0.32782554626464844,0.1478367544806762,8721,0.585399285152138
dianjichui,zhidong,0.03196091268562655,-0.35762786865234375,1.394382635471981,11441,-0.23552791741388313
dianjiheng,cegun,0.025547390421666708,0.9238719940185547,-0.6264723726471961,10212,0.9456578275792569
dianjiheng,chilunxiang,0.06240441963545161,0.059604644775390625,-0.02487105061635686,13219,0.24407803180045928
dianjiheng,dianjichui,0.6707227620821417,-0.1043081283569336,0.0179118295407372,22904,-0.5319223214238665
dianjiheng,fuchen,1.957629962009951E-4,-0.011175870895385742,-0.631803803512696,14090,-0.16053917215326485
dianjiheng,hengjian,0.0015309704829182744,0.040978193283081055,-0.01833097623084142,14879,0.17868083449053515
dianjiheng,hengxiang ,-0.009960435149635908,0.7003545761108398,-0.38533605001570687,10393,0.9196598302427096
dianjiheng,lingxing,0.07472669873334194,-0.5960464477539062,-0.6624317485899921,10070,-0.9208612643609319
dianjiheng,niuzhuan,-0.1531218350409736,0.014901161193847656,-0.9481849405412047,8763,0.2059219296165679
dianjiheng,qianyin,-0.019372251777820537,-0.07450580596923828,0.1364498199539602,8756,-0.2977502476738274
dianjiheng,zhidong,0.026139775170210884,-0.2384185791015625,1.3621419076253303,11622,-0.010588079059206662
fuchen,cegun,-0.3651268584153877,-0.37997961044311523,0.09564671283621695,11184,-0.9953206168130388
fuchen,chilunxiang,0.09967351618170756,-0.007450580596923828,-0.003365893496302964,13185,-0.12427406710604784
fuchen,dianjichui,-0.0033145471843071127,0.007450580596923828,-0.006766625328091981,21198,0.10323462767637416
fuchen,dianjiheng,1.957629959918114E-4,0.014901161193847656,-0.016446949437670715,15052,0.2894382429269047
fuchen,hengjian,0.003758162429012715,0.011175870895385742,-0.022426395138358188,15001,0.2717388769771829
fuchen,hengxiang ,-0.13461931092399645,-0.17136335372924805,-0.03472394904395219,10057,-0.9742543792855273
fuchen,lingxing,-0.3032354966035839,-0.28312206268310547,-0.12232139166256549,10626,-0.9943612357133467
fuchen,niuzhuan,-0.4574987013082168,-0.4023313522338867,-0.2872360518614018,10319,-0.9961866374695717
fuchen,qianyin,-0.8363687444889195,-0.6407499313354492,-0.3058688081221662,14521,-0.9981072787091912
fuchen,zhidong,0.7709878509370012,0.5587935447692871,0.2482942625478681,14660,0.9976645470622607
hengjian,cegun,0.19702440414956476,-0.029802322387695312,-0.5880822419901853,9748,-0.20770393990929004
hengjian,chilunxiang,0.00731292743325655,0.16391277313232422,-0.022780530229780376,13560,0.5378288622507393
hengjian,dianjichui,0.025995746864914276,-0.014901161193847656,-0.009010114094867438,21133,-0.06520170814868208
hengjian,dianjiheng,0.0015309704829247228,-0.014901161193847656,-0.001990997638945536,14701,0.022140610578009576
hengjian,fuchen,0.0037581624290218786,0.11175870895385742,-0.6415854984534224,14675,0.8266488962665461
hengjian,hengxiang ,-0.03586989680275682,-0.1341104507446289,-0.34545182290027354,9619,-0.5753062016197587
hengjian,lingxing,0.18581419179727257,0.1341104507446289,-0.6625422135097365,10114,0.8978880360346557
hengjian,niuzhuan,0.24179707166332282,-0.029802322387695312,-0.9477604336070593,8737,-0.20294704170086642
hengjian,qianyin,-0.004954497907852451,0.1341104507446289,0.13436191501324213,9249,0.9307097304266043
hengjian,zhidong,0.0033173228829994285,-0.11920928955078125,1.3547753554092548,11582,-0.04499785238919655
hengxiang ,cegun,0.4644042410866761,-0.14901161193847656,-0.6873485781849373,10127,-0.755763740607274
hengxiang ,chilunxiang,0.13711587701261427,0.1862645149230957,0.0347214260028609,13411,0.8266279337438158
hengxiang ,dianjichui,-0.2238893235399187,-0.04470348358154297,0.007007284349620627,22121,-0.3762889120523822
hengxiang ,dianjiheng,-0.009960435149638262,-0.06705522537231445,-0.007429413547196992,14879,-0.43357843215196834
hengxiang ,fuchen,-0.1346193109239963,0.007450580596923828,-0.6212104636109053,14092,0.20846636154144566
hengxiang ,hengjian,-0.03586989680275682,0.04842877388000488,0.0028514029550425718,14788,0.3951574481133922
hengxiang ,lingxing,0.8048782270232738,1.1175870895385742,-0.24426265451689988,11265,0.9959055946639336
hengxiang ,niuzhuan,0.2222642632068475,1.0728836059570312,-0.6362948301924943,9207,0.9882523051986052
hengxiang ,qianyin,0.18061416439109818,0.014901161193847656,0.1628372060616195,8729,0.07496608142491842
lingxing,cegun,0.7473100982754746,0.8530914783477783,0.045463757467935254,12666,0.9967712809918698
lingxing,chilunxiang,0.11806688560123921,0.07450580596923828,0.03020144366809329,13447,0.5768850063188906
lingxing,dianjichui,-0.018488611339416504,-0.03725290298461914,0.007700215353925297,21240,-0.16841589423290446
lingxing,dianjiheng,0.07472669873334215,-0.04470348358154297,-0.027625654594731108,15099,-0.473433446690952
lingxing,fuchen,-0.3032354966035838,0.1341104507446289,-0.6652205423232198,15286,0.8610344836754018
lingxing,hengjian,0.1858141917972722,-0.003725290298461914,-0.00624210496882358,14757,-0.027714589442175485
lingxing,hengxiang ,0.8048782270232738,0.5885958671569824,0.06711336342439447,12462,0.9851175767393413
lingxing,niuzhuan,0.6248466487219791,0.9611248970031738,-0.2944213206425293,11161,0.9955984411475709
lingxing,qianyin,0.33657463274661914,-0.14156103134155273,0.13418256391975564,9271,-0.8943591735424802
niuzhuan,cegun,0.4492577721772663,1.043081283569336,0.3819032600836558,11342,0.9954685578019692
niuzhuan,chilunxiang,0.09021287790461961,-0.007450580596923828,-0.024026415452895963,13236,-0.18050759517003065
niuzhuan,dianjichui,0.054508255208036524,0.04470348358154297,0.008743484017845313,22256,0.42338309387119627
niuzhuan,dianjiheng,-0.15312183504097399,-0.04470348358154297,-0.02961087539095718,15508,-0.5410396475074044
niuzhuan,fuchen,-0.45749870130821685,0.06705522537231445,-0.6573510995189354,14559,0.6062561551107748
niuzhuan,hengjian,0.24179707166332287,-0.022351741790771484,-0.022531215696235632,14937,-0.23573451292271716
niuzhuan,hengxiang ,0.22226426320684745,0.43213367462158203,0.1169812145247448,10593,0.9817132933909269
niuzhuan,lingxing,0.6248466487219791,0.5513429641723633,-0.20390538568915662,13070,0.992056829303713
niuzhuan,qianyin,0.3791747674688422,0.059604644775390625,0.14480828329800746,9399,0.610869345162776
qianyin,cegun,0.49860847084946397,0.43958425521850586,0.03247423849643885,11021,0.9953347662560479
qianyin,chilunxiang,-0.1813310669621245,0.03725290298461914,0.038649375134076014,13332,0.5274898291694577
qianyin,dianjichui,-0.019299564245477106,-0.007450580596923828,-0.013349741092859156,21234,-0.14597991918439784
qianyin,dianjiheng,-0.019372251777820728,-0.022351741790771484,-0.03062981721286013,14862,-0.37488237483656545
qianyin,fuchen,-0.8363687444889195,-0.08195638656616211,-0.6010855547232011,14700,-0.5724680852360301
qianyin,hengjian,-0.004954497907846813,-0.01862645149230957,-0.03129694140811136,14848,-0.2771228676363241
qianyin,hengxiang ,0.18061416439109812,0.24586915969848633,0.037257058756712105,10352,0.9740083816608014
qianyin,lingxing,0.3365746327466192,0.260770320892334,-0.33193945123334023,11868,0.9809810278293617
qianyin,niuzhuan,0.37917476746884216,0.3650784492492676,-0.42797304411621695,11260,0.9939920697446478
qianyin,zhidong,-0.9813033003347584,-0.9313225746154785,-0.07107042811751096,25966,-0.9980687396018891
zhidong,cegun,-0.517198987896977,-0.4991888999938965,0.011329529381550315,13468,-0.9956926890420643
zhidong,chilunxiang,0.20874652597303947,0.022351741790771484,-0.050596284285466725,13334,0.5439306980640213
zhidong,dianjichui,0.03196091268562708,0.007450580596923828,-0.011759519032444727,21204,0.13604918155378695
zhidong,dianjiheng,0.026139775170209895,-0.0521540641784668,0.06389552928407634,14760,-0.5782410393360731
zhidong,fuchen,0.7709878509370012,0.06705522537231445,-0.607342339105801,14570,0.4869149051599933
zhidong,hengjian,0.0033173228829892587,-0.007450580596923828,-0.007649814940886455,14710,-0.12717861771600383
zhidong,hengxiang ,-0.18490093197601432,-0.28312206268310547,0.036558559744672245,10812,-0.9738351132285259
zhidong,lingxing,-0.3355570710527555,-0.46938657760620117,0.009553374718669563,13197,-0.9952376204533397
zhidong,niuzhuan,-0.3473593296716664,-0.33527612686157227,-0.49784994867672977,10874,-0.9877761543165217
zhidong,qianyin,-0.9813033003347584,-1.0766088962554932,-0.0731834123136125,24675,-0.9982693212249674
角速度,速度,0.09995366226813288,2.175569534301758,0.6934743480138819,349,0.9567433289694257
