#HEADER
#TITLES
 , ,D-Z1Q
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7757.839000,-8.871527
2,7757.840000,-8.965995
3,7757.841000,-9.673962
4,7757.842000,-9.791153
5,7757.843000,-9.30134
6,7757.844000,-9.944415
7,7757.845000,-10.472
8,7757.846000,-9.529794
9,7757.847000,-9.436967
10,7757.848000,-9.210527
11,7757.849000,-9.223563
12,7757.850000,-8.554447
13,7757.851000,-8.599164
14,7757.852000,-8.732954
15,7757.853000,-9.050673
16,7757.854000,-9.337859
17,7757.855000,-9.046145
18,7757.856000,-8.79631
19,7757.857000,-8.657701
20,7757.858000,-9.595922
21,7757.859000,-10.17834
22,7757.860000,-10.57226
23,7757.861000,-10.07508
24,7757.862000,-9.551246
25,7757.863000,-9.781822
26,7757.864000,-10.09961
27,7757.865000,-10.68579
28,7757.866000,-10.6239
29,7757.867000,-9.423467
30,7757.868000,-9.021256
31,7757.869000,-9.943943
32,7757.870000,-10.29216
33,7757.871000,-10.14976
34,7757.872000,-10.24784
35,7757.873000,-10.84228
36,7757.874000,-11.15661
37,7757.875000,-10.85242
38,7757.876000,-9.926999
39,7757.877000,-9.450202
40,7757.878000,-9.523741
41,7757.879000,-9.996463
42,7757.880000,-10.23245
43,7757.881000,-11.0708
44,7757.882000,-12.2173
45,7757.883000,-11.92208
46,7757.884000,-11.56278
47,7757.885000,-10.95445
48,7757.886000,-10.66444
49,7757.887000,-10.4333
50,7757.888000,-10.41165
51,7757.889000,-10.19764
52,7757.890000,-10.31582
53,7757.891000,-9.906058
54,7757.892000,-10.44025
55,7757.893000,-10.57669
56,7757.894000,-10.55695
57,7757.895000,-10.52527
58,7757.896000,-10.23817
59,7757.897000,-10.25823
60,7757.898000,-10.38603
61,7757.899000,-10.57771
62,7757.900000,-10.4853
63,7757.901000,-10.60048
64,7757.902000,-10.64511
65,7757.903000,-9.967402
66,7757.904000,-10.03129
67,7757.905000,-10.11543
68,7757.906000,-10.15608
69,7757.907000,-10.76421
70,7757.908000,-10.85348
71,7757.909000,-10.60946
72,7757.910000,-10.39895
73,7757.911000,-10.0251
74,7757.912000,-10.32244
75,7757.913000,-10.46174
76,7757.914000,-10.51265
77,7757.915000,-9.85762
78,7757.916000,-10.00873
79,7757.917000,-10.15117
80,7757.918000,-10.23615
81,7757.919000,-10.08798
82,7757.920000,-10.09221
83,7757.921000,-9.897426
84,7757.922000,-9.616107
85,7757.923000,-9.436701
86,7757.924000,-9.804769
87,7757.925000,-9.530272
88,7757.926000,-9.493394
89,7757.927000,-9.72683
90,7757.928000,-9.911329
91,7757.929000,-10.22503
92,7757.930000,-10.4138
93,7757.931000,-10.81464
94,7757.932000,-10.64018
95,7757.933000,-9.475499
96,7757.934000,-9.134063
97,7757.935000,-8.878136
98,7757.936000,-8.964365
99,7757.937000,-9.32149
100,7757.938000,-9.264968
101,7757.939000,-9.416007
102,7757.940000,-9.60068
103,7757.941000,-9.544282
104,7757.942000,-9.570953
105,7757.943000,-9.417605
106,7757.944000,-10.13075
107,7757.945000,-10.52391
108,7757.946000,-10.44208
109,7757.947000,-10.21826
110,7757.948000,-9.641926
111,7757.949000,-8.362951
112,7757.950000,-8.777897
113,7757.951000,-9.063516
114,7757.952000,-8.909402
115,7757.953000,-8.897089
116,7757.954000,-9.424859
