#HEADER
#TITLES
 , ,GYR@bridge_43.RN_2
#UNITS
 , ,millivolts
#DATATYPES
Huge,Double,Float
#DATA
1,7757.8400,2492.136
2,7757.8600,2491.777
3,7757.8800,2492.762
4,7757.9000,2492.903
5,7757.9200,2493.012
6,7757.9400,2493.043
7,7757.9600,2494.169
8,7757.9800,2494.685
9,7758.0000,2495.123
10,7758.0200,2496.906
11,7758.0400,2496.484
12,7758.0600,2497.563
13,7758.0800,2498.501
14,7758.1000,2498.861
15,7758.1200,2500.018
16,7758.1400,2500.518
17,7758.1600,2500.706
18,7758.1800,2501.066
19,7758.2000,2502.129
20,7758.2200,2503.849
21,7758.2400,2503.239
22,7758.2600,2503.693
23,7758.2800,2503.442
24,7758.3000,2504.177
25,7758.3200,2503.568
26,7758.3400,2504.897
27,7758.3600,2504.302
28,7758.3800,2504.803
29,7758.4000,2503.849
30,7758.4200,2504.068
31,7758.4400,2503.63
32,7758.4600,2503.661
33,7758.4800,2502.066
34,7758.5000,2501.691
35,7758.5200,2500.69
36,7758.5400,2500.753
37,7758.5600,2499.83
38,7758.5800,2498.907
39,7758.6000,2498.501
40,7758.6200,2497
41,7758.6400,2497.391
42,7758.6600,2496.218
43,7758.6800,2495.155
44,7758.7000,2495.217
45,7758.7200,2494.154
46,7758.7400,2493.919
47,7758.7600,2493.403
48,7758.7800,2493.012
49,7758.8000,2493.669
50,7758.8200,2493.028
51,7758.8400,2493.294
52,7758.8600,2492.762
53,7758.8800,2493.247
54,7758.9000,2493.872
55,7758.9200,2493.669
56,7758.9400,2493.763
57,7758.9600,2494.763
58,7758.9800,2495.389
59,7759.0000,2495.092
60,7759.0200,2496.171
61,7759.0400,2496.609
62,7759.0600,2496.687
63,7759.0800,2497.891
64,7759.1000,2498.407
65,7759.1200,2498.548
66,7759.1400,2499.095
67,7759.1600,2499.94
68,7759.1800,2500.08
69,7759.2000,2501.175
70,7759.2200,2501.363
71,7759.2400,2502.004
72,7759.2600,2502.16
73,7759.2800,2503.302
74,7759.3000,2503.255
75,7759.3200,2503.255
76,7759.3400,2503.833
77,7759.3600,2503.427
78,7759.3800,2503.63
79,7759.4000,2503.958
80,7759.4200,2503.536
81,7759.4400,2502.927
82,7759.4600,2502.661
83,7759.4800,2503.161
84,7759.5000,2502.129
85,7759.5200,2500.987
86,7759.5400,2500.847
87,7759.5600,2500.753
88,7759.5800,2500.096
89,7759.6000,2500.206
90,7759.6200,2499.564
91,7759.6400,2498.657
92,7759.6600,2497.625
93,7759.6800,2498.11
94,7759.7000,2496.984
95,7759.7200,2496.062
96,7759.7400,2496.296
97,7759.7600,2495.139
98,7759.7800,2495.405
99,7759.8000,2494.685
100,7759.8200,2493.81
101,7759.8400,2493.231
102,7759.8600,2493.231
103,7759.8800,2493.043
104,7759.9000,2493.387
105,7759.9200,2493.153
106,7759.9400,2494.091
107,7759.9600,2493.856
108,7759.9800,2493.997
109,7760.0000,2494.248
110,7760.0200,2495.483
111,7760.0400,2495.639
112,7760.0600,2496.124
113,7760.0800,2496.327
114,7760.1000,2497.375
115,7760.1200,2497.203
116,7760.1400,2497.625
117,7760.1600,2497.719
118,7760.1800,2499.095
119,7760.2000,2498.876
120,7760.2200,2498.907
121,7760.2400,2499.33
122,7760.2600,2499.439
123,7760.2800,2499.283
124,7760.3000,2500.033
125,7760.3200,2499.783
126,7760.3400,2499.267
127,7760.3600,2499.971
128,7760.3800,2500.284
129,7760.4000,2499.47
130,7760.4200,2499.783
131,7760.4400,2500.362
132,7760.4600,2499.736
133,7760.4800,2500.065
134,7760.5000,2500.268
135,7760.5200,2500.534
136,7760.5400,2500.315
137,7760.5600,2500.565
138,7760.5800,2500.284
139,7760.6000,2500.08
140,7760.6200,2500.033
141,7760.6400,2499.924
142,7760.6600,2499.455
143,7760.6800,2499.47
144,7760.7000,2499.486
145,7760.7200,2499.424
146,7760.7400,2498.829
147,7760.7600,2499.643
148,7760.7800,2498.173
149,7760.8000,2498.595
150,7760.8200,2497.969
151,7760.8400,2498.219
152,7760.8600,2497.829
153,7760.8800,2498.032
154,7760.9000,2497.656
155,7760.9200,2497.922
156,7760.9400,2497.297
157,7760.9600,2497.516
158,7760.9800,2497.563
159,7761.0000,2497.954
160,7761.0200,2497.438
161,7761.0400,2497.813
162,7761.0600,2497.516
163,7761.0800,2497.61
164,7761.1000,2498.047
165,7761.1200,2497.844
166,7761.1400,2498.548
167,7761.1600,2498.047
168,7761.1800,2497.406
169,7761.2000,2498.282
170,7761.2200,2497.719
171,7761.2400,2497.985
172,7761.2600,2497.985
173,7761.2800,2497.844
174,7761.3000,2497.829
175,7761.3200,2497.219
176,7761.3400,2497.485
177,7761.3600,2497.422
178,7761.3800,2497.406
179,7761.4000,2497.188
180,7761.4200,2497.031
181,7761.4400,2497.156
182,7761.4600,2497.563
183,7761.4800,2497.344
184,7761.5000,2497.954
185,7761.5200,2497.766
186,7761.5400,2498.235
187,7761.5600,2498.329
188,7761.5800,2498.595
189,7761.6000,2498.954
190,7761.6200,2499.033
191,7761.6400,2499.643
192,7761.6600,2499.705
193,7761.6800,2499.314
194,7761.7000,2499.799
195,7761.7200,2499.424
196,7761.7400,2499.83
197,7761.7600,2499.627
198,7761.7800,2500.19
199,7761.8000,2499.955
200,7761.8200,2499.705
201,7761.8400,2499.799
202,7761.8600,2499.533
203,7761.8800,2498.438
204,7761.9000,2498.438
205,7761.9200,2498
206,7761.9400,2497.829
207,7761.9600,2497.5
208,7761.9800,2497.5
209,7762.0000,2497.125
210,7762.0200,2496.718
211,7762.0400,2497.047
212,7762.0600,2496.703
213,7762.0800,2496.437
214,7762.1000,2496.499
215,7762.1200,2497.234
216,7762.1400,2496.343
217,7762.1600,2495.999
218,7762.1800,2496.984
219,7762.2000,2496.452
220,7762.2200,2495.952
221,7762.2400,2496.452
222,7762.2600,2497.359
223,7762.2800,2496.171
224,7762.3000,2496.562
225,7762.3200,2497.375
226,7762.3400,2497.14
227,7762.3600,2497.125
228,7762.3800,2497.438
229,7762.4000,2497.797
230,7762.4200,2498.251
231,7762.4400,2498.251
232,7762.4600,2498.235
233,7762.4800,2498.548
234,7762.5000,2498.485
235,7762.5200,2499.064
236,7762.5400,2498.907
237,7762.5600,2500.018
238,7762.5800,2499.267
239,7762.6000,2499.674
240,7762.6200,2500.174
241,7762.6400,2500.471
242,7762.6600,2500.409
243,7762.6800,2500.503
244,7762.7000,2500.471
245,7762.7200,2500.581
246,7762.7400,2500.69
247,7762.7600,2500.815
248,7762.7800,2500.534
249,7762.8000,2501.003
250,7762.8200,2501.238
251,7762.8400,2500.628
252,7762.8600,2501.206
253,7762.8800,2500.862
254,7762.9000,2501.284
255,7762.9200,2500.721
256,7762.9400,2500.346
257,7762.9600,2500.456
258,7762.9800,2500.44
259,7763.0000,2499.908
260,7763.0200,2499.814
261,7763.0400,2499.517
262,7763.0600,2499.627
263,7763.0800,2499.111
264,7763.1000,2498.423
265,7763.1200,2497.954
266,7763.1400,2498.063
267,7763.1600,2497.047
268,7763.1800,2496.75
269,7763.2000,2496.89
270,7763.2200,2496.984
271,7763.2400,2496.828
272,7763.2600,2496.546
273,7763.2800,2496.546
274,7763.3000,2496.421
275,7763.3200,2496.578
276,7763.3400,2496.452
277,7763.3600,2496.687
278,7763.3800,2497.219
279,7763.4000,2496.843
280,7763.4200,2497.219
281,7763.4400,2497.328
