#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
#UNITS
 , ,km/h
#DATATYPES
Huge,Double,Float
#DATA
1,7757.8400,68.55885
2,7757.8600,68.47443
3,7757.8800,68.31496
4,7757.9000,68.18362
5,7757.9200,68.31965
6,7757.9400,68.58231
7,7757.9600,68.82151
8,7757.9800,69.01851
9,7758.0000,68.99975
10,7758.0200,68.91532
11,7758.0400,68.92001
12,7758.0600,69.01382
13,7758.0800,69.14046
14,7758.1000,69.17798
15,7758.1200,69.29993
16,7758.1400,69.19205
17,7758.1600,68.99506
18,7758.1800,68.98567
19,7758.2000,68.9247
20,7758.2200,68.83089
21,7758.2400,68.70425
22,7758.2600,68.52133
23,7758.2800,68.26336
24,7758.3000,68.05229
25,7758.3200,67.96787
26,7758.3400,67.93504
27,7758.3600,67.85061
28,7758.3800,67.77557
29,7758.4000,67.89751
30,7758.4200,67.83185
31,7758.4400,67.55981
32,7758.4600,67.42848
33,7758.4800,67.25963
34,7758.5000,67.1752
35,7758.5200,67.17989
36,7758.5400,67.36751
37,7758.5600,67.52698
38,7758.5800,67.44255
39,7758.6000,67.46131
40,7758.6200,67.68645
41,7758.6400,67.85999
42,7758.6600,67.85061
43,7758.6800,67.75681
44,7758.7000,67.70052
45,7758.7200,67.70521
46,7758.7400,67.69583
47,7758.7600,67.88813
48,7758.7800,68.02885
49,7758.8000,68.10389
50,7758.8200,68.11796
51,7758.8400,68.2446
52,7758.8600,68.46973
53,7758.8800,68.53071
54,7758.9000,68.62452
55,7758.9200,68.70895
56,7758.9400,68.61514
57,7758.9600,68.48381
58,7758.9800,68.34779
59,7759.0000,68.34309
60,7759.0200,68.33841
61,7759.0400,68.34309
62,7759.0600,68.37124
63,7759.0800,68.53071
64,7759.1000,68.70425
65,7759.1200,68.91532
66,7759.1400,69.05603
67,7759.1600,69.14046
68,7759.1800,69.22958
69,7759.2000,69.37966
70,7759.2200,69.43595
71,7759.2400,69.50162
72,7759.2600,69.57666
73,7759.2800,69.34214
74,7759.3000,69.117
75,7759.3200,68.96691
76,7759.3400,68.7793
77,7759.3600,68.64328
78,7759.3800,68.56355
79,7759.4000,68.47912
80,7759.4200,68.30557
81,7759.4400,68.06168
82,7759.4600,67.96787
83,7759.4800,67.8553
84,7759.5000,67.73335
85,7759.5200,67.51759
86,7759.5400,67.32998
87,7759.5600,67.25494
88,7759.5800,67.17051
89,7759.6000,67.06732
90,7759.6200,67.02042
91,7759.6400,66.8844
92,7759.6600,66.85625
93,7759.6800,66.6405
94,7759.7000,66.63581
95,7759.7200,66.73431
96,7759.7400,66.80466
97,7759.7600,66.80466
98,7759.7800,66.95944
99,7759.8000,67.16582
100,7759.8200,67.34874
101,7759.8400,67.63017
102,7759.8600,67.9491
103,7759.8800,68.19301
104,7759.9000,68.27744
105,7759.9200,68.10389
106,7759.9400,67.91158
107,7759.9600,67.73335
108,7759.9800,67.57857
109,7760.0000,67.37688
110,7760.0200,67.23148
111,7760.0400,67.22211
112,7760.0600,67.40971
113,7760.0800,67.74742
114,7760.1000,68.08982
115,7760.1200,68.46505
116,7760.1400,68.67142
117,7760.1600,68.70425
118,7760.1800,68.69487
119,7760.2000,68.51664
120,7760.2200,68.36655
121,7760.2400,68.11327
122,7760.2600,67.88813
123,7760.2800,67.71459
124,7760.3000,67.62078
125,7760.3200,67.77087
126,7760.3400,67.90221
127,7760.3600,68.06168
128,7760.3800,68.11796
129,7760.4000,68.19301
130,7760.4200,68.31965
131,7760.4400,68.45567
132,7760.4600,68.45567
133,7760.4800,68.47912
134,7760.5000,68.50726
135,7760.5200,68.52602
136,7760.5400,68.48381
137,7760.5600,68.43221
138,7760.5800,68.16486
139,7760.6000,67.68645
140,7760.6200,67.17989
141,7760.6400,66.77652
142,7760.6600,66.47165
143,7760.6800,66.28403
144,7760.7000,66.40598
145,7760.7200,66.5936
146,7760.7400,66.75776
147,7760.7600,67.07671
148,7760.7800,67.29715
149,7760.8000,67.31122
150,7760.8200,67.18458
151,7760.8400,67.09077
152,7760.8600,67.10484
153,7760.8800,66.96883
154,7760.9000,66.68272
155,7760.9200,66.28873
156,7760.9400,66.06828
157,7760.9600,66.06828
158,7760.9800,66.18554
159,7761.0000,66.3028
160,7761.0200,66.11049
161,7761.0400,66.03075
162,7761.0600,66.1527
163,7761.0800,66.04014
164,7761.1000,65.92757
165,7761.1200,66.0073
166,7761.1400,65.90411
167,7761.1600,65.69774
168,7761.1800,65.49606
169,7761.2000,65.44446
170,7761.2200,65.54765
171,7761.2400,65.94164
172,7761.2600,66.46227
173,7761.2800,66.91723
174,7761.3000,67.24555
175,7761.3200,67.24555
176,7761.3400,67.17989
177,7761.3600,67.18927
178,7761.3800,67.27839
179,7761.4000,67.43317
180,7761.4200,67.53635
181,7761.4400,67.53167
182,7761.4600,67.58795
183,7761.4800,67.6161
184,7761.5000,67.54105
185,7761.5200,67.54105
186,7761.5400,67.54105
187,7761.5600,67.50352
188,7761.5800,67.49414
189,7761.6000,67.39565
190,7761.6200,67.30653
191,7761.6400,66.92661
192,7761.6600,66.54669
193,7761.6800,66.23244
194,7761.7000,65.98854
195,7761.7200,65.81499
196,7761.7400,65.69305
197,7761.7600,65.67429
198,7761.7800,65.74934
199,7761.8000,65.79155
200,7761.8200,65.85721
201,7761.8400,65.8619
202,7761.8600,65.74464
203,7761.8800,65.47729
204,7761.9000,65.12552
