#HEADER
#TITLES
 , ,Dcegun1
#UNITS
 , ,KN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,-2.907518
2,7839.763000,-2.912345
3,7839.764000,-2.917028
4,7839.765000,-2.921499
5,7839.766000,-2.926111
6,7839.767000,-2.930915
7,7839.768000,-2.934812
8,7839.769000,-2.937813
9,7839.770000,-2.944222
10,7839.771000,-2.954183
11,7839.772000,-2.945636
12,7839.773000,-2.958984
13,7839.774000,-2.960445
14,7839.775000,-2.963399
15,7839.776000,-2.968119
16,7839.777000,-2.970258
17,7839.778000,-2.973522
18,7839.779000,-2.976506
19,7839.780000,-2.979073
20,7839.781000,-2.981248
21,7839.782000,-2.98445
22,7839.783000,-2.988734
23,7839.784000,-2.988707
24,7839.785000,-2.993989
25,7839.786000,-2.996541
26,7839.787000,-2.999513
27,7839.788000,-3.002507
28,7839.789000,-3.005464
29,7839.790000,-3.009083
30,7839.791000,-3.013435
31,7839.792000,-3.014237
32,7839.793000,-3.011281
33,7839.794000,-3.026729
34,7839.795000,-3.020732
35,7839.796000,-3.02581
36,7839.797000,-3.028794
37,7839.798000,-3.030986
38,7839.799000,-3.032304
39,7839.800000,-3.035499
40,7839.801000,-3.040565
41,7839.802000,-3.034834
42,7839.803000,-3.042562
43,7839.804000,-3.042198
44,7839.805000,-3.0418
45,7839.806000,-3.048944
46,7839.807000,-3.031448
47,7839.808000,-3.060305
48,7839.809000,-3.043015
49,7839.810000,-3.048277
50,7839.811000,-3.048857
51,7839.812000,-3.04842
52,7839.813000,-3.058003
53,7839.814000,-3.043221
54,7839.815000,-3.054016
55,7839.816000,-3.053603
56,7839.817000,-3.057534
57,7839.818000,-3.054554
58,7839.819000,-3.044343
59,7839.820000,-3.070751
60,7839.821000,-3.054824
61,7839.822000,-3.058927
62,7839.823000,-3.056744
63,7839.824000,-3.061985
64,7839.825000,-3.07493
65,7839.826000,-3.04881
66,7839.827000,-3.068811
67,7839.828000,-3.06518
68,7839.829000,-3.066206
69,7839.830000,-3.067058
70,7839.831000,-3.067709
71,7839.832000,-3.068695
72,7839.833000,-3.069161
73,7839.834000,-3.069835
74,7839.835000,-3.070452
75,7839.836000,-3.070832
76,7839.837000,-3.070969
77,7839.838000,-3.071836
78,7839.839000,-3.07347
79,7839.840000,-3.071467
80,7839.841000,-3.07352
81,7839.842000,-3.07438
82,7839.843000,-3.07666
83,7839.844000,-3.074752
84,7839.845000,-3.067843
85,7839.846000,-3.084332
86,7839.847000,-3.072878
87,7839.848000,-3.075426
88,7839.849000,-3.074948
89,7839.850000,-3.074383
90,7839.851000,-3.073733
91,7839.852000,-3.072935
92,7839.853000,-3.072024
93,7839.854000,-3.07076
94,7839.855000,-3.069119
95,7839.856000,-3.069075
96,7839.857000,-3.066977
97,7839.858000,-3.0657
98,7839.859000,-3.06401
99,7839.860000,-3.062206
100,7839.861000,-3.060253
101,7839.862000,-3.058352
102,7839.863000,-3.056531
103,7839.864000,-3.054671
104,7839.865000,-3.052828
105,7839.866000,-3.050908
106,7839.867000,-3.048903
107,7839.868000,-3.04691
108,7839.869000,-3.044911
109,7839.870000,-3.042724
110,7839.871000,-3.040347
111,7839.872000,-3.037856
112,7839.873000,-3.035204
113,7839.874000,-3.032507
114,7839.875000,-3.029772
115,7839.876000,-3.027066
116,7839.877000,-3.02443
