#HEADER
#TITLES
 , ,CLD1-1
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,0.159174
2,7839.763000,0.2136297
3,7839.764000,0.1403465
4,7839.765000,0.1867857
5,7839.766000,0.1749029
6,7839.767000,0.174448
7,7839.768000,0.1739855
8,7839.769000,0.1735172
9,7839.770000,0.1732702
10,7839.771000,0.1732674
11,7839.772000,0.1713896
12,7839.773000,0.167491
13,7839.774000,0.1716537
14,7839.775000,0.1842346
15,7839.776000,0.1538773
16,7839.777000,0.1727266
17,7839.778000,0.1704416
18,7839.779000,0.1779327
19,7839.780000,0.1662445
20,7839.781000,0.1345148
21,7839.782000,0.2034063
22,7839.783000,0.1540031
23,7839.784000,0.1657972
24,7839.785000,0.1662388
25,7839.786000,0.1626596
26,7839.787000,0.1547575
27,7839.788000,0.1641731
28,7839.789000,0.1916847
29,7839.790000,0.1282654
30,7839.791000,0.1717291
31,7839.792000,0.159708
32,7839.793000,0.1577377
33,7839.794000,0.1608467
34,7839.795000,0.1694155
35,7839.796000,0.1560431
36,7839.797000,0.1197443
37,7839.798000,0.1987915
38,7839.799000,0.142664
39,7839.800000,0.1545744
40,7839.801000,0.15133
41,7839.802000,0.1532726
42,7839.803000,0.1605711
43,7839.804000,0.1382256
44,7839.805000,0.1691713
45,7839.806000,0.1340208
46,7839.807000,0.1608133
47,7839.808000,0.1499634
48,7839.809000,0.1345463
49,7839.810000,0.1769228
50,7839.811000,0.08927536
51,7839.812000,0.2006493
52,7839.813000,0.125927
53,7839.814000,0.1403608
54,7839.815000,0.1363726
55,7839.816000,0.1226349
56,7839.817000,0.2396164
57,7839.818000,0.0362463
58,7839.819000,0.1771832
59,7839.820000,0.1417456
60,7839.821000,0.1352472
61,7839.822000,0.1644182
62,7839.823000,0.04428864
63,7839.824000,0.229476
64,7839.825000,0.1073475
65,7839.826000,0.1312037
66,7839.827000,0.1174145
67,7839.828000,0.1342983
68,7839.829000,0.1832323
69,7839.830000,0.07107258
70,7839.831000,0.1481733
71,7839.832000,0.1285191
72,7839.833000,0.1283283
73,7839.834000,0.1263905
74,7839.835000,0.1226254
75,7839.836000,0.1286993
76,7839.837000,0.1247931
77,7839.838000,0.1212988
78,7839.839000,0.111249
79,7839.840000,0.1208982
80,7839.841000,0.150979
81,7839.842000,0.07167625
82,7839.843000,0.1656246
83,7839.844000,0.07941914
84,7839.845000,0.1524248
85,7839.846000,0.111474
86,7839.847000,0.03578949
87,7839.848000,0.2021351
88,7839.849000,0.08550358
89,7839.850000,0.1087608
90,7839.851000,0.0973444
91,7839.852000,0.1105385
92,7839.853000,0.1494436
93,7839.854000,0.05909824
94,7839.855000,0.1206989
95,7839.856000,0.1043177
96,7839.857000,0.1032076
97,7839.858000,0.1020851
98,7839.859000,0.1009531
99,7839.860000,0.09980869
100,7839.861000,0.09865379
101,7839.862000,0.09749699
102,7839.863000,0.09633827
103,7839.864000,0.09517479
104,7839.865000,0.09400463
105,7839.866000,0.09282875
106,7839.867000,0.09164333
107,7839.868000,0.09045506
108,7839.869000,0.08926105
109,7839.870000,0.08805561
110,7839.871000,0.08683586
111,7839.872000,0.08567238
112,7839.873000,0.08456993
113,7839.874000,0.08293915
114,7839.875000,0.08074188
115,7839.876000,0.08078861
116,7839.877000,0.08318043
117,7839.878000,0.07346821
