#HEADER
#TITLES
 , ,4-DCQ
#UNITS
 , ,kN
#DATATYPES
Huge,Double,Float
#DATA
1,7839.762000,-0.08618927
2,7839.763000,-0.08649445
3,7839.764000,-0.08679962
4,7839.765000,-0.08708954
5,7839.766000,-0.08738708
6,7839.767000,-0.08769226
7,7839.768000,-0.08798218
8,7839.769000,-0.08828735
9,7839.770000,-0.08859253
10,7839.771000,-0.08887482
11,7839.772000,-0.08917236
12,7839.773000,-0.08946991
13,7839.774000,-0.0897522
14,7839.775000,-0.09003448
15,7839.776000,-0.09030914
16,7839.777000,-0.0905838
17,7839.778000,-0.09085083
18,7839.779000,-0.09112549
19,7839.780000,-0.09138489
20,7839.781000,-0.09163666
21,7839.782000,-0.09191132
22,7839.783000,-0.09217072
23,7839.784000,-0.09243774
24,7839.785000,-0.0927124
25,7839.786000,-0.09298706
26,7839.787000,-0.09326172
27,7839.788000,-0.09352875
28,7839.789000,-0.09378815
29,7839.790000,-0.09406281
30,7839.791000,-0.09432983
31,7839.792000,-0.09459686
32,7839.793000,-0.09486389
33,7839.794000,-0.09513092
34,7839.795000,-0.09539032
35,7839.796000,-0.09565735
36,7839.797000,-0.09591675
37,7839.798000,-0.09616852
38,7839.799000,-0.09641266
39,7839.800000,-0.09666443
40,7839.801000,-0.09690857
41,7839.802000,-0.09715271
42,7839.803000,-0.09738922
43,7839.804000,-0.09762573
44,7839.805000,-0.09784698
45,7839.806000,-0.09806824
46,7839.807000,-0.09828949
47,7839.808000,-0.098526
48,7839.809000,-0.09875488
49,7839.810000,-0.09898376
50,7839.811000,-0.09918976
51,7839.812000,-0.09940338
52,7839.813000,-0.09960938
53,7839.814000,-0.099823
54,7839.815000,-0.1000519
55,7839.816000,-0.1002655
56,7839.817000,-0.1004944
57,7839.818000,-0.1007309
58,7839.819000,-0.1009521
59,7839.820000,-0.1011734
60,7839.821000,-0.1014023
61,7839.822000,-0.1016235
62,7839.823000,-0.1018372
63,7839.824000,-0.1020584
64,7839.825000,-0.102272
65,7839.826000,-0.1024933
66,7839.827000,-0.1027145
67,7839.828000,-0.1029358
68,7839.829000,-0.1031418
69,7839.830000,-0.103363
70,7839.831000,-0.1035767
71,7839.832000,-0.103775
72,7839.833000,-0.1039963
73,7839.834000,-0.1042099
74,7839.835000,-0.1044159
75,7839.836000,-0.1046219
76,7839.837000,-0.1048279
77,7839.838000,-0.1050339
78,7839.839000,-0.1052475
79,7839.840000,-0.1054535
80,7839.841000,-0.1056442
81,7839.842000,-0.1058502
82,7839.843000,-0.1060638
83,7839.844000,-0.1062622
84,7839.845000,-0.1064682
85,7839.846000,-0.1066666
86,7839.847000,-0.1068649
87,7839.848000,-0.1070557
88,7839.849000,-0.1072388
89,7839.850000,-0.1074142
90,7839.851000,-0.1075974
91,7839.852000,-0.1077805
92,7839.853000,-0.1079407
93,7839.854000,-0.1081085
94,7839.855000,-0.1082764
95,7839.856000,-0.1084518
96,7839.857000,-0.1086121
97,7839.858000,-0.1087799
98,7839.859000,-0.1089325
99,7839.860000,-0.1090851
100,7839.861000,-0.10923
101,7839.862000,-0.1093826
102,7839.863000,-0.1095276
103,7839.864000,-0.1096878
104,7839.865000,-0.1098404
105,7839.866000,-0.1099854
106,7839.867000,-0.1101303
107,7839.868000,-0.1102753
108,7839.869000,-0.1104202
109,7839.870000,-0.1105652
